n,f_hz,I_abs_A,I_phase_rad,skin_depth_m
1,1000000.0,0.5646316024675427,-2.7620428520717923,6.608284962821108e-05
2,2000000.0,0.10227831330579856,2.3180538467991085,4.672763109223898e-05
3,3000000.0,0.02980249386336175,-2.0248476609477373,3.815295102166524e-05
4,4000000.0,0.03771615179317949,3.0575534651857676,3.304142481410554e-05
5,5000000.0,0.006760531712802054,1.8570038592427223,2.9553148783115338e-05
6,6000000.0,0.013361146681370175,-2.485010554121203,2.6978210389697703e-05
7,7000000.0,0.01056170827430013,2.5978314244259693,2.497696943467481e-05
8,8000000.0,0.0016567113774194936,-1.7440524733339757,2.336381554611949e-05
9,9000000.0,0.007337629938044017,-2.944307102134699,2.2027616542737028e-05
10,10000000.0,0.003246058338481014,2.1386504470549115,2.089723190995582e-05
