a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.019776106018571448,0.10044984322865921,0.02087237168271154,0.04808569621346712,0,1,1,1,1,1,1,1,1
0.022469921250857474,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.025530676289133702,0.1557372904528597,0.07615981890691202,0.07831796726666719,0,0,1,1,1,1,1,1,1
0.029008354079374438,0.0659742605608582,-0.013603210985089473,0.035996659692026124,0,0,1,1,1,1,1,1,1
0.03295974602727269,0.058593772358249654,-0.02098369918769802,0.033163517786347976,0,0,1,1,1,1,1,1,1
0.037449379417039456,0.10378459717476063,0.024207125628812956,0.0607559766714747,0,0,1,1,1,1,1,1,1
0.04255057115916216,0.08893596082709854,0.009358489281150864,0.05543129997964041,0,0,0,1,1,1,1,1,1
0.04834662507510398,0.07779661271249573,-0.0017808588334519426,0.05133396382251002,0,0,0,1,1,1,1,1,1
0.05493219227092267,0.06913015592016104,-0.01044731562578663,0.04808374619754623,0,0,0,1,1,1,1,1,1
0.062414816815072716,0.06219474939667815,-0.017382722149269524,0.045444961472578246,0,0,0,0,1,1,1,1,1
0.07091669196172154,0.10830441829696916,0.028726946751021484,0.08290433061353379,0,0,0,0,1,1,1,1,1
0.08057665559917486,0.04778025952954776,-0.031797212016399914,0.03988089578771871,0,0,0,0,0,1,1,1,1
0.09155245750961598,0.08571168436365342,0.00613421281770575,0.07451287469957933,0,0,0,0,0,1,1,1,1
0.10402333546511545,0.07521587987677629,-0.004361591669171383,0.0706529740638248,0,0,0,0,0,0,1,1,1
0.11819294222824551,0.0979113571887061,0.018333885642758424,0.09896373201152643,0,0,0,0,0,0,1,1,1
0.13429267125600025,0.08433126931384138,0.004753797767893711,0.09459961281618655,0,0,0,0,0,0,0,1,1
0.152585435416653,0.07400012664210827,-0.005577344903839404,0.09168377967162261,0,0,0,0,0,0,0,0,1
0.17336996042700525,0.06604527630197841,-0.013532195243969258,0.0900875419999144,0,0,0,0,0,0,0,0,0
0.19698566312300186,0.0945569760451978,0.014979504499250132,0.14174799998885942,0,0,0,0,0,0,0,0,0
0.2238181942271731,0.0677593581058365,-0.011818113440111175,0.11835260571088198,0,0,0,0,0,0,0,0,0
0.2543057361277734,0.07570530538507077,-0.0038721661608769053,0.14998227199697056,0,0,0,0,0,0,0,0,0
0.28894615851403005,0.08538889107690668,0.005811419530959011,0.19901554606400187,0,0,0,0,0,0,0,0,0
0.32830514872093297,0.06941800733312921,-0.010159464212818464,0.20199177470050483,0,0,0,0,0,0,0,0,0
