R_m,f0_hz,fR_Hz_m,observable,response_raw,response_norm
0.03,100000.0,3000.0,weighted_gradB2,5.355415005332209e-06,1.0
0.03,125939.69317272713,3778.190795181814,weighted_gradB2,3.273097916268765e-06,0.6111754015346803
0.03,158608.06316440654,4758.241894932196,weighted_gradB2,1.9805272662236243e-06,0.3698177011962059
0.03,199750.50809645883,5992.5152428937645,weighted_gradB2,1.183531163698161e-06,0.22099709593369668
0.03,251565.1770076437,7546.955310229311,weighted_gradB2,6.961093190178809e-07,0.12998232972137322
0.03,316820.4120528544,9504.61236158563,weighted_gradB2,4.0112325172796354e-07,0.07490049815533967
0.03,399002.65484793467,11970.07964543804,weighted_gradB2,2.2506736790615608e-07,0.04202613012848938
0.03,502502.71926652436,15075.08157799573,weighted_gradB2,1.2197974407564624e-07,0.02277689851378372
0.03,632850.3828288711,18985.511484866132,weighted_gradB2,6.318954619467638e-08,0.011799187575894798
0.03,797009.8303771093,23910.294911313278,weighted_gradB2,3.0665675442636387e-08,0.00572610627040175
0.03,1003751.7349334045,30112.552048002133,weighted_gradB2,1.3213724923386495e-08,0.002467357788374949
0.03,1264121.8551910524,37923.65565573157,weighted_gradB2,4.546322065943173e-09,0.0008489205899853794
0.03,1592031.1857570007,47760.93557271002,weighted_gradB2,8.811340509713195e-10,0.00016453142288580877
0.03,2004999.190556492,60149.97571669475,weighted_gradB2,0.0,0.0
0.03,2525089.8287025085,75752.69486107524,weighted_gradB2,0.0,0.0
0.03,3180090.3826036807,95402.71147811042,weighted_gradB2,0.0,0.0
0.03,4004996.0704664798,120149.88211399439,weighted_gradB2,0.0,0.0
0.03,5043879.762725263,151316.39288175787,weighted_gradB2,0.0,0.0
0.03,6352246.697177473,190567.4009153242,weighted_gradB2,0.0,0.0
0.03,8000000.0,240000.0,weighted_gradB2,0.0,0.0
0.05,100000.0,5000.0,weighted_gradB2,7.937039397257441e-08,1.0
0.05,125939.69317272713,6296.9846586363565,weighted_gradB2,4.7886811272797416e-08,0.6033334203852407
0.05,158608.06316440654,7930.403158220328,weighted_gradB2,2.853208021459077e-08,0.3594801384562829
0.05,199750.50809645883,9987.525404822942,weighted_gradB2,1.673326738135877e-08,0.21082505130490814
0.05,251565.1770076437,12578.258850382186,weighted_gradB2,9.619790727339228e-09,0.12120124703756975
0.05,316820.4120528544,15841.020602642719,weighted_gradB2,5.394952342195546e-09,0.06797184784114482
0.05,399002.65484793467,19950.132742396734,weighted_gradB2,2.9370712747802165e-09,0.03700462008283706
0.05,502502.71926652436,25125.13596332622,weighted_gradB2,1.5459834351765726e-09,0.01947808695154985
0.05,632850.3828288711,31642.519141443558,weighted_gradB2,7.857697126705938e-10,0.009900035433137803
0.05,797009.8303771093,39850.49151885547,weighted_gradB2,3.809027155644357e-10,0.004799052852075454
0.05,1003751.7349334045,50187.586746670226,weighted_gradB2,1.6410776446717692e-10,0.002067619376109971
0.05,1264121.8551910524,63206.09275955262,weighted_gradB2,5.645715282927293e-11,0.0007113124932803167
0.05,1592031.1857570007,79601.55928785005,weighted_gradB2,1.0941219044336318e-11,0.00013785012895509803
0.05,2004999.190556492,100249.9595278246,weighted_gradB2,0.0,0.0
0.05,2525089.8287025085,126254.49143512543,weighted_gradB2,0.0,0.0
0.05,3180090.3826036807,159004.51913018405,weighted_gradB2,0.0,0.0
0.05,4004996.0704664798,200249.803523324,weighted_gradB2,0.0,0.0
0.05,5043879.762725263,252193.98813626316,weighted_gradB2,0.0,0.0
0.05,6352246.697177473,317612.3348588737,weighted_gradB2,0.0,0.0
0.05,8000000.0,400000.0,weighted_gradB2,0.0,0.0
0.1,100000.0,10000.0,weighted_gradB2,4.695063268910123e-10,1.0
0.1,125939.69317272713,12593.969317272713,weighted_gradB2,2.7570111250574516e-10,0.5872149036444069
0.1,158608.06316440654,15860.806316440656,weighted_gradB2,1.5851378152117658e-10,0.337617988176702
0.1,199750.50809645883,19975.050809645883,weighted_gradB2,8.861507200001623e-11,0.18874095390111043
0.1,251565.1770076437,25156.517700764372,weighted_gradB2,4.771348683668004e-11,0.10162480057005897
0.1,316820.4120528544,31682.041205285437,weighted_gradB2,2.4439871423760128e-11,0.05205440272891875
0.1,399002.65484793467,39900.26548479347,weighted_gradB2,1.1755205905848015e-11,0.025037374860715736
0.1,502502.71926652436,50250.27192665244,weighted_gradB2,5.32241547717779e-12,0.011336195429829204
0.1,632850.3828288711,63285.038282887115,weighted_gradB2,2.4415336789609916e-12,0.00520021464913667
0.1,797009.8303771093,79700.98303771095,weighted_gradB2,1.1780456302226483e-12,0.0025091155597911914
0.1,1003751.7349334045,100375.17349334045,weighted_gradB2,5.075154901237824e-13,0.0010809555932599676
0.1,1264121.8551910524,126412.18551910525,weighted_gradB2,1.745891918694391e-13,0.000371856952440956
0.1,1592031.1857570007,159203.1185757001,weighted_gradB2,3.383351829793157e-14,7.206190068187395e-05
0.1,2004999.190556492,200499.9190556492,weighted_gradB2,0.0,0.0
0.1,2525089.8287025085,252508.98287025085,weighted_gradB2,0.0,0.0
0.1,3180090.3826036807,318009.0382603681,weighted_gradB2,0.0,0.0
0.1,4004996.0704664798,400499.607046648,weighted_gradB2,0.0,0.0
0.1,5043879.762725263,504387.9762725263,weighted_gradB2,0.0,0.0
0.1,6352246.697177473,635224.6697177474,weighted_gradB2,0.0,0.0
0.1,8000000.0,800000.0,weighted_gradB2,0.0,0.0
