x_m,y_m,z_m,Bx_real_T,By_real_T,Bz_real_T,Bmag_T,Pmag_proxy_Pa
-0.1,-0.1,0.0,0.0,0.0,-3.8759428808408404e-15,4.158420172423905e-15,-6.880450553743236e-24
-0.1,-0.096,0.0,0.0,0.0,-6.34338691388406e-15,6.347825618305495e-15,-1.603282734410678e-23
-0.1,-0.092,0.0,0.0,0.0,-8.668433644125958e-15,9.684331499065533e-15,-3.731637378123578e-23
-0.1,-0.08800000000000001,0.0,0.0,0.0,-9.123198751364095e-15,1.4754169032044288e-14,-8.661430993344756e-23
-0.1,-0.084,0.0,0.0,0.0,-4.603546776570685e-15,2.242701460976468e-14,-2.0012579596047814e-22
-0.1,-0.08,0.0,0.0,0.0,9.116895396868424e-15,3.3978731958650056e-14,-4.593825301469765e-22
-0.1,-0.07600000000000001,0.0,0.0,0.0,3.5645975669323465e-14,5.1255771416332777e-14,-1.0453114045838321e-21
-0.1,-0.07200000000000001,0.0,0.0,0.0,7.378955667969466e-14,7.688668143731846e-14,-2.3521356976726226e-21
-0.1,-0.068,0.0,0.0,0.0,1.1091821100714405e-13,1.1453956541947787e-13,-5.220008405406988e-21
-0.1,-0.064,0.0,0.0,0.0,1.1674456281609565e-13,1.6921127372254212e-13,-1.1392491926860617e-20
-0.1,-0.060000000000000005,0.0,0.0,0.0,4.516974482471315e-14,2.4751198620245347e-13,-2.437544824751598e-20
-0.1,-0.05600000000000001,0.0,0.0,0.0,-1.4432474480164428e-13,3.578760574557976e-13,-5.095953176558312e-20
-0.1,-0.052000000000000005,0.0,0.0,0.0,-4.3890002142326587e-13,5.105881097425548e-13,-1.0372932082417727e-19
-0.1,-0.048,0.0,0.0,0.0,-7.136179360971937e-13,7.17470016605235e-13,-2.0481777934327088e-19
-0.1,-0.044000000000000004,0.0,0.0,0.0,-7.156551038042951e-13,9.910456859587408e-13,-3.907936435262925e-19
-0.1,-0.04000000000000001,0.0,0.0,0.0,-1.6990984941779e-13,1.3430133553268501e-12,-7.176634081304564e-19
-0.1,-0.036000000000000004,0.0,0.0,0.0,9.648339575142988e-13,1.7819412415262652e-12,-1.263417531480347e-18
-0.1,-0.032,0.0,0.0,0.0,2.219302920689753e-12,2.3102886114308443e-12,-2.123697299683391e-18
-0.1,-0.027999999999999997,0.0,0.0,0.0,2.6273966513417027e-12,2.9211379484804303e-12,-3.39519149001623e-18
-0.1,-0.024000000000000007,0.0,0.0,0.0,1.297514791519652e-12,3.595351502856006e-12,-5.143311790565129e-18
-0.1,-0.020000000000000004,0.0,0.0,0.0,-1.6498376496746503e-12,4.300119915997941e-12,-7.357347582456725e-18
-0.1,-0.016,0.0,0.0,0.0,-4.591668155289706e-12,4.9898913678814176e-12,-9.907003631902362e-18
-0.1,-0.01200000000000001,0.0,0.0,0.0,-5.205292917050914e-12,5.610320164277441e-12,-1.2523780060143946e-17
-0.1,-0.008000000000000007,0.0,0.0,0.0,-2.35781889575709e-12,6.105133244092186e-12,-1.4830316991259735e-17
-0.1,-0.0040000000000000036,0.0,0.0,0.0,2.5050001879167028e-12,6.424851386780287e-12,-1.6424278977990974e-17
-0.1,0.0,0.0,0.0,0.0,6.091518818869708e-12,6.5354657366651286e-12,-1.699468912142299e-17
-0.1,0.0040000000000000036,0.0,0.0,0.0,5.843003836549478e-12,6.424851382053655e-12,-1.6424278953824957e-17
-0.1,0.007999999999999993,0.0,0.0,0.0,2.064187345552333e-12,6.105133242262897e-12,-1.4830316982372484e-17
-0.1,0.011999999999999997,0.0,0.0,0.0,-2.425505243938556e-12,5.610320168205445e-12,-1.252378007768072e-17
-0.1,0.016,0.0,0.0,0.0,-4.7055808466175316e-12,4.9898913699745e-12,-9.907003640213634e-18
-0.1,0.01999999999999999,0.0,0.0,0.0,-3.898542708361035e-12,4.3001199161909655e-12,-7.357347583117241e-18
-0.1,0.023999999999999994,0.0,0.0,0.0,-1.3074968867617296e-12,3.595351501122803e-12,-5.14331178560628e-18
-0.1,0.027999999999999997,0.0,0.0,0.0,1.0755762520602759e-12,2.921137948792843e-12,-3.395191490742454e-18
-0.1,0.032,0.0,0.0,0.0,2.0703097483994816e-12,2.3102886096991445e-12,-2.123697296499714e-18
-0.1,0.036000000000000004,0.0,0.0,0.0,1.7233177612370926e-12,1.7819412373281275e-12,-1.2634175255272878e-18
-0.1,0.04000000000000001,0.0,0.0,0.0,7.743824939816609e-13,1.3430133535539305e-12,-7.176634062356732e-19
-0.1,0.04400000000000001,0.0,0.0,0.0,-6.481558454014824e-14,9.910456876861464e-13,-3.907936448886094e-19
-0.1,0.04799999999999999,0.0,0.0,0.0,-4.761609291986985e-13,7.174700137582802e-13,-2.0481777771781778e-19
-0.1,0.05199999999999999,0.0,0.0,0.0,-4.998864965400786e-13,5.105881109755432e-13,-1.0372932132515659e-19
-0.1,0.055999999999999994,0.0,0.0,0.0,-3.2760194769125556e-13,3.578760563562127e-13,-5.095953145243376e-20
-0.1,0.06,0.0,0.0,0.0,-1.3103264343092296e-13,2.475119857650934e-13,-2.437544816137188e-20
-0.1,0.064,0.0,0.0,0.0,3.3808876456149274e-15,1.692112706117389e-13,-1.1392491507978356e-20
-0.1,0.068,0.0,0.0,0.0,6.250680354241115e-14,1.1453956372734025e-13,-5.220008251172553e-21
-0.1,0.07200000000000001,0.0,0.0,0.0,6.900956706391983e-14,7.688668229415094e-14,-2.3521357500974698e-21
-0.1,0.07599999999999998,0.0,0.0,0.0,5.1162518914284205e-14,5.1255770020915825e-14,-1.0453113476675006e-21
-0.1,0.07999999999999999,0.0,0.0,0.0,2.8829365688549854e-14,3.397873162960207e-14,-4.593825212497113e-22
-0.1,0.08399999999999999,0.0,0.0,0.0,1.1428008117490634e-14,2.2427016688804246e-14,-2.0012583306478956e-22
-0.1,0.088,0.0,0.0,0.0,1.1022573150309403e-15,1.4754168745432283e-14,-8.66143065683376e-23
-0.1,0.092,0.0,0.0,0.0,-3.477041343479578e-15,9.684331472794081e-15,-3.7316373578773624e-23
-0.1,0.096,0.0,0.0,0.0,-4.518042506314508e-15,6.347824442535854e-15,-1.6032821404778566e-23
-0.1,0.1,0.0,0.0,0.0,-3.875943092599077e-15,4.1584198519726195e-15,-6.880449493316899e-24
-0.096,-0.1,0.0,0.0,0.0,-4.518043512166133e-15,6.347824898140729e-15,-1.6032823706238512e-23
-0.096,-0.096,0.0,0.0,0.0,-9.193715567711996e-15,9.86374960196003e-15,-3.871187600459298e-23
-0.096,-0.092,0.0,0.0,0.0,-1.5306542707391836e-14,1.5329520681631813e-14,-9.350122304209992e-23
-0.096,-0.08800000000000001,0.0,0.0,0.0,-2.091329095449328e-14,2.3808620595324498e-14,-2.2554261371393454e-22
-0.096,-0.084,0.0,0.0,0.0,-2.1154619111495504e-14,3.692014985285795e-14,-5.423592487396165e-22
-0.096,-0.08,0.0,0.0,0.0,-7.306817434684151e-15,5.710468237448432e-14,-1.2974886899183793e-21
-0.096,-0.07600000000000001,0.0,0.0,0.0,3.212238028333205e-14,8.799590366355411e-14,-3.0809528459703038e-21
-0.096,-0.07200000000000001,0.0,0.0,0.0,1.053888404903237e-13,1.349224048411367e-13,-7.243163474469875e-21
-0.096,-0.068,0.0,0.0,0.0,2.0381297628877144e-13,2.0555483365249346e-13,-1.6811850825736194e-20
-0.096,-0.064,0.0,0.0,0.0,2.8167442622786327e-13,3.106888654813288e-13,-3.8407100226606546e-20
-0.096,-0.060000000000000005,0.0,0.0,0.0,2.419616690371002e-13,4.651054028107611e-13,-8.607220110020279e-20
-0.096,-0.05600000000000001,0.0,0.0,0.0,-4.35977174255417e-14,6.883672576098287e-13,-1.8853871809567047e-19
-0.096,-0.052000000000000005,0.0,0.0,0.0,-6.448639226851088e-13,1.0052928206561023e-12,-4.021103969780693e-19
-0.096,-0.048,0.0,0.0,0.0,-1.4112094897070186e-12,1.4457028211472758e-12,-8.316071168094287e-19
-0.096,-0.044000000000000004,0.0,0.0,0.0,-1.831612901577245e-12,2.0429026335004117e-12,-1.6605634586306301e-18
-0.096,-0.04000000000000001,0.0,0.0,0.0,-1.1348012256015173e-12,2.8303129776321077e-12,-3.1873449372085204e-18
-0.096,-0.036000000000000004,0.0,0.0,0.0,1.1623259943740192e-12,3.835803318807374e-12,-5.8542707167020716e-18
-0.096,-0.032,0.0,0.0,0.0,4.3966765726075326e-12,5.073727779929448e-12,-1.0242700289060576e-17
-0.096,-0.027999999999999997,0.0,0.0,0.0,6.353398605092589e-12,6.535465731313635e-12,-1.6994689093591165e-17
