n,c_real,c_imag,abs_c,real_sinusoid_amplitude,phase_rad
0,0.382,0.0,0.382,0.382,0.0
1,0.10748255464459154,-0.27653380131456184,0.2966874497217723,0.5933748994435446,-1.200088393671301
2,-0.07926979393755298,-0.07258649545215348,0.10748255464459155,0.2149651092891831,-2.400176787342602
3,0.042122498904102496,-0.020799943719490455,0.046978107376309725,0.09395621475261945,-0.4586725274241095
4,-0.006963946247744849,-0.0789633059310502,0.07926979393755297,0.15853958787510594,-1.6587609210954104
5,-0.017055896612398997,-0.00495519603154483,0.01776112544192741,0.03552225088385482,-2.8588493147667116
6,0.025607543298411736,-0.033444859696911335,0.042122498904102496,0.08424499780820499,-0.9173450548482192
7,-0.020193043709822518,-0.03318562137932708,0.038846421721940534,0.07769284344388107,-2.1174334485195203
8,0.006856453103108065,-0.0012188511748196945,0.0069639462477448484,0.013927892495489697,-0.17592918860102777
9,0.0067159689261404405,-0.034042839255693666,0.034698978993709335,0.06939795798741867,-1.3760175822723286
10,-0.014400769804323685,-0.009139006417314893,0.017055896612398997,0.034111793224797994,-2.5761059759436296
11,0.01381558293451095,-0.010170846098188684,0.01715565335897733,0.03431130671795466,-0.6346017160251374
12,-0.006679510166341448,-0.024721052115914743,0.02560754329841173,0.05121508659682346,-1.8346901096964383
13,-0.0025955368857478144,-0.00027829926922123995,0.0026104141833292547,0.005220828366658509,-3.034778503367741
14,0.009280316213683864,-0.01793417813117844,0.020193043709822514,0.04038608741964503,-1.0932742434492468
15,-0.010526663921889228,-0.011940156449823054,0.01591785127995156,0.03183570255990312,-2.293362637120548
16,0.0064363846713035135,-0.002363028040064144,0.006856453103108066,0.013712906206216131,-0.35185837720205554
17,0.0003528575810562286,-0.01871745895543167,0.018720784658255597,0.03744156931651119,-1.55194677087336
18,-0.00621278977538101,-0.0025505846043221477,0.0067159689261404405,0.013431937852280881,-2.7520351645446572
19,0.008365995973284395,-0.008797451299604587,0.012140223968029797,0.024280447936059595,-0.8105309046261651
20,-0.006131549565276607,-0.013030206095287867,0.014400769804323685,0.02880153960864737,-2.010619298297466
21,0.0010442859939299933,-7.229101192511285e-05,0.0010467851869048926,0.002093570373809785,-0.06911503837897727
22,0.0041038026052758496,-0.01319201030917128,0.01381558293451095,0.0276311658690219,-1.2692034320502747
23,-0.006743511694776982,-0.005367875778079179,0.008619109022775096,0.01723821804555019,-2.4692918257215757
24,0.005770585248079994,-0.0033639562953314823,0.006679510166341448,0.013359020332682896,-0.5277875658030834
25,-0.00196726328616695,-0.012420811552801062,0.01257563853119581,0.02515127706239162,-1.7278759594743878
26,-0.0025365354619868,-0.0005502722738434806,0.0025955368857478144,0.005191073771495629,-2.927964353145689
27,0.00542442397403204,-0.00820162950981615,0.009833163380435649,0.019666326760871298,-0.9864600932271929
28,-0.005360057324150875,-0.007575886384297232,0.009280316213683864,0.01856063242736773,-2.1865484868984937
29,0.0025832709495484207,-0.0006459976951090153,0.0026628183980262265,0.005325636796052453,-0.24504422698000144
30,0.0013193408279751036,-0.010443658032703019,0.010526663921889228,0.021053327843778457,-1.4451326206513024
31,-0.004299894437121747,-0.0023288252236022614,0.004890042851803721,0.009780085703607442,-2.6452210143226034
32,0.004907373290624254,-0.004164701072521114,0.0064363846713035135,0.012872769342607027,-0.7037167544041111
33,-0.0029798609563688474,-0.008615049507951972,0.00911584605748446,0.01823169211496892,-1.903805148075412
34,-0.0003526068660909127,-1.3299266686478969e-05,0.00035285758105622856,0.0007057151621124571,-3.10389354174672
35,0.003314827440372356,-0.00766011425084848,0.008346582012746146,0.016693164025492292,-1.1623892818282207
36,-0.004420621580184637,-0.004365416548038078,0.006212789775381008,0.012425579550762017,-2.3624776754995214
37,0.00320865460945644,-0.0014366449251856583,0.0035155956883361553,0.0070311913766723105,-0.42097341558102924
38,-0.00042034376357234587,-0.008355429357336255,0.008365995973284395,0.01673199194656879,-1.6210618092523301
39,-0.0024399880398174585,-0.0008097844930879348,0.0025708544415617793,0.005141708883123559,-2.821150202923631
40,0.003908396787240474,-0.004724440138781746,0.006131549565276607,0.012263099130553214,-0.8796459430051389
