i,j,mean_Tij_Pa,max_abs_Tij_Pa
0,0,-0.0072059049544677236,3.0145549448157705
0,1,0.0,0.0
0,2,0.0,0.0
1,0,0.0,0.0
1,1,-0.0072059049544677236,3.0145549448157705
1,2,0.0,0.0
2,0,0.0,0.0
2,1,0.0,0.0
2,2,0.0072059049544677236,3.0145549448157705
