a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.002288594393410914,0.05923226662713715,-0.02034520491881052,0.028182586787878522,1,1,1,1,1,1,1,1,1
0.002861917514224986,0.08899095902571962,0.009413487479771943,0.043569613917544506,1,1,1,1,1,1,1,1,1
0.0035788656486309563,0.07119260592552869,-0.008384865620418985,0.036443438719467404,1,1,1,1,1,1,1,1,1
0.004475418759376507,0.11017856149246705,0.030601089946519375,0.058533479855031545,1,1,1,1,1,1,1,1,1
0.005596570265061807,0.08404583213450943,0.0044683605885617594,0.04742622387857854,1,1,1,1,1,1,1,1,1
0.00699858502987049,0.06795512452256859,-0.011622347023379082,0.04025556780965749,1,1,1,1,1,1,1,1,1
0.0087518230095493,0.0824683130911424,0.002890841545194728,0.05090204773963345,1,1,1,1,1,1,1,1,1
0.010944270257997268,0.06691368128330641,-0.012663790262641264,0.043516306794655346,0,1,1,1,1,1,1,1,1
0.013685954497639215,0.08943113745154707,0.009853665905599399,0.06080625979371947,0,1,1,1,1,1,1,1,1
0.01711446684849381,0.08412146834328052,0.004543996797332847,0.06089914447612915,0,1,1,1,1,1,1,1,1
0.021401866823298213,0.07815362943517484,-0.00142384211077283,0.06024780959552769,0,0,1,1,1,1,1,1,1
0.026763317115105073,0.07231002163946583,-0.007267449906481843,0.05931673740850976,0,0,1,1,1,1,1,1,1
0.03346788151321147,0.08019776970736739,0.0006202981614197162,0.06993549257073303,0,0,1,1,1,1,1,1,1
0.04185202783963517,0.0813068943737086,0.0017294228277609236,0.07623416517894047,0,0,0,1,1,1,1,1,1
0.0523365135495103,0.07879392519731297,-0.0007835463486347005,0.07997479135846876,0,0,0,1,1,1,1,1,1
0.06544750139738875,0.08131843746700601,0.0017409659210583378,0.0897118221641213,0,0,0,0,1,1,1,1,1
0.08184296485682277,0.07947450847925705,-0.00010296306669062283,0.09631847569141232,0,0,0,0,0,1,1,1,1
0.10234570844628732,0.07772456602957352,-0.0018529055163741537,0.10423765986683976,0,0,0,0,0,0,1,1,1
0.127984660082842,0.07949080583631045,-8.666570963722364e-05,0.11901191596554075,0,0,0,0,0,0,0,1,1
0.16004650771573029,0.07870143531272872,-0.0008760362332189547,0.1337476517771307,0,0,0,0,0,0,0,0,0
0.20014027161865572,0.07824757849757767,-0.001329893048370001,0.1535076398348216,0,0,0,0,0,0,0,0,0
0.25027805289407346,0.0776472133395116,-0.0019302582064360668,0.1799541718481048,0,0,0,0,0,0,0,0,0
0.3129760105442459,0.076373994155827,-0.003203477390120668,0.21584571197061334,0,0,0,0,0,0,0,0,0
