module,cpp_symbol,header_file
knot_dynamics,KnotDynamics::compute_helicity_from_fourier_block,knot_dynamics.h
knot_dynamics,FourierKnot::parse_ideal_gilbert_from_string,knot_dynamics.h
knot_dynamics,FourierKnot::parse_ideal_txt_multi,knot_dynamics.h
knot_dynamics,FourierKnot::parse_ideal_txt_from_string,knot_dynamics.h
knot_dynamics,FourierKnot::parse_ideal_ab_by_id_from_string,knot_dynamics.h
knot_dynamics,FourierKnot::parse_ideal_ab_by_id_from_embedded,knot_dynamics.h
knot_dynamics,FourierKnot::index_of_ideal_id,knot_dynamics.h
knot_dynamics,FourierKnot::format_ideal_ab_header,knot_dynamics.h
knot_dynamics,FourierKnot::evaluate_ideal_component,knot_dynamics.h
knot_dynamics,FourierKnot::evaluate_ideal_ab_components,knot_dynamics.h
knot_dynamics,FourierKnot::parse_fseries_multi,knot_dynamics.h
knot_dynamics,FourierKnot::parse_fseries_from_string,knot_dynamics.h
knot_dynamics,FourierKnot::index_of_largest_block,knot_dynamics.h
knot_dynamics,FourierKnot::evaluate,knot_dynamics.h
knot_dynamics,FourierKnot::center_points,knot_dynamics.h
knot_dynamics,FourierKnot::curvature,knot_dynamics.h
knot_dynamics,FourierKnot::load_knot,knot_dynamics.h
knot_dynamics,FourierKnot::load_all_knots,knot_dynamics.h
knot_dynamics,FourierKnot::evaluate_with_derivatives,knot_dynamics.h
knot_dynamics,FourierKnot::curvature_exact,knot_dynamics.h
knot_dynamics,FourierKnot::length_exact,knot_dynamics.h
knot_dynamics,FourierKnot::bending_energy_exact,knot_dynamics.h
knot_dynamics,FourierKnot::mode_energies,knot_dynamics.h
knot_dynamics,FourierKnot::min_self_distance_sampled,knot_dynamics.h
knot_dynamics,FourierKnot::min_self_distance_exactish,knot_dynamics.h
knot_dynamics,FourierKnot::describe_fourier_block,knot_dynamics.h
knot_dynamics,FourierKnot::evalPoint,knot_dynamics.h
knot_dynamics,get_embedded_knot_files,knot_dynamics.h
knot_dynamics,get_embedded_ideal_files,knot_dynamics.h
knot_dynamics,load_embedded_ideal_text,knot_dynamics.h
knot_dynamics,find_knot_file_path,knot_dynamics.h
knot_dynamics,find_ideal_file_path,knot_dynamics.h
knot_dynamics,find_ideal_ab_block_by_id,knot_dynamics.h
knot_dynamics,find_ideal_block_by_id,knot_dynamics.h
multisector_fitter,NodeAnalyzer::localMinimaIndices,multisector_fitter.h
multisector_fitter,NodeAnalyzer::localMaximaIndices,multisector_fitter.h
multisector_fitter,NodeAnalyzer::strongestMinimaT,multisector_fitter.h
multisector_fitter,NodeAnalyzer::strongestMinimaValues,multisector_fitter.h
multisector_fitter,NodeAnalyzer::strongestMinimaTWithNeighborhoodExclusion,multisector_fitter.h
multisector_fitter,NodeAnalyzer::extraMinimaPenalty,multisector_fitter.h
multisector_fitter,TraceFormula::evaluateSectorLogZ,multisector_fitter.h
multisector_fitter,TraceFormula::evaluateSectorDLogZDs,multisector_fitter.h
multisector_fitter,TraceFormula::evaluateMultisectorLogZ,multisector_fitter.h
multisector_fitter,TraceFormula::evaluateMultisectorDLogZDs,multisector_fitter.h
multisector_fitter,TraceFormula::phaseDerivativeFromXi,multisector_fitter.h
multisector_fitter,MultisectorFitterV2::completionFactor,multisector_fitter.h
multisector_fitter,MultisectorFitterV2::evaluateSector,multisector_fitter.h
multisector_fitter,MultisectorFitterV2::evaluateSectorAbs,multisector_fitter.h
multisector_fitter,MultisectorFitterV2::evaluateMultisector,multisector_fitter.h
multisector_fitter,MultisectorFitterV2::evaluateMultisectorAbs,multisector_fitter.h
multisector_fitter,MultisectorFitterV2::evaluateMultisectorAbsBatchM,multisector_fitter.h
multisector_fitter,MultisectorFitterV2::objectiveNearNodes,multisector_fitter.h
multisector_fitter,MultisectorFitterV2::objectiveSuppressedBreakdown,multisector_fitter.h
multisector_fitter,MultisectorFitterV2::objectiveSuppressed,multisector_fitter.h
multisector_fitter,MultisectorFitterV2::phaseInvariants,multisector_fitter.h
multisector_fitter,MultisectorFitter::evaluateSector,multisector_fitter.h
multisector_fitter,MultisectorFitter::evaluateMultisector,multisector_fitter.h
multisector_fitter,MultisectorFitter::evaluateMultisectorAbs,multisector_fitter.h
multisector_fitter,MultisectorFitter::objectiveNearNodes,multisector_fitter.h
resolved_tube_geometry,ResolvedTubeGeometry::segment_segment_distance,resolved_tube_geometry.h
resolved_tube_geometry,ResolvedTubeTightener::projected_gradient_flat,resolved_tube_geometry.h
resolved_tube_geometry,ContactStressMap::to_eigen_sparse,resolved_tube_geometry.h
sst_extensions,parse_floats_line,sst_extensions.h
sst_extensions,is_comment_or_blank,sst_extensions.h
sst_extensions,canonicalize_fseries_file_inplace,sst_extensions.h
sst_extensions,helicity_from_fseries,sst_extensions.h
sst_extensions,sample_curve_centered,sst_extensions.h
sst_extensions,curve_length,sst_extensions.h
sst_extensions,min_non_neighbor_distance,sst_extensions.h
sst_extensions,reach_proxy,sst_extensions.h
sst_extensions,resolved_tube_metrics_from_fseries,sst_extensions.h
sst_extensions,curve_metrics_from_points,sst_extensions.h
sst_extensions,curve_metrics_from_fseries,sst_extensions.h
sst_extensions,filament_energy_from_fseries,sst_extensions.h
sst_extensions,batch_helicity_from_dir,sst_extensions.h
sst_extensions,compare_fseries_files,sst_extensions.h
sst_gravity,SSTGravity::compute_beltrami_shear,sst_gravity.h
sst_gravity,SSTGravity::compute_gravity_dilation,sst_gravity.h
sst_gravity,SSTGravity::compute_helicity_density,sst_gravity.h
sst_gravity,SSTGravity::compute_swirl_clock,sst_gravity.h
sst_gravity,SSTGravity::compute_swirl_coulomb_potential,sst_gravity.h
sst_gravity,SSTGravity::compute_swirl_coulomb_force,sst_gravity.h
sst_gravity,SSTGravity::compute_swirl_energy_density,sst_gravity.h
sst_gravity,SSTGravity::compute_G_swirl,sst_gravity.h
sst_gravity,SSTGravity::shear,sst_gravity.h
sst_gravity,SSTGravity::g_map,sst_gravity.h
sst_gravity,SSTGravity::h_map,sst_gravity.h
sst_gravity,SSTGravity::V,sst_gravity.h
sst_gravity,SSTGravity::F,sst_gravity.h
sst_integrator,compute_sst_mass,sst_integrator.h
trefoil_closure_kernels,trefoil_neumann_self_energy,trefoil_closure_kernels.h
trefoil_closure_kernels,trefoil_core_repulsion,trefoil_closure_kernels.h
trefoil_closure_kernels,trefoil_polyline_length,trefoil_closure_kernels.h
trefoil_closure_kernels,trefoil_writhe_reg,trefoil_closure_kernels.h
trefoil_closure_kernels,trefoil_curvature_penalty_menger,trefoil_closure_kernels.h
trefoil_operator,TrefoilOperator::buildUniformGrid,trefoil_operator.h
trefoil_operator,TrefoilOperator::buildIdentity,trefoil_operator.h
trefoil_operator,TrefoilOperator::buildSecondDifference,trefoil_operator.h
trefoil_operator,TrefoilOperator::buildLaplacianSchrodingerKinetic,trefoil_operator.h
trefoil_operator,TrefoilOperator::buildPotentialFromOptions,trefoil_operator.h
trefoil_operator,TrefoilOperator::buildPotentialFromNodes,trefoil_operator.h
trefoil_operator,TrefoilOperator::buildPotentialFromTraceDensity,trefoil_operator.h
trefoil_operator,TrefoilOperator::buildPotentialFromPhiAbs,trefoil_operator.h
trefoil_operator,TrefoilOperator::smoothPotentialBox,trefoil_operator.h
trefoil_operator,TrefoilOperator::assembleSchrodingerMatrix,trefoil_operator.h
trefoil_operator,TrefoilOperator::applyDiagonalShift,trefoil_operator.h
trefoil_operator,TrefoilOperator::assembleTransferKernel,trefoil_operator.h
trefoil_operator,TrefoilOperator::generatorFromTransferKernel,trefoil_operator.h
trefoil_operator,TrefoilOperator::matrixVectorMultiply,trefoil_operator.h
trefoil_operator,TrefoilOperator::rayleighQuotient,trefoil_operator.h
trefoil_operator,TrefoilOperator::normalizeVector,trefoil_operator.h
trefoil_operator,TrefoilOperator::residualNorm,trefoil_operator.h
trefoil_operator,TrefoilOperator::jacobiEigenSolveSymmetric,trefoil_operator.h
trefoil_operator,TrefoilOperator::eigenvalues,trefoil_operator.h
trefoil_operator,TrefoilOperator::traceFromDiagonal,trefoil_operator.h
trefoil_operator,TrefoilOperator::logDetFromEigenvalues,trefoil_operator.h
trefoil_operator,TrefoilOperator::spectralDensityHistogram,trefoil_operator.h
trefoil_operator,TrefoilOperator::nearestEigenvaluesToTargets,trefoil_operator.h
trefoil_operator,TrefoilOperator::buildAndSolveNodeAnchoredOperator,trefoil_operator.h
trefoil_operator,TrefoilOperator::buildAndSolveTraceAnchoredOperator,trefoil_operator.h
