module,cpp_symbol,header_file
biot_savart,BiotSavart::computeVelocity,biot_savart.h
biot_savart,BiotSavart::velocity,biot_savart.h
biot_savart,biot_savart_velocity,biot_savart.h
biot_savart,bs_cutoff_energy_scan,biot_savart.h
field_kernels,FieldKernels::biot_savart_wire_grid,field_kernels.h
field_kernels,FieldKernels::dipole_ring_field_grid,field_kernels.h
field_kernels,FieldKernels::mid,field_kernels.h
fluid_dynamics,compute_pressure_field,fluid_dynamics.h
fluid_dynamics,compute_velocity_magnitude,fluid_dynamics.h
fluid_dynamics,evolve_positions_euler,fluid_dynamics.h
frenet_helicity,FrenetHelicity::compute_frenet_frames,frenet_helicity.h
frenet_helicity,FrenetHelicity::compute_curvature_torsion,frenet_helicity.h
frenet_helicity,FrenetHelicity::compute_helicity,frenet_helicity.h
frenet_helicity,compute_frenet_frames,frenet_helicity.h
frenet_helicity,compute_curvature_torsion,frenet_helicity.h
frenet_helicity,compute_helicity,frenet_helicity.h
frenet_helicity,rk4_integrate,frenet_helicity.h
frenet_helicity,evolve_vortex_knot,frenet_helicity.h
knot_dynamics,MassFunctional::evaluate,knot_dynamics.h
knot_dynamics,MassFunctional::evaluate_electron_normalized,knot_dynamics.h
knot_dynamics,KnotDynamics::compute_writhe,knot_dynamics.h
knot_dynamics,KnotDynamics::compute_linking_number,knot_dynamics.h
knot_dynamics,KnotDynamics::compute_twist,knot_dynamics.h
knot_dynamics,KnotDynamics::compute_centerline_helicity,knot_dynamics.h
knot_dynamics,KnotDynamics::detect_reconnection_candidates,knot_dynamics.h
knot_dynamics,KnotDynamics::evaluate_fourier_series,knot_dynamics.h
knot_dynamics,KnotDynamics::writhe_gauss_curve,knot_dynamics.h
knot_dynamics,KnotDynamics::estimate_crossing_number,knot_dynamics.h
knot_dynamics,KnotDynamics::pd_from_curve,knot_dynamics.h
knot_dynamics,KnotDynamics::compute_biot_savart_velocity_grid,knot_dynamics.h
knot_dynamics,KnotDynamics::compute_vorticity_grid,knot_dynamics.h
knot_dynamics,KnotDynamics::extract_interior_field,knot_dynamics.h
knot_dynamics,KnotDynamics::compute_helicity_invariants,knot_dynamics.h
