a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.033652797415137235,0.12095851643713144,0.04138104489118377,0.06089714386516032,0,0,1,1,1,1,1,1,1
0.037343569163918774,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.04143911546780094,0.1909958040304347,0.11141833248448703,0.1023932051657053,0,0,0,1,1,1,1,1,1
0.045983828787658894,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.05102697019717391,0.1527170856801542,0.07313961413420654,0.0912113340235139,0,0,0,1,1,1,1,1,1
0.05662320333364819,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.06283318690830755,0.12718346942376435,0.04760599787781668,0.08358511525687948,0,0,0,0,1,1,1,1,1
0.06972423219843193,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.07737103264800481,0.10893288166298078,0.029355410117033104,0.07812052183391816,0,0,0,0,1,1,1,1,1
0.08585647348517168,0.09523428904786814,0.015656817501920467,0.07408415640152934,0,0,0,0,0,1,1,1,1
0.09527253013211627,0.08457044999277569,0.004992978446828014,0.07105246050195543,0,0,0,0,0,1,1,1,1
0.10572126514540191,0.07603101608921188,-0.003546455456735792,0.06876383446453564,0,0,0,0,0,0,1,1,1
0.11731593449281788,0.06903667005152023,-0.010540801494427446,0.06704853499556851,0,0,0,0,0,0,1,1,1
0.13018221515789083,0.06320119563454969,-0.01637627591139798,0.06579239576006991,0,0,0,0,0,0,0,1,1
0.14445956737831644,0.11227092545087142,0.032693453904923744,0.1251048974614554,0,0,0,0,0,0,0,0,1
0.1603027462838915,0.05033066003949552,-0.029246811506452156,0.06410378144720287,0,0,0,0,0,0,0,0,0
0.1778834793188979,0.09135337893641872,0.011775907390471047,0.12432198800159194,0,0,0,0,0,0,0,0,0
0.19739232763086148,0.08114399762773251,0.0015665260817848414,0.12610586506568647,0,0,0,0,0,0,0,0,0
0.21904075160165787,0.07290038187025051,-0.006677089675697162,0.1296432365056769,0,0,0,0,0,0,0,0,0
0.2430634029096777,0.0969462431449097,0.017368771598962024,0.1980859792199888,0,0,0,0,0,0,0,0,0
0.26972066796718,0.05785404749333787,-0.021723424052609804,0.1474105931414152,0,0,0,0,0,0,0,0,0
0.2993014903016698,0.078494447597279,-0.0010830239486686738,0.23458160370949374,0,0,0,0,0,0,0,0,0
0.3321265024736664,0.0903562084577788,0.010778736911831122,0.35278825341325654,0,0,0,0,0,0,0,0,0
