geometry,R_m,f0_hz,f0R_Hz_m,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
rodin,0.03,100000.0,3000.0,6.524138968943169e-19,1.092349383265352e-19,1.988959523664372e-19,1.5740264664225572e-32,1.6935832386419481e-31,2.7121362290493147e-36,7.912477914437564e-36
rodin,0.03,141421.35623730952,4242.640687119286,4.681267265102581e-19,6.672750989783598e-20,1.272707848638884e-19,6.444920803689101e-33,8.719408284154973e-32,1.1383388839454635e-36,4.0913164122418885e-36
rodin,0.03,200000.0,6000.0,4.061152001807102e-19,5.53092322746889e-20,1.0308456177602529e-19,4.2281209120208146e-33,6.562338517589113e-32,7.4040782275003595e-37,3.0782011833337e-36
rodin,0.05,100000.0,5000.0,5.739134225198085e-19,9.334758998448485e-20,1.7654770189787756e-19,1.240178727890054e-32,1.3105479165640419e-31,1.7194283612127037e-36,4.8759805665307405e-36
rodin,0.05,141421.35623730952,7071.067811865476,3.7312642581346125e-19,5.66662892298645e-20,1.0736820121685895e-19,4.586817859474608e-33,5.539520276492662e-32,6.4245888172022895e-37,2.0689739063024357e-36
rodin,0.05,200000.0,10000.0,3.067616093473752e-19,4.0754685133858735e-20,7.833348849864051e-20,2.4414907090815418e-33,3.7442268677745195e-32,3.435527899713539e-37,1.4001380253769886e-36
rodin,0.1,100000.0,10000.0,1.271741766138164e-19,1.717803931069874e-20,3.3084217564606807e-20,4.355137555037229e-34,6.435140142580829e-33,3.099308040084984e-38,1.2121003944101987e-37
rodin,0.1,141421.35623730952,14142.135623730952,9.365940179780403e-20,1.1948083016028256e-20,2.1465533525314587e-20,1.8333421147069265e-34,3.490301143553306e-33,1.279381878202566e-38,6.532882497400394e-38
rodin,0.1,200000.0,20000.0,6.0716666403635e-20,9.503151285016363e-21,1.7267943390446736e-20,1.1864279595373013e-34,1.4668171472508708e-33,8.13147967576596e-39,2.757087992122758e-38
