geometry,f0_hz,observable,value,total_length_m
sawbowl_curved,100000.0,gradB2_mean,2.335890246260295e-10,4.97285900922184
sawbowl_curved,234034.73193207162,gradB2_mean,4.283697544244723e-11,4.97285900922184
sawbowl_curved,547722.5575051662,gradB2_mean,7.833105748153036e-12,4.97285900922184
sawbowl_curved,1281861.0191887026,gradB2_mean,1.4309646301778047e-12,4.97285900922184
sawbowl_curved,3000000.0,gradB2_mean,2.6131801261775096e-13,4.97285900922184
sawbowl_chord,100000.0,gradB2_mean,1.9669337596691085e-09,4.493228207197632
sawbowl_chord,234034.73193207162,gradB2_mean,3.605476363551521e-10,4.493228207197632
sawbowl_chord,547722.5575051662,gradB2_mean,6.592037654573567e-11,4.493228207197632
sawbowl_chord,1281861.0191887026,gradB2_mean,1.2041895526610177e-11,4.493228207197632
sawbowl_chord,3000000.0,gradB2_mean,2.1990143376333247e-12,4.493228207197632
rodin6lane,100000.0,gradB2_mean,3.4256507070608735e-09,7.519378780722109
rodin6lane,234034.73193207162,gradB2_mean,6.259899915292453e-10,7.519378780722109
rodin6lane,547722.5575051662,gradB2_mean,1.143279451195624e-10,7.519378780722109
rodin6lane,1281861.0191887026,gradB2_mean,2.087610206528529e-11,7.519378780722109
rodin6lane,3000000.0,gradB2_mean,3.811643182954339e-12,7.519378780722109
