R_m,duty,f0_Hz,n,PWM_amp,x,G_candidate,contribution,running_score
0.03,0.382,100000.0,1,0.5933748994435446,0.01723237301916063,0.9999505082882002,0.5933455323040321,0.5933455323040321
0.03,0.382,100000.0,3,0.09395621475261945,0.05169711905748189,0.9995546274993106,0.09391436923829977,0.6872599015423319
0.03,0.382,100000.0,5,0.03552225088385483,0.08616186509580313,0.9987631480343716,0.035478315118025586,0.7227382166603574
0.03,0.382,100000.0,7,0.07769284344388107,0.1206266111341244,0.9975766338797317,0.07750456523929186,0.8002427818996493
0.03,0.382,300000.0,1,0.5933748994435446,0.05169711905748189,0.9995546274993106,0.5931106265807331,0.5931106265807331
0.03,0.382,300000.0,3,0.09395621475261945,0.15509135717244563,0.9959959304168027,0.09358000753097613,0.6866906341117093
0.03,0.382,300000.0,5,0.03552225088385483,0.25848559528740944,0.9889013421937917,0.035128001576788644,0.7218186356884979
0.03,0.382,300000.0,7,0.07769284344388107,0.3618798334023732,0.9783163007237116,0.0760081751907242,0.7978268108792221
0.03,0.382,1000000.0,1,0.5933748994435446,0.17232373019160627,0.995058098648791,0.5904424992262111,0.5904424992262111
0.03,0.382,1000000.0,3,0.09395621475261945,0.5169711905748189,0.9560482534677097,0.08982667501667889,0.6802691742428899
0.03,0.382,1000000.0,5,0.03552225088385483,0.8616186509580315,0.880781349542453,0.03128733607226725,0.7115565103151571
0.03,0.382,1000000.0,7,0.07769284344388107,1.2062661113412438,0.7745317045362793,0.06017557046285949,0.7717320807780166
0.03,0.382,3000000.0,1,0.5933748994435446,0.5169711905748189,0.9560482534677097,0.5672950362645787,0.5672950362645787
0.03,0.382,3000000.0,3,0.09395621475261945,1.5509135717244564,0.6446538109956382,0.06056923190700073,0.6278642681715794
0.03,0.382,3000000.0,5,0.03552225088385483,2.5848559528740944,0.20442861696501138,0.007261764619670596,0.6351260327912499
0.03,0.382,3000000.0,7,0.07769284344388107,3.618798334023732,-0.12692026089020253,-0.009860795959199047,0.6252652368320508
0.03,0.5,100000.0,1,0.6366197723675814,0.01723237301916063,0.9999505082882002,0.6365882649652813,0.6365882649652813
0.03,0.5,100000.0,3,0.2122065907891938,0.05169711905748189,0.9995546274993106,0.21211207980919122,0.8487003447744725
0.03,0.5,100000.0,5,0.12732395447351627,0.08616186509580313,0.9987631480343716,0.12716647359015412,0.9758668183646266
0.03,0.5,100000.0,7,0.09094568176679733,0.1206266111341244,0.9975766338797317,0.09072528708281898,1.0665921054474456
0.03,0.5,300000.0,1,0.6366197723675814,0.05169711905748189,0.9995546274993106,0.6363362394275737,0.6363362394275737
0.03,0.5,300000.0,3,0.2122065907891938,0.15509135717244563,0.9959959304168027,0.2113569008336608,0.8476931402612344
0.03,0.5,300000.0,5,0.12732395447351627,0.25848559528740944,0.9889013421937917,0.12591082947228147,0.9736039697335159
0.03,0.5,300000.0,7,0.09094568176679733,0.3618798334023732,0.9783163007237116,0.08897364295288908,1.062577612686405
0.03,0.5,1000000.0,1,0.6366197723675814,0.17232373019160627,0.995058098648791,0.6334736602543117,0.6334736602543117
0.03,0.5,1000000.0,3,0.2122065907891938,0.5169711905748189,0.9560482534677097,0.2028797404983457,0.8363534007526574
0.03,0.5,1000000.0,5,0.12732395447351627,0.8616186509580315,0.880781349542453,0.11214456445026551,0.948497965202923
0.03,0.5,1000000.0,7,0.09094568176679733,1.2062661113412438,0.7745317045362793,0.07044031391905156,1.0189382791219745
0.03,0.5,3000000.0,1,0.6366197723675814,0.5169711905748189,0.9560482534677097,0.6086392214950371,0.6086392214950371
0.03,0.5,3000000.0,3,0.2122065907891938,1.5509135717244564,0.6446538109956382,0.13679978747064567,0.7454390089656828
0.03,0.5,3000000.0,5,0.12732395447351627,2.5848559528740944,0.20442861696501138,0.026028659919537005,0.7714676688852198
0.03,0.5,3000000.0,7,0.09094568176679733,3.618798334023732,-0.12692026089020253,-0.011542849656679254,0.7599248192285405
0.05,0.382,100000.0,1,0.5933748994435446,0.02872062169860105,0.9998625266515737,0.593293326209246,0.593293326209246
0.05,0.382,100000.0,3,0.09395621475261945,0.08616186509580315,0.9987631480343716,0.09384000482371967,0.6871333310329657
0.05,0.382,100000.0,5,0.03552225088385483,0.14360310849300523,0.9965665666391065,0.035400287602616175,0.7225336186355819
0.05,0.382,100000.0,7,0.07769284344388107,0.20104435189020733,0.9932771290174848,0.0771705244811431,0.799704143116725
0.05,0.382,300000.0,1,0.5933748994435446,0.08616186509580315,0.9987631480343716,0.5926409825328133,0.5926409825328133
0.05,0.382,300000.0,3,0.09395621475261945,0.25848559528740944,0.9889013421937917,0.0929134268763135,0.6855544094091268
0.05,0.382,300000.0,5,0.03552225088385483,0.4308093254790158,0.9693530066893025,0.03443360069863641,0.7199880101077633
0.05,0.382,300000.0,7,0.07769284344388107,0.603133055670622,0.9404649852737784,0.07306739886532758,0.7930554089730908
0.05,0.382,1000000.0,1,0.5933748994435446,0.28720621698601045,0.9863086883622966,0.5852508187772721,0.5852508187772721
0.05,0.382,1000000.0,3,0.09395621475261945,0.8616186509580316,0.8807813495424529,0.08275488162771268,0.6680057004049849
