R_m,duty,f0_Hz,n,PWM_amp,x,G_candidate,contribution,running_score
0.05,0.382,1000000.0,5,0.03552225088385483,1.4360310849300526,0.6900497562126076,0.024512120562527107,0.692517820967512
0.05,0.382,1000000.0,7,0.07769284344388107,2.0104435189020737,0.4501006236710404,0.03496959728886737,0.7274874182563794
0.05,0.382,3000000.0,1,0.5933748994435446,0.8616186509580316,0.8807813495424529,0.5226335447165025,0.5226335447165025
0.05,0.382,3000000.0,3,0.09395621475261945,2.5848559528740944,0.20442861696501138,0.019207339037145593,0.541840883753648
0.05,0.382,3000000.0,5,0.03552225088385483,4.308093254790157,-0.21340755925148014,-0.007580716860242192,0.5342601668934058
0.05,0.382,3000000.0,7,0.07769284344388107,6.03133055670622,-0.04131768622313698,-0.003210088527197583,0.5310500783662082
0.05,0.5,100000.0,1,0.6366197723675814,0.02872062169860105,0.9998625266515737,0.6365322541157996,0.6365322541157996
0.05,0.5,100000.0,3,0.2122065907891938,0.08616186509580315,0.9987631480343716,0.2119441226502569,0.8484763767660565
0.05,0.5,100000.0,5,0.12732395447351627,0.14360310849300523,0.9965665666391065,0.126886796160586,0.9753631729266425
0.05,0.5,100000.0,7,0.09094568176679733,0.20104435189020733,0.9932771290174848,0.09033426568186227,1.0656974386085047
0.05,0.5,300000.0,1,0.6366197723675814,0.08616186509580315,0.9987631480343716,0.6358323679507707,0.6358323679507707
0.05,0.5,300000.0,3,0.2122065907891938,0.25848559528740944,0.9889013421937917,0.20985138245380244,0.8456837504045731
0.05,0.5,300000.0,5,0.12732395447351627,0.4308093254790158,0.9693530066893025,0.12342185809247486,0.969105608497048
0.05,0.5,300000.0,7,0.09094568176679733,0.603133055670622,0.9404649852737784,0.0855312292635248,1.0546368377605728
0.05,0.5,1000000.0,1,0.6366197723675814,0.28720621698601045,0.9863086883622966,0.627903612669373,0.627903612669373
0.05,0.5,1000000.0,3,0.2122065907891938,0.8616186509580316,0.8807813495424529,0.18690760741710916,0.8148112200864821
0.05,0.5,1000000.0,5,0.12732395447351627,1.4360310849300526,0.6900497562126076,0.08785986374447505,0.9026710838309572
0.05,0.5,1000000.0,7,0.09094568176679733,2.0104435189020737,0.4501006236710404,0.04093470808342345,0.9436057919143807
0.05,0.5,3000000.0,1,0.6366197723675814,0.8616186509580316,0.8807813495424529,0.5607228222513275,0.5607228222513275
0.05,0.5,3000000.0,3,0.2122065907891938,2.5848559528740944,0.20442861696501138,0.04338109986589501,0.6041039221172225
0.05,0.5,3000000.0,5,0.12732395447351627,4.308093254790157,-0.21340755925148014,-0.027171894358439683,0.5769320277587828
0.05,0.5,3000000.0,7,0.09094568176679733,6.03133055670622,-0.04131768622313698,-0.0037576651425898023,0.573174362616193
0.1,0.382,100000.0,1,0.5933748994435446,0.0574412433972021,0.9994501746413436,0.5930486468766403,0.5930486468766403
0.1,0.382,100000.0,3,0.09395621475261945,0.1723237301916063,0.995058098648791,0.093491892407979,0.6865405392846193
0.1,0.382,100000.0,5,0.03552225088385483,0.28720621698601045,0.9863086883622966,0.03503590467693129,0.7215764439615506
0.1,0.382,100000.0,7,0.07769284344388107,0.40208870378041467,0.9732711000245315,0.07561619920265984,0.7971926431642105
0.1,0.382,300000.0,1,0.5933748994435446,0.1723237301916063,0.995058098648791,0.5904424992262111,0.5904424992262111
0.1,0.382,300000.0,3,0.09395621475261945,0.5169711905748189,0.9560482534677097,0.08982667501667889,0.6802691742428899
0.1,0.382,300000.0,5,0.03552225088385483,0.8616186509580316,0.8807813495424529,0.03128733607226725,0.7115565103151571
0.1,0.382,300000.0,7,0.07769284344388107,1.206266111341244,0.7745317045362793,0.06017557046285949,0.7717320807780166
0.1,0.382,1000000.0,1,0.5933748994435446,0.5744124339720209,0.9459085211507671,0.5612783736206284,0.5612783736206284
0.1,0.382,1000000.0,3,0.09395621475261945,1.7232373019160632,0.5735735622194515,0.05389080078831572,0.6151691744089441
0.1,0.382,1000000.0,5,0.03552225088385483,2.872062169860105,0.09271348788450988,0.003293391776950795,0.6184625661858949
0.1,0.382,1000000.0,7,0.07769284344388107,4.0208870378041475,-0.19157193323659444,-0.014883768217192369,0.6035787979687025
0.1,0.382,3000000.0,1,0.5933748994435446,1.7232373019160632,0.5735735622194515,0.3403441548054427,0.3403441548054427
0.1,0.382,3000000.0,3,0.09395621475261945,5.169711905748189,-0.17355662826099924,-0.016306723836630985,0.3240374309688117
0.1,0.382,3000000.0,5,0.03552225088385483,8.616186509580315,0.0839484223319524,0.0029820369193794146,0.32701946788819114
0.1,0.382,3000000.0,7,0.07769284344388107,12.06266111341244,-0.04001419101516629,-0.003108816278074867,0.3239106516101163
0.1,0.5,100000.0,1,0.6366197723675814,0.0574412433972021,0.9994501746413436,0.6362697426729116,0.6362697426729116
0.1,0.5,100000.0,3,0.2122065907891938,0.1723237301916063,0.995058098648791,0.21115788675143723,0.8474276294243488
0.1,0.5,100000.0,5,0.12732395447351627,0.28720621698601045,0.9863086883622966,0.1255807225338746,0.9730083519582233
0.1,0.5,100000.0,7,0.09094568176679733,0.40208870378041467,0.9732711000245315,0.08851480373565182,1.0615231556938751
0.1,0.5,300000.0,1,0.6366197723675814,0.1723237301916063,0.995058098648791,0.6334736602543117,0.6334736602543117
0.1,0.5,300000.0,3,0.2122065907891938,0.5169711905748189,0.9560482534677097,0.2028797404983457,0.8363534007526574
0.1,0.5,300000.0,5,0.12732395447351627,0.8616186509580316,0.8807813495424529,0.1121445644502655,0.9484979652029228
0.1,0.5,300000.0,7,0.09094568176679733,1.206266111341244,0.7745317045362793,0.07044031391905156,1.0189382791219743
0.1,0.5,1000000.0,1,0.6366197723675814,0.5744124339720209,0.9459085211507671,0.6021840674155569,0.6021840674155569
0.1,0.5,1000000.0,3,0.2122065907891938,1.7232373019160632,0.5735735622194515,0.12171609020540335,0.7239001576209602
0.1,0.5,1000000.0,5,0.12732395447351627,2.872062169860105,0.09271348788450988,0.011804647910488238,0.7357048055314483
0.1,0.5,1000000.0,7,0.09094568176679733,4.0208870378041475,-0.19157193323659444,-0.017422640075585465,0.7182821654558629
0.1,0.5,3000000.0,1,0.6366197723675814,1.7232373019160632,0.5735735622194515,0.36514827061621,0.36514827061621
0.1,0.5,3000000.0,3,0.2122065907891938,5.169711905748189,-0.17355662826099924,-0.036829860392134095,0.32831841022407593
0.1,0.5,3000000.0,5,0.12732395447351627,8.616186509580315,0.0839484223319524,0.010688645103117025,0.33900705532719294
0.1,0.5,3000000.0,7,0.09094568176679733,12.06266111341244,-0.04001419101516629,-0.0036391178822211545,0.3353679374449718
