x_m,y_m,z_m
-0.043301270189221926,0.02500000000000002,0.0
-0.04574358030749093,0.02018724499906137,0.0
-0.04765293216531485,0.015139288492128753,0.0
-0.04900707991228401,0.00991494419908704,0.0
-0.04979024637873308,0.004575080933170151,0.0
-0.049993306895478096,-0.0008180865813243155,0.0
-0.04961389560529836,-0.006201722572524252,0.0
-0.048656433027529006,-0.011513102320295112,0.0
-0.04713207455460893,-0.016690342961688528,0.0
-0.04505858048065067,-0.021673124487916515,0.0
-0.04246010907632897,-0.026403392532518378,0.0
-0.039366935120971405,-0.03082603476253844,0.0
-0.03581509717123272,-0.034889522992084,0.0
-0.0318459776760238,-0.03854651353700091,0.0
-0.027505820829774704,-0.041754398815937135,0.0
-0.022845193781521063,-0.04447580377109279,0.0
-0.017918397477265036,-0.046679021324860084,0.0
-0.02196756589979971,-0.04491576614550794,0.0
-0.025845344834101405,-0.04280208114573856,0.0
-0.029521480106810077,-0.04035445715535295,0.0
-0.03296729075500347,-0.03759199037394885,0.0
-0.036155892793162385,-0.034536233383641424,0.0
-0.03906240896023794,-0.031211026997250875,0.0
-0.04166416281038773,-0.027642314253866387,0.0
-0.04394085563309828,-0.023857938012980404,0.0
-0.04587472482237458,-0.019887423726350533,0.0
-0.047450682459410705,-0.01576174908238846,0.0
-0.048656433027529006,-0.011513102320295112,0.0
-0.049482569340983516,-0.007174631099558956,0.0
-0.049922645939197506,-0.002780183884121219,0.0
-0.04997322937381829,0.0016359541410888225,0.0
-0.049633924996252916,0.0060393285608865595,0.0
-0.04890738003669028,0.010395584540887987,0.0
-0.04974293190443055,0.005063667203834184,0.0
-0.04999892908320647,-0.00032724689836756643,0.0
-0.04967238895097223,-0.005714348248342303,0.0
-0.04876711602542565,-0.011034871751075023,0.0
-0.047293657637588554,-0.01622682800976709,0.0
-0.04526918104489777,-0.021229725564035642,0.0
-0.04271727341556136,-0.02598527567566246,0.0
-0.03966766701456177,-0.03043807145043602,0.0
-0.0361558927931624,-0.03453623338364141,0.0
-0.03222286641794489,-0.03823201380795,0.0
-0.027914411562551117,-0.041482353201289256,0.0
-0.023280726016255582,-0.04424938187315209,0.0
-0.018375796829735183,-0.046500861184200604,0.0
-0.013256771312170441,-0.04821055915851646,0.0
-0.007983291208188081,-0.04935855611224124,0.0
-0.0026167978121472155,-0.04993147673772869,0.0
-0.007012661641814841,-0.04950578326516428,0.0
-0.01135381315171869,-0.04869384896386668,0.0
-0.015606382966479716,-0.04750200849125826,0.0
-0.019737192819213396,-0.0459395605074449,0.0
-0.023714014406161495,-0.04401869512768825,0.0
-0.027505820829774704,-0.041754398815937135,0.0
-0.031083028668503904,-0.0391643374614325,0.0
-0.03441772878468772,-0.036268718550614365,0.0
-0.037483904069788514,-0.0330901335096565,0.0
-0.040257632428142925,-0.02965338144766183,0.0
-0.04271727341556136,-0.02598527567566246,0.0
-0.04484363707663442,-0.022114434510950055,0.0
