i,j,mean_Tij_Pa,max_abs_Tij_Pa
0,0,-0.9148012856811183,483.0521544362092
0,1,0.0,0.0
0,2,0.0,0.0
1,0,0.0,0.0
1,1,-0.9148012856811183,483.0521544362092
1,2,0.0,0.0
2,0,0.0,0.0
2,1,0.0,0.0
2,2,0.9148012856811183,483.0521544362092
