geometry,f0_hz,harmonic,I_amp_A
sawbowl_curved_R0.030,100000.0,1,2.5315584169645535
sawbowl_curved_R0.030,100000.0,2,0.4597870171671288
sawbowl_curved_R0.030,100000.0,3,0.13407636516940724
sawbowl_curved_R0.030,100000.0,4,0.16973779422212448
sawbowl_curved_R0.030,140084.9687129001,1,1.8100518445158966
sawbowl_curved_R0.030,140084.9687129001,2,0.3284351798164143
sawbowl_curved_R0.030,140084.9687129001,3,0.09574915452888298
sawbowl_curved_R0.030,140084.9687129001,4,0.12120244914821902
sawbowl_curved_R0.030,196237.984592942,1,1.2934360880538462
sawbowl_curved_R0.030,196237.984592942,2,0.23455633163080322
sawbowl_curved_R0.030,196237.984592942,3,0.06836926037844739
sawbowl_curved_R0.030,196237.984592942,4,0.0865375125310841
sawbowl_curved_R0.030,274899.91931984853,1,0.9239419609415307
sawbowl_curved_R0.030,274899.91931984853,2,0.16748764336083777
sawbowl_curved_R0.030,274899.91931984853,3,0.04881455125789766
sawbowl_curved_R0.030,274899.91931984853,4,0.061783259112311764
sawbowl_curved_R0.030,385093.4659709974,1,0.6598519714947935
sawbowl_curved_R0.030,385093.4659709974,2,0.11958525179853506
sawbowl_curved_R0.030,385093.4659709974,3,0.034850789343189234
sawbowl_curved_R0.030,385093.4659709974,4,0.04410819179985256
sawbowl_curved_R0.030,539458.0613208943,1,0.47117795711641225
sawbowl_curved_R0.030,539458.0613208943,2,0.0853778598261862
sawbowl_curved_R0.030,539458.0613208943,3,0.024880491866911558
sawbowl_curved_R0.030,539458.0613208943,4,0.03148875232943758
sawbowl_curved_R0.030,755699.6564205922,1,0.3364199146497767
sawbowl_curved_R0.030,755699.6564205922,2,0.060952923809001504
sawbowl_curved_R0.030,755699.6564205922,3,0.017762076011160866
sawbowl_curved_R0.030,755699.6564205922,4,0.02247932402654154
sawbowl_curved_R0.030,1058621.627260278,1,0.2401876102230177
sawbowl_curved_R0.030,1058621.627260278,2,0.0435142312039478
sawbowl_curved_R0.030,1058621.627260278,3,0.012680037234383632
sawbowl_curved_R0.030,1058621.627260278,4,0.016047420619219373
sawbowl_curved_R0.030,1482969.7753355573,1,0.17147497033383458
sawbowl_curved_R0.030,1482969.7753355573,2,0.031064152128034147
sawbowl_curved_R0.030,1482969.7753355573,3,0.009051943433960142
sawbowl_curved_R0.030,1482969.7753355573,4,0.011455741174897859
sawbowl_curved_R0.030,2077417.7458005762,1,0.12241597453007763
sawbowl_curved_R0.030,2077417.7458005762,2,0.022175926148107265
sawbowl_curved_R0.030,2077417.7458005762,3,0.006461886274276169
sawbowl_curved_R0.030,2077417.7458005762,4,0.00817783488207361
sawbowl_curved_R0.030,2910149.9992409777,1,0.08739099559097857
sawbowl_curved_R0.030,2910149.9992409777,2,0.015830692527452974
sawbowl_curved_R0.030,2910149.9992409777,3,0.0046129008617734795
sawbowl_curved_R0.030,2910149.9992409777,4,0.005837830934722054
sawbowl_curved_R0.030,4076682.7159351776,1,0.06238629989552832
sawbowl_curved_R0.030,4076682.7159351776,2,0.011300956198347013
sawbowl_curved_R0.030,4076682.7159351776,3,0.003292964606389242
sawbowl_curved_R0.030,4076682.7159351776,4,0.004167381958072289
sawbowl_curved_R0.030,5710819.707141999,1,0.044535626922540636
sawbowl_curved_R0.030,5710819.707141999,2,0.008067304710383525
sawbowl_curved_R0.030,5710819.707141999,3,0.002350708034576142
sawbowl_curved_R0.030,5710819.707141999,4,0.002974912028148302
sawbowl_curved_R0.030,8000000.0,1,0.03179237583140846
sawbowl_curved_R0.030,8000000.0,2,0.005758910382427192
sawbowl_curved_R0.030,8000000.0,3,0.0016780673829806777
sawbowl_curved_R0.030,8000000.0,4,0.002123656451774743
sawbowl_curved_R0.050,100000.0,1,1.4401241380377505
sawbowl_curved_R0.050,100000.0,2,0.26118705807027165
sawbowl_curved_R0.050,100000.0,3,0.07613279160773141
sawbowl_curved_R0.050,100000.0,4,0.09636439526927128
sawbowl_curved_R0.050,140084.9687129001,1,1.0288064701257786
sawbowl_curved_R0.050,140084.9687129001,2,0.1865061011180434
sawbowl_curved_R0.050,140084.9687129001,3,0.05435776353105567
sawbowl_curved_R0.050,140084.9687129001,4,0.0687991572895974
sawbowl_curved_R0.050,196237.984592942,1,0.7347684391784172
sawbowl_curved_R0.050,196237.984592942,2,0.1331649019194745
sawbowl_curved_R0.050,196237.984592942,3,0.0388083225887501
sawbowl_curved_R0.050,196237.984592942,4,0.04911690984587774
sawbowl_curved_R0.050,274899.91931984853,1,0.52468064436019
sawbowl_curved_R0.050,274899.91931984853,2,0.09507308481112017
sawbowl_curved_R0.050,274899.91931984853,3,0.02770579679546546
sawbowl_curved_R0.050,274899.91931984853,4,0.03506440975175462
sawbowl_curved_R0.050,385093.4659709974,1,0.37462245085812973
sawbowl_curved_R0.050,385093.4659709974,2,0.06787445588455183
sawbowl_curved_R0.050,385093.4659709974,3,0.01977901683150324
sawbowl_curved_R0.050,385093.4659709974,4,0.025031890205043508
sawbowl_curved_R0.050,539458.0613208943,1,0.26746252316762137
sawbowl_curved_R0.050,539458.0613208943,2,0.04845542808286166
sawbowl_curved_R0.050,539458.0613208943,3,0.014119874405260559
