geometry,lane_count,total_length_m,B2_mean,B2_max,B2_p95,Bmag_mean,Bmag_max,Bmag_p95,gradB2_mean,gradB2_max,gradB2_p95,pressure_B_mean,pressure_B_max,pressure_B_p95,pressure_sst_proxy_mean,pressure_sst_proxy_max,pressure_sst_proxy_p95
sawbowl_curved,3,5.003837309164942,2.2560008683995757e-10,5.490380921798419e-08,2.4702459335535105e-10,4.379019266337757e-06,0.00023431561880929788,1.5717015988364345e-05,2.584880372788774e-08,1.716663787162296e-06,5.561830244319669e-08,-8.976342245635024e-05,-4.651736416698004e-08,-1.0091551040065053e-07,-7.896003039398515e-17,-4.091881066877676e-20,-8.876991931022545e-20
sawbowl_chord,3,4.493228207197632,5.836467859316445e-09,4.534118202089472e-06,1.8707528047499587e-11,5.693049935989096e-06,0.002129346895667653,4.325193201744117e-06,9.411285045158287e-07,0.00015378072314318694,2.2332889593702188e-08,-0.0023222567750179625,-1.6849402324010499e-09,-2.788310114312298e-09,-2.0427637507607556e-15,-1.4821508396377247e-21,-2.4527256798950166e-21
rodin6lane,6,7.526206521511969,1.3313139758770062e-08,1.1577140800728308e-06,5.0679525246849275e-08,5.659136660496398e-05,0.0010759712264149218,0.00022492892339605466,1.1444490546662076e-06,3.539562598556319e-05,5.450616330633452e-06,-0.005297130001703746,-1.3979577610850097e-05,-3.0404258778420807e-05,-4.659598915569522e-15,-1.2297078730309804e-17,-2.674498288451634e-17
