geometry,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
sawbowl_curved,0.0011572410159012324,2.1889629819726506e-05,7.44902452543132e-05,0.0022077960328924667,0.5328534427250815,6.330438136594321e-07,4.1875870142400836e-05
sawbowl_chord,0.010434623673586467,2.8193222448617587e-05,0.0003758750235715608,0.056214334942295545,43.322521096487485,2.2736988299336202e-05,0.0036987144206689325
rodin6lane,9.493010798733729e-18,2.3594132764788914e-19,5.577782051782227e-19,1.2378933254456815e-31,3.585651608981722e-29,3.4849063178110673e-35,2.8152979564056357e-33
