x_m,y_m,z_m
-0.043301270189221926,0.02500000000000002,0.0
-0.04171484064472462,0.020520061167196263,0.0
-0.040128411100227315,0.016040122334392504,0.0
-0.03854198155573001,0.011560183501588748,0.0
-0.036955552011232705,0.007080244668784992,0.0
-0.035369122466735396,0.0026003058359812363,0.0
-0.033782692922238095,-0.001879632996822523,0.0
-0.032196263377740786,-0.006359571829626275,0.0
-0.03060983383324348,-0.010839510662430035,0.0
-0.029023404288746175,-0.015319449495233794,0.0
-0.02743697474424887,-0.019799388328037546,0.0
-0.025850545199751565,-0.024279327160841305,0.0
-0.024264115655254256,-0.028759265993645065,0.0
-0.02267768611075695,-0.03323920482644882,0.0
-0.021091256566259646,-0.037719143659252566,0.0
-0.01950482702176234,-0.042199082492056325,0.0
-0.017918397477265036,-0.046679021324860084,0.0
-0.019855208887229112,-0.04311185845825083,0.0
-0.021792020297193192,-0.039544695591641574,0.0
-0.02372883170715727,-0.03597753272503232,0.0
-0.02566564311712135,-0.03241036985842306,0.0
-0.027602454527085426,-0.02884320699181381,0.0
-0.029539265937049503,-0.02527604412520456,0.0
-0.03147607734701358,-0.021708881258595304,0.0
-0.03341288875697766,-0.01814171839198605,0.0
-0.035349700166941736,-0.014574555525376794,0.0
-0.037286511576905816,-0.011007392658767538,0.0
-0.039223322986869896,-0.007440229792158283,0.0
-0.04116013439683397,-0.0038730669255490346,0.0
-0.04309694580679805,-0.00030590405893977934,0.0
-0.04503375721676213,0.003261258807669476,0.0
-0.0469705686267262,0.006828421674278731,0.0
-0.04890738003669028,0.010395584540887987,0.0
-0.04601421864765634,0.0066251432109744445,0.0
-0.0431210572586224,0.0028547018810609016,0.0
-0.040227895869588456,-0.0009157394488526413,0.0
-0.037334734480554514,-0.004686180778766183,0.0
-0.03444157309152057,-0.008456622108679725,0.0
-0.03154841170248664,-0.01222706343859327,0.0
-0.02865525031345269,-0.01599750476850681,0.0
-0.02576208892441875,-0.019767946098420353,0.0
-0.022868927535384807,-0.023538387428333897,0.0
-0.019975766146350864,-0.027308828758247437,0.0
