nu,k_p,k_d,k_w,dbl_factor,k_w_dbl
1,0.9510565162951535,0.9588679832249491,0.9119376437128799,1.9318516525781366,1.7617282440549389
2,0.8090169943749475,0.8407551230664442,0.6801851826685538,1.7320508075688774,1.178115294937453
3,0.5877852522924731,0.66080677937558,0.38841247953185193,1.4142135623730951,0.5492981963489072
4,0.30901699437494745,0.4420111258695806,0.13658894959650436,1.0000000000000002,0.1365889495965044
5,6.123233995736766e-17,0.21213203435596423,1.2989340843532398e-17,0.5176380902050419,6.723777587268459e-18
6,-0.30901699437494734,4.54124007652098e-17,-1.403320359181569e-17,1.2246467991473532e-16,-1.7185717860500225e-33
7,-0.587785252292473,-0.16834893564515416,0.09895302161135625,-0.5176380902050413,-0.051221853126920625
8,-0.8090169943749473,-0.2731778991930089,0.2210055629347904,-0.9999999999999996,-0.2210055629347903
9,-0.9510565162951535,-0.30373953773640083,0.2888734666206817,-1.414213562373095,-0.4085287743046996
10,-1.0,-0.25980762113533157,0.25980762113533157,-1.732050807568877,-0.44999999999999984
11,-0.9510565162951536,-0.15186976886820033,0.1444367333103408,-1.9318516525781364,-0.2790303419385694
12,-0.8090169943749476,-7.726019084026503e-17,6.250480737842607e-17,-2.0,-1.2500961475685214e-16
13,-0.5877852522924732,0.16834893564515413,-0.09895302161135626,-1.9318516525781368,0.19116255832749868
14,-0.30901699437494756,0.321139880795781,-0.09923768073744119,-1.7320508075688776,0.17188470506254747
15,-1.8369701987210297e-16,0.4242640687119285,-7.793604506119439e-17,-1.4142135623730958,1.1021821192326184e-16
