n,f_hz,I_abs_A,I_phase_rad,skin_depth_m
1,1000000.0,1.230989064213421,-2.7590587539280813,6.608284962821108e-05
2,2000000.0,0.22298788328925825,2.3196794891370063,4.672763109223898e-05
3,3000000.0,0.06497591629078173,-2.0236955876640677,3.815295102166524e-05
4,4000000.0,0.08222957684241436,3.058460707471307,3.304142481410554e-05
5,5000000.0,0.014739474437405465,1.8577600906627056,2.9553148783115338e-05
6,6000000.0,0.029130313392822408,-2.4843574304472824,2.6978210389697703e-05
7,7000000.0,0.023026916129987956,2.5984093190706705,2.497696943467481e-05
8,8000000.0,0.0036120071195771698,-1.7435320953712785,2.336381554611949e-05
9,9000000.0,0.01599770355687694,-2.9438322547298275,2.2027616542737028e-05
10,10000000.0,0.007077147298438721,2.1390882707513685,2.089723190995582e-05
11,11000000.0,0.006471402834908341,-2.202742504304364,1.992472884493209e-05
12,12000000.0,0.008854635178303183,2.8802253396179602,1.907647551083262e-05
13,13000000.0,0.0008332017852634316,1.6800242540052028,1.83280848279455e-05
14,14000000.0,0.005984914843882436,-2.661756250610392,1.7661384460747688e-05
15,15000000.0,0.004403292107552946,2.4212520750762874,1.7062518405332703e-05
16,16000000.0,0.001778131664460073,-1.920508507673137,1.652071240705277e-05
17,17000000.0,0.004569404245100565,-3.1206688061573367,1.602744523876018e-05
18,18000000.0,0.0015481772646545545,1.9623627033764866,1.557587703074633e-05
19,19000000.0,0.00265129261316536,-2.3793781574442545,1.5160445443714028e-05
20,20000000.0,0.002987722945012471,2.703663790247331,1.4776574391557669e-05
21,21000000.0,0.0002068344731967469,-1.6380679875856208,1.4420460026650558e-05
22,22000000.0,0.0026057408506770306,-2.838203386716149,1.408891087955469e-05
23,23000000.0,0.0015549601369062719,2.244849817781208,1.3779226669448217e-05
24,24000000.0,0.0011548301822973295,-2.096872005164192,1.3489105194848852e-05
25,25000000.0,0.0020872516716371092,2.9861867561173736,1.321656992564222e-05
