geometry,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
sawbowl_curved,0.0008918331154803087,2.3095711521255788e-05,9.519185847091784e-05,0.003605452281024159,0.31646619786880825,7.525938421497248e-07,1.9723270726950966e-05
sawbowl_chord,0.0014544326471962227,1.0833561813547276e-05,8.637428027225908e-05,0.002968445114942686,0.8416807008751773,7.999924649851824e-07,3.9662866691869254e-05
rodin6lane,4.2439017776089874e-18,2.0048104134056005e-19,5.3967851321994955e-19,1.15885845869646e-31,7.16623074820525e-30,2.3658373458297153e-35,4.270681100996003e-34
