R_m,f0_hz,fR_Hz_m,observable,response_raw,response_norm
0.03,100000.0,3000.0,weighted_gradB2,2.194022627048882e-06,1.0
0.03,106556.7618594421,3196.7028557832627,weighted_gradB2,1.9592604650603156e-06,0.8929992065285406
0.03,113543.43497969853,3406.303049390956,weighted_gradB2,1.747722899987824e-06,0.7965838084079546
0.03,120988.20761834785,3629.6462285504354,weighted_gradB2,1.5574548099974944e-06,0.7098626927528012
0.03,128921.11626989003,3867.6334880967006,weighted_gradB2,1.3866037311443205e-06,0.6319915364817372
0.03,137374.1668502412,4121.225005507235,weighted_gradB2,1.2334263251881294e-06,0.5621757542433263
0.03,146381.46382700413,4391.443914810124,weighted_gradB2,1.0962919560060432e-06,0.4996721284869494
0.03,155979.34781650617,4679.380434495185,weighted_gradB2,9.736836557512975e-07,0.44378924982235574
0.03,166206.5422027454,4986.196266082362,weighted_gradB2,8.641976890272986e-07,0.3938873183772524
0.03,177104.30936979252,5313.129281093776,weighted_gradB2,7.665405573954287e-07,0.3493767785004482
0.03,188716.61717797903,5661.498515339371,weighted_gradB2,6.795253347060703e-07,0.3097166484650528
0.03,201090.3163555341,6032.709490666023,weighted_gradB2,6.020669423753146e-07,0.27441236701607674
0.03,214275.32952136523,6428.259885640957,weighted_gradB2,5.331767516999346e-07,0.24301333319296514
0.03,228324.85260161597,6849.745578048479,weighted_gradB2,4.719567638970928e-07,0.2151102536859014
0.03,243295.5694526261,7298.8670835787825,weighted_gradB2,4.175935645663458e-07,0.1903323873774443
0.03,259247.88055620834,7777.43641668625,weighted_gradB2,3.693522118396552e-07,0.16834475966023216
0.03,276246.1467099293,8287.384401297879,weighted_gradB2,3.26570184009386e-07,0.14884540386379075
0.03,294358.9486955844,8830.768460867532,weighted_gradB2,2.8865148317550434e-07,0.13156267379236708
0.03,313659.36397351115,9409.780919205334,weighted_gradB2,2.5506096642301023e-07,0.11625265996736121
0.03,334225.261519095,10026.757845572849,weighted_gradB2,2.2531895502916986e-07,0.10269673259124043
0.03,356139.6159909996,10684.188479729988,weighted_gradB2,1.989961548873337e-07,0.09069922635893589
0.03,379490.842498661,11384.72527495983,weighted_gradB2,1.7570890733368454e-07,0.08008527586154644
0.03,404373.1533196879,12131.194599590635,weighted_gradB2,1.551147784632416e-07,0.07069880526796668
0.03,430886.9380063765,12926.608140191294,weighted_gradB2,1.3690848641220566e-07,0.06240067204610256
0.03,459139.1684148965,13774.175052446895,weighted_gradB2,1.2081815957663683e-07,0.05506696151951082
0.03,489243.8302912841,14677.31490873852,weighted_gradB2,1.06601913976123e-07,0.04858742688515944
0.03,521322.3831554966,15639.671494664897,weighted_gradB2,9.404473463735095e-08,0.04286406779853856
0.03,555504.2503389708,16665.127510169124,weighted_gradB2,8.29556436880038e-08,0.037809839636697415
0.03,591927.3411527761,17757.820234583283,weighted_gradB2,7.31651365774026e-08,0.03334748496911126
0.03,630738.6072930899,18922.158218792694,weighted_gradB2,6.45228672748668e-08,0.029408478508562465
0.03,672094.6357288593,20162.83907186578,weighted_gradB2,5.6895563271732694e-08,0.025932076802809147
