R_m,f0_hz,fR_Hz_m,observable,response_raw,response_norm
0.03,716162.2804636855,21484.868413910564,weighted_gradB2,5.016515159008319e-08,0.022864464099697515
0.03,763119.3357208392,22893.580071625176,weighted_gradB2,4.4227077668294064e-08,0.020157986122405065
0.03,813155.253267411,24394.65759802233,weighted_gradB2,3.898879986063306e-08,0.017770463886726543
0.03,866471.9067716966,25994.1572031509,weighted_gradB2,3.436844328429517e-08,0.015664580146342064
0.03,923284.4062776839,27698.532188330515,weighted_gradB2,3.029345042734076e-08,0.013807264361757119
0.03,983821.9660826755,29514.658982480265,weighted_gradB2,2.669992927026189e-08,0.012169395584664145
0.03,1048328.8295195978,31449.864885587933,weighted_gradB2,2.353134187534171e-08,0.010725204738199557
0.03,1117065.2543750745,33511.95763125223,weighted_gradB2,2.0737694897246237e-08,0.009451905664774263
0.03,1190308.5629190193,35709.25688757058,weighted_gradB2,1.8274827910249025e-08,0.008329370757142091
0.03,1268354.2607821668,38050.627823465,weighted_gradB2,1.61037422635885e-08,0.007339825061535118
0.03,1351517.229195738,40545.51687587214,weighted_gradB2,1.4190005329132909e-08,0.006467574743392454
0.03,1440132.9954034328,43203.98986210298,weighted_gradB2,1.2503222033245672e-08,0.005698766220138487
0.03,1534559.0863712858,46036.77259113857,weighted_gradB2,1.10165663640756e-08,0.005021172629788998
0.03,1635176.4712570815,49055.294137712444,weighted_gradB2,9.706366281195707e-09,0.004424004639483352
0.03,1742391.098459037,52271.73295377111,weighted_gradB2,8.551736128230344e-09,0.0038977429051098907
0.03,1856635.5334451133,55699.0660033534,weighted_gradB2,7.534251263384111e-09,0.003433989773167572
0.03,1978370.703970892,59351.12111912676,weighted_gradB2,6.637660180765414e-09,0.003025338070324983
0.03,2108087.759727227,63242.63279181681,weighted_gradB2,5.847629900585942e-09,0.0026652550563944838
0.03,2246310.0539205894,67389.30161761768,weighted_gradB2,5.151520862402395e-09,0.002347979824315468
0.03,2393595.2547808676,71807.85764342603,weighted_gradB2,4.538187966289986e-09,0.002068432617941673
0.03,2550537.5955157555,76516.12786547266,weighted_gradB2,3.997804775888789e-09,0.0018221347066352382
0.03,2717770.271789264,81533.10815367791,weighted_gradB2,3.5217082282244246e-09,0.0016051376065165633
0.03,2895967.996397192,86879.03989191576,weighted_gradB2,3.1022614914863536e-09,0.001413960573259501
0.03,3085849.721446613,92575.49164339839,weighted_gradB2,2.732732876773375e-09,0.0012455354120249422
0.03,3288181.5390221244,98645.44617066372,weighted_gradB2,2.4071889461988668e-09,0.001097157757865382
0.03,3503779.7720419434,105113.3931612583,weighted_gradB2,2.120400170479659e-09,0.0009664440759809982
0.03,3733514.2677740366,112005.42803322109,weighted_gradB2,1.8677576767889624e-09,0.0008512937167385692
0.03,3978311.9073002734,119349.3572190082,weighted_gradB2,1.6451997945933457e-09,0.000749855436452931
0.03,4239160.345087782,127174.81035263345,weighted_gradB2,1.4491472555710743e-09,0.000660497862558638
0.03,4517111.993755082,135513.35981265246,weighted_gradB2,1.2764460354807101e-09,0.0005817834418588571
0.03,4813288.270109899,144398.64810329696,weighted_gradB2,1.1243169427876654e-09,0.0005124454638373318
0.03,5128884.119589466,153866.52358768397,weighted_gradB2,9.903111625634427e-10,0.00045136779828724115
0.03,5465172.837357691,163955.18512073072,weighted_gradB2,8.722710560893617e-10,0.00039756702840509396
0.03,5823511.205510149,174705.33616530447,weighted_gradB2,7.682955980203284e-10,0.0003501766976094231
0.03,6205344.967113362,186160.34901340085,weighted_gradB2,6.767099050565261e-10,0.00030843342120256506
0.03,6612214.659163875,198366.43977491622,weighted_gradB2,5.960383738729643e-10,0.0002716646430737493
0.03,7045761.8280003555,211372.85484001067,weighted_gradB2,5.249810024990373e-10,0.00023927784336717368
0.03,7507735.652245813,225232.0695673744,weighted_gradB2,4.623925192527773e-10,0.0002107510257880651
0.03,8000000.0,240000.0,weighted_gradB2,4.0726398745855114e-10,0.0001856243333307599
0.05,100000.0,5000.0,weighted_gradB2,5.434953343275929e-07,1.0
0.05,106556.7618594421,5327.838092972105,weighted_gradB2,4.826654796048115e-07,0.8880765834024325
0.05,113543.43497969853,5677.171748984927,weighted_gradB2,4.2837994056355105e-07,0.7881943293837812
0.05,120988.20761834785,6049.410380917393,weighted_gradB2,3.799858897892218e-07,0.6991520732359857
0.05,128921.11626989003,6446.055813494502,weighted_gradB2,3.3688602136166736e-07,0.6198508065914852
0.05,137374.1668502412,6868.70834251206,weighted_gradB2,2.985356705381009e-07,0.5492883778063087
0.05,146381.46382700413,7319.073191350207,weighted_gradB2,2.644396952107391e-07,0.4865537540223805
0.05,155979.34781650617,7798.967390825309,weighted_gradB2,2.341492259658312e-07,0.43082104146398664
0.05,166206.5422027454,8310.32711013727,weighted_gradB2,2.0725837155181506e-07,0.3813434236896128
0.05,177104.30936979252,8855.215468489627,weighted_gradB2,1.8340094862941503e-07,0.33744714452115193
0.05,188716.61717797903,9435.830858898951,weighted_gradB2,1.6224728896779896e-07,0.2985256334693833
0.05,201090.3163555341,10054.515817776706,weighted_gradB2,1.4350116376714937e-07,0.2640338466652848
0.05,214275.32952136523,10713.766476068262,weighted_gradB2,1.268968534290261e-07,0.23348287540687288
0.05,228324.85260161597,11416.2426300808,weighted_gradB2,1.1219638169827387e-07,0.20643485714018525
0.05,243295.5694526261,12164.778472631306,weighted_gradB2,9.918692546533426e-08,0.18249820964525362
0.05,259247.88055620834,12962.394027810418,weighted_gradB2,8.767840543216325e-08,0.16132319800065645
0.05,276246.1467099293,13812.307335496465,weighted_gradB2,7.750125809520234e-08,0.14259783516096994
0.05,294358.9486955844,14717.94743477922,weighted_gradB2,6.850438588143692e-08,0.12604411032560173
0.05,313659.36397351115,15682.968198675559,weighted_gradB2,6.055327960090737e-08,0.11141453435993759
0.05,334225.261519095,16711.26307595475,weighted_gradB2,5.352830548270265e-08,0.09848898804058244
0.05,356139.6159909996,17806.980799549983,weighted_gradB2,4.7323147793540524e-08,0.08707185656356785
0.05,379490.842498661,18974.54212493305,weighted_gradB2,4.1843397270830987e-08,0.07698943234278031
0.05,404373.1533196879,20218.657665984396,weighted_gradB2,3.700527522722219e-08,0.06808756743607515
0.05,430886.9380063765,21544.346900318826,weighted_gradB2,3.273448311022623e-08,0.06022955680148572
0.05,459139.1684148965,22956.958420744828,weighted_gradB2,2.896516745358687e-08,0.05329423386756813
0.05,489243.8302912841,24462.191514564205,weighted_gradB2,2.556100543724547e-08,0.04703077252515754
0.05,521322.3831554966,26066.119157774832,weighted_gradB2,2.2538607960318252e-08,0.0414697358684832
0.05,555504.2503389708,27775.21251694854,weighted_gradB2,1.987181598142764e-08,0.03656299277345748
0.05,591927.3411527761,29596.36705763881,weighted_gradB2,1.751912340089815e-08,0.03223417441581653
0.05,630738.6072930899,31536.930364654494,weighted_gradB2,1.5443805631288593e-08,0.02841570967742624
0.05,672094.6357288593,33604.73178644297,weighted_gradB2,1.3613380764305424e-08,0.02504783372454846
0.05,716162.2804636855,35808.11402318428,weighted_gradB2,1.1999129159200944e-08,0.022077704078262508
0.05,763119.3357208392,38155.966786041965,weighted_gradB2,1.0575665564872992e-08,0.01945861334386081
0.05,813155.253267411,40657.76266337055,weighted_gradB2,9.320558392529357e-09,0.01714928869455827
0.05,866471.9067716966,43323.59533858483,weighted_gradB2,8.213991235770387e-09,0.01511326908800911
0.05,923284.4062776839,46164.2203138842,weighted_gradB2,7.238462187005113e-09,0.013318352025892672
0.05,983821.9660826755,49191.098304133775,weighted_gradB2,6.378516921401054e-09,0.01173610244380937
0.05,1048328.8295195978,52416.4414759799,weighted_gradB2,5.620511911328104e-09,0.01034141703954413
0.05,1117065.2543750745,55853.26271875373,weighted_gradB2,4.952404495577707e-09,0.009112138012564126
0.05,1190308.5629190193,59515.428145950966,weighted_gradB2,4.3635668592070234e-09,0.008028710797684373
0.05,1268354.2607821668,63417.71303910835,weighted_gradB2,3.844621282802674e-09,0.00707388093323598
0.05,1351517.229195738,67575.8614597869,weighted_gradB2,3.3872942956994416e-09,0.00623242571141879
0.05,1440132.9954034328,72006.64977017164,weighted_gradB2,2.9842876178344473e-09,0.005490916718772901
0.05,1534559.0863712858,76727.9543185643,weighted_gradB2,2.629164001177875e-09,0.0048375097910098
0.05,1635176.4712570815,81758.82356285409,weighted_gradB2,2.3162462858063047e-09,0.004261759282022065
0.05,1742391.098459037,87119.55492295185,weighted_gradB2,2.0405281694174387e-09,0.0037544538849481755
0.05,1856635.5334451133,92831.77667225567,weighted_gradB2,1.797595354121875e-09,0.003307471546827246
0.05,1978370.703970892,98918.5351985446,weighted_gradB2,1.5835558823206983e-09,0.0029136512906405313
0.05,2108087.759727227,105404.38798636135,weighted_gradB2,1.3949786059333143e-09,0.0025666800022472467
0.05,2246310.0539205894,112315.50269602948,weighted_gradB2,1.2288388516309186e-09,0.002260992457554812
0.05,2393595.2547808676,119679.76273904339,weighted_gradB2,1.0824704504109878e-09,0.0019916830597087086
0.05,2550537.5955157555,127526.87977578778,weighted_gradB2,9.535233940690193e-10,0.001754427929448022
0.05,2717770.271789264,135888.5135894632,weighted_gradB2,8.399264650382256e-10,0.0015454161461705542
0.05,2895967.996397192,144798.39981985962,weighted_gradB2,7.398542607302317e-10,0.0013612890746257686
0.05,3085849.721446613,154292.48607233065,weighted_gradB2,6.516980998820153e-10,0.0011990868342748328
0.05,3288181.5390221244,164409.07695110622,weighted_gradB2,5.740403573698608e-10,0.0010562010768317962
0.05,3503779.7720419434,175188.98860209718,weighted_gradB2,5.05631826280678e-10,0.0009303333337833355
0.05,3733514.2677740366,186675.71338870184,weighted_gradB2,4.453717524492371e-10,0.0008194582810913117
0.05,3978311.9073002734,198915.5953650137,weighted_gradB2,3.922902278195117e-10,0.0007217913439953432
0.05,4239160.345087782,211958.0172543891,weighted_gradB2,3.4553266544793105e-10,0.0006357601319161657
0.05,4517111.993755082,225855.5996877541,weighted_gradB2,3.043461112542741e-10,0.0005599792528684871
0.05,4813288.270109899,240664.41350549497,weighted_gradB2,2.6806717620677076e-10,0.0004932281093791188
0.05,5128884.119589466,256444.2059794733,weighted_gradB2,2.361113979168991e-10,0.0004344313244363243
0.05,5465172.837357691,273258.64186788455,weighted_gradB2,2.0796386298708573e-10,0.00038264148715163595
0.05,5823511.205510149,291175.56027550745,weighted_gradB2,1.8317094123181932e-10,0.00033702394420448265
0.05,6205344.967113362,310267.2483556681,weighted_gradB2,1.6133300037396264e-10,0.0002968433953045103
0.05,6612214.659163875,330610.73295819375,weighted_gradB2,1.420979852655025e-10,0.0002614520793288957
0.05,7045761.8280003555,352288.0914000178,weighted_gradB2,1.2515575932863896e-10,0.00023027936290102735
0.05,7507735.652245813,375386.7826122907,weighted_gradB2,1.1023311796594944e-10,0.00020282256535344276
0.05,8000000.0,400000.0,weighted_gradB2,9.708939433131942e-11,0.00017863887360033636
0.1,100000.0,10000.0,weighted_gradB2,1.3535934324584635e-08,1.0
0.1,106556.7618594421,10655.67618594421,weighted_gradB2,1.1988131390203912e-08,0.8856523016981896
0.1,113543.43497969853,11354.343497969854,weighted_gradB2,1.0615004513302701e-08,0.7842092210822273
0.1,120988.20761834785,12098.820761834786,weighted_gradB2,9.397535454792285e-09,0.6942657395820853
0.1,128921.11626989003,12892.111626989004,weighted_gradB2,8.31864522204719e-09,0.6145601051667674
0.1,137374.1668502412,13737.41668502412,weighted_gradB2,7.363021543734324e-09,0.5439610866285927
0.1,146381.46382700413,14638.146382700414,weighted_gradB2,6.5169566821735414e-09,0.4814559915777015
0.1,155979.34781650617,15597.934781650618,weighted_gradB2,5.768196062129147e-09,0.42613948352664976
0.1,166206.5422027454,16620.65422027454,weighted_gradB2,5.105797871636532e-09,0.3772032095607267
0.1,177104.30936979252,17710.430936979254,weighted_gradB2,4.52000354155691e-09,0.333926231700715
0.1,188716.61717797903,18871.661717797902,weighted_gradB2,4.0021188239346256e-09,0.295666241277913
0.1,201090.3163555341,20109.031635553412,weighted_gradB2,3.5410468162602236e-09,0.26160342768720435
0.1,214275.32952136523,21427.532952136524,weighted_gradB2,3.1252686248247166e-09,0.23088680469943243
0.1,228324.85260161597,22832.4852601616,weighted_gradB2,2.7578748858562228e-09,0.20374470056693714
0.1,243295.5694526261,24329.55694526261,weighted_gradB2,2.433316172727778e-09,0.1797671379291689
0.1,259247.88055620834,25924.788055620837,weighted_gradB2,2.1466643548916288e-09,0.1585900391813183
0.1,276246.1467099293,27624.61467099293,weighted_gradB2,1.8935459018416273e-09,0.13989029914266615
0.1,294358.9486955844,29435.89486955844,weighted_gradB2,1.6700818018524615e-09,0.12338134640762671
0.1,313659.36397351115,31365.936397351117,weighted_gradB2,1.4728335456138987e-09,0.10880915275562954
0.1,334225.261519095,33422.5261519095,weighted_gradB2,1.2987546487674313e-09,0.09594865176085915
0.1,356139.6159909996,35613.96159909997,weighted_gradB2,1.145147215410597e-09,0.08460052981571607
0.1,379490.842498661,37949.0842498661,weighted_gradB2,1.0096230752477123e-09,0.07458835504350703
0.1,404373.1533196879,40437.31533196879,weighted_gradB2,8.900690589757061e-10,0.06575601193329658
0.1,430886.9380063765,43088.69380063765,weighted_gradB2,7.846160087324029e-10,0.05796541191156228
0.1,459139.1684148965,45913.916841489656,weighted_gradB2,6.916111522734917e-10,0.05109445241747023
0.1,489243.8302912841,48924.38302912841,weighted_gradB2,6.09593500449358e-10,0.045035199331765675
0.1,521322.3831554966,52132.238315549665,weighted_gradB2,5.372719571466176e-10,0.03969226979557648
0.1,555504.2503389708,55550.42503389708,weighted_gradB2,4.735058588878584e-10,0.03498139452611362
0.1,591927.3411527761,59192.73411527762,weighted_gradB2,4.172876875915556e-10,0.0308281406798537
0.1,630738.6072930899,63073.86072930899,weighted_gradB2,3.6772772450252534e-10,0.027166778124406234
0.1,672094.6357288593,67209.46357288594,weighted_gradB2,3.2404043598976154e-10,0.02393927365628712
0.1,716162.2804636855,71616.22804636856,weighted_gradB2,2.855324027943374e-10,0.021094399244811587
0.1,763119.3357208392,76311.93357208393,weighted_gradB2,2.515916234478664e-10,0.018586941796172374
0.1,813155.253267411,81315.5253267411,weighted_gradB2,2.2167804004673398e-10,0.016377003222017066
0.1,866471.9067716966,86647.19067716967,weighted_gradB2,1.9531515044811285e-10,0.014429380770071542
0.1,923284.4062776839,92328.4406277684,weighted_gradB2,1.7208258534912432e-10,0.01271301863784751
0.1,983821.9660826755,98382.19660826755,weighted_gradB2,1.516095417231059e-10,0.01120052285180973
0.1,1048328.8295195978,104832.8829519598,weighted_gradB2,1.335689758206218e-10,0.00986773226123203
0.1,1117065.2543750745,111706.52543750746,weighted_gradB2,1.1767246950020787e-10,0.00869333927592167
0.1,1190308.5629190193,119030.85629190193,weighted_gradB2,1.0366569313413599e-10,0.0076585546773711224
0.1,1268354.2607821668,126835.4260782167,weighted_gradB2,9.132439683271739e-11,0.006746811460724177
0.1,1351517.229195738,135151.7229195738,weighted_gradB2,8.04508693365869e-11,0.005943503226849146
0.1,1440132.9954034328,144013.2995403433,weighted_gradB2,7.087081072405612e-11,0.005235753146004635
0.1,1534559.0863712858,153455.9086371286,weighted_gradB2,6.24305711481652e-11,0.004612209962837637
0.1,1635176.4712570815,163517.64712570817,weighted_gradB2,5.4994713227637464e-11,0.004062867912099229
0.1,1742391.098459037,174239.1098459037,weighted_gradB2,4.844386053391787e-11,0.0035789077704027955
0.1,1856635.5334451133,185663.55334451134,weighted_gradB2,4.267279890345397e-11,0.003152556586060669
0.1,1978370.703970892,197837.0703970892,weighted_gradB2,3.7588801115644246e-11,0.002776963910601546
0.1,2108087.759727227,210808.7759727227,weighted_gradB2,3.3110148862564346e-11,0.002446092605696827
0.1,2246310.0539205894,224631.00539205896,weighted_gradB2,2.91648289420905e-11,0.002154622521263264
0.1,2393595.2547808676,239359.52547808678,weighted_gradB2,2.568938327233508e-11,0.0018978655374883688
0.1,2550537.5955157555,255053.75955157555,weighted_gradB2,2.2627894689287578e-11,0.0016716906381696662
0.1,2717770.271789264,271777.0271789264,weighted_gradB2,1.9931092584375418e-11,0.0014724578375188758
0.1,2895967.996397192,289596.79963971925,weighted_gradB2,1.755556429405298e-11,0.0012969599196538425
0.1,3085849.721446613,308584.9721446613,weighted_gradB2,1.5463059796127353e-11,0.0011423710713520956
0.1,3288181.5390221244,328818.15390221245,weighted_gradB2,1.3619878721147698e-11,0.0010062015960295109
0.1,3503779.7720419434,350377.97720419435,weighted_gradB2,1.1996329973077249e-11,0.0008862579919059535
0.1,3733514.2677740366,373351.4267774037,weighted_gradB2,1.0566255390601432e-11,0.0007806077613283388
0.1,3978311.9073002734,397831.1907300274,weighted_gradB2,9.306609885689876e-12,0.0006875483924878942
0.1,4239160.345087782,423916.0345087782,weighted_gradB2,8.19709138446433e-12,0.0006055800204036426
0.1,4517111.993755082,451711.1993755082,weighted_gradB2,7.219814680395311e-12,0.0005333813320357447
0.1,4813288.270109899,481328.82701098995,weighted_gradB2,6.359024003240143e-12,0.00046978833161820003
0.1,5128884.119589466,512888.4119589466,weighted_gradB2,5.600839719490768e-12,0.00041377562753967015
0.1,5465172.837357691,546517.2837357691,weighted_gradB2,4.933035120778671e-12,0.00036443994204515666
0.1,5823511.205510149,582351.1205510149,weighted_gradB2,4.344839733989427e-12,0.0003209855802933465
0.1,6205344.967113362,620534.4967113362,weighted_gradB2,3.8267660081217815e-12,0.0002827116264276947
0.1,6612214.659163875,661221.4659163875,weighted_gradB2,3.370456604703922e-12,0.0002490006617852993
0.1,7045761.8280003555,704576.1828000356,weighted_gradB2,2.9685498466212655e-12,0.0002193088246024981
0.1,7507735.652245813,750773.5652245814,weighted_gradB2,2.6145611696195552e-12,0.00019315705195694247
0.1,8000000.0,800000.0,weighted_gradB2,2.3027786760452332e-12,0.00017012336354667535
