geometry,length_m,Rdc_ohm,L_crude_H,skin_depth_at_f0_m,Rac_factor_at_f0
sawbowl_curved,5.003837309164942,0.10983748018563788,8.911088395669699e-06,6.608284962821108e-05,4.0508195329082755
sawbowl_chord,4.493228207197632,0.09862927862856122,7.905045175521416e-06,6.608284962821108e-05,4.0508195329082755
rodin6lane,7.526206521511969,0.16520512330916398,1.4017470495343128e-05,6.608284962821108e-05,4.0508195329082755
