geometry,f0_hz,harmonic,phase,I_real_A,I_imag_A,I_abs_A,I_phase_rad
sawbowl_curved,100000.0,1,0,0.6712443294209579,-4.647834352796227,4.6960550593889465,-1.4273671459659905
sawbowl_curved,100000.0,1,1,-4.360764786814028,1.7426025349733167,4.696055059388957,2.7614230588204007
sawbowl_curved,100000.0,1,2,3.689520457393062,2.9052318178229175,4.696055059388951,0.6670279564272052
sawbowl_curved,100000.0,2,0,0.0807398066560537,-0.8518046769072553,0.8556226527973242,-1.4762919163963955
sawbowl_curved,100000.0,2,1,0.6973145859360537,0.49582506211441624,0.8556226527973267,0.6181031859968011
sawbowl_curved,100000.0,2,2,-0.7780543925921071,0.35597961479284057,0.855622652797325,2.712498288389997
sawbowl_curved,100000.0,3,0,0.012363372507634196,-0.2027956399941459,0.2031721550321248,-1.5099070018491763
sawbowl_curved,100000.0,3,1,0.012363372507634337,-0.2027956399941465,0.20317215503212538,-1.5099070018491758
sawbowl_curved,100000.0,3,2,0.012363372507634347,-0.20279563999414613,0.20317215503212505,-1.5099070018491756
sawbowl_curved,100000.0,4,0,0.020133546981651367,-0.31564645846317196,0.316287917022458,-1.5070975011615275
sawbowl_curved,100000.0,4,1,-0.28342462513452304,0.1403870660771886,0.31628791702245884,2.681692703624864
sawbowl_curved,100000.0,4,2,0.26329107815287084,0.17525939238598406,0.31628791702245834,0.5872976012316694
sawbowl_curved,100000.0,5,0,0.0031914442898580368,-0.056629123750321524,0.05671898247839515,-1.514498935707257
sawbowl_curved,100000.0,5,1,0.04744653761690219,0.03107843370494079,0.05671898247839531,0.5798961666859406
sawbowl_curved,100000.0,5,2,-0.050637981906760283,0.025550690045380766,0.0567189824783952,2.6742912690791374
sawbowl_curved,100000.0,6,0,0.003775421127012268,-0.0910988935017412,0.09117709252837511,-1.5293769226836824
sawbowl_curved,100000.0,6,1,0.0037754211270123496,-0.0910988935017415,0.0911770925283754,-1.5293769226836817
sawbowl_curved,100000.0,6,2,0.003775421127012389,-0.09109889350174132,0.09117709252837523,-1.529376922683681
sawbowl_curved,100000.0,7,0,0.004151657865449186,-0.088555599758653,0.08865286521961085,-1.5239486941570337
sawbowl_curved,100000.0,7,1,-0.07876722797108544,0.04068235870002608,0.0886528652196111,2.664841510629358
sawbowl_curved,100000.0,7,2,0.07461557010563599,0.04787324105862715,0.08865286521961095,0.5704464082361635
sawbowl_curved,129403.6331564652,1,0,0.4443705357771735,-3.6119787211015244,3.6392108285666955,-1.448384548808634
sawbowl_curved,129403.6331564652,1,1,-3.3502505982913444,1.4211531878744317,3.6392108285667057,2.7404056559777574
sawbowl_curved,129403.6331564652,1,2,2.9058800625141634,2.1908255332270987,3.639210828566699,0.6460105535845617
sawbowl_curved,129403.6331564652,2,0,0.05384655023927111,-0.6597735542467899,0.6619672150915875,-1.489363126201887
sawbowl_curved,129403.6331564652,2,1,0.5444573836032361,0.3765192575367604,0.6619672150915895,0.6050319761913094
sawbowl_curved,129403.6331564652,2,2,-0.598303933842507,0.2832542967100307,0.6619672150915883,2.699427078584505
sawbowl_curved,129403.6331564652,3,0,0.00826945258401477,-0.1568620837810803,0.15707990697152174,-1.5181271007294688
sawbowl_curved,129403.6331564652,3,1,0.008269452584014875,-0.15686208378108077,0.15707990697152222,-1.5181271007294683
sawbowl_curved,129403.6331564652,3,2,0.008269452584014892,-0.1568620837810805,0.15707990697152194,-1.518127100729468
sawbowl_curved,129403.6331564652,4,0,0.013500616802740638,-0.24416989387190266,0.2445428464042051,-1.5155606719438397
sawbowl_curved,129403.6331564652,4,1,-0.2182076393337891,0.11039306981801912,0.24454284640420587,2.673229532842552
sawbowl_curved,129403.6331564652,4,2,0.20470702253104772,0.13377682405388416,0.24454284640420534,0.5788344304493571
sawbowl_curved,129403.6331564652,5,0,0.0021430174924847245,-0.04379574726792062,0.04384814708432583,-1.5219032332556686
sawbowl_curved,129403.6331564652,5,1,0.03685672096549987,0.02375378122320664,0.043848147084325946,0.5724918691375289
sawbowl_curved,129403.6331564652,5,2,-0.03899973845798464,0.020041966044714,0.04384814708432587,2.666886971530726
sawbowl_curved,129403.6331564652,6,0,0.002537213034304585,-0.07042853152728423,0.07047421871203052,-1.5347865419456317
sawbowl_curved,129403.6331564652,6,1,0.0025372130343046446,-0.07042853152728445,0.07047421871203075,-1.5347865419456308
sawbowl_curved,129403.6331564652,6,2,0.002537213034304676,-0.0704285315272843,0.0704742187120306,-1.5347865419456304
sawbowl_curved,129403.6331564652,7,0,0.0027928838945152916,-0.0684701172074742,0.06852705415274683,-1.530029104384833
sawbowl_curved,129403.6331564652,7,1,-0.06069330284902851,0.03181635020126647,0.06852705415274701,2.6587611004015588
sawbowl_curved,129403.6331564652,7,2,0.05790041895451304,0.03665376700620791,0.06852705415274692,0.5643659980083644
sawbowl_curved,167453.00274093024,1,0,0.2950539651057449,-2.802432400779479,2.817921965431842,-1.4658978313279913
sawbowl_curved,167453.00274093024,1,1,-2.574504634016521,1.1456919711208395,2.8179219654318493,2.7228923734583996
sawbowl_curved,167453.00274093024,1,2,2.2794506689107714,1.6567404296586437,2.817921965431845,0.6284972710652043
sawbowl_curved,167453.00274093024,2,0,0.03599146979131032,-0.5107167004637261,0.5119833337427051,-1.5004401697298482
sawbowl_curved,167453.00274093024,2,1,0.42429790184290045,0.28652787739067925,0.5119833337427067,0.5939549326633482
sawbowl_curved,167453.00274093024,2,2,-0.46028937163421046,0.22418882307304772,0.5119833337427055,2.688350035056544
sawbowl_curved,167453.00274093024,3,0,0.005542048110337851,-0.12130291441554755,0.12142945006448375,-1.5251404011365617
sawbowl_curved,167453.00274093024,3,1,0.0055420481103379245,-0.12130291441554791,0.12142945006448412,-1.5251404011365612
sawbowl_curved,167453.00274093024,3,2,0.0055420481103379375,-0.12130291441554768,0.12142945006448388,-1.525140401136561
sawbowl_curved,167453.00274093024,4,0,0.009067342419527431,-0.1888300494857618,0.18904762438959186,-1.5228146471220207
sawbowl_curved,167453.00274093024,4,1,-0.16806529106230655,0.086562475862758,0.18904762438959233,2.6659755576643707
sawbowl_curved,167453.00274093024,4,2,0.15899794864277866,0.1022675736230042,0.189047624389592,0.5715804552711762
sawbowl_curved,167453.00274093024,5,0,0.0014410648066034582,-0.0338640062635979,0.03389465426874611,-1.528267516919309
sawbowl_curved,167453.00274093024,5,1,0.028606557294889444,0.018180001862817357,0.0338946542687462,0.5661275854738884
sawbowl_curved,167453.00274093024,5,2,-0.030047622101492935,0.01568400440078056,0.03389465426874614,2.6605226878670853
sawbowl_curved,167453.00274093024,6,0,0.0017074045927354211,-0.05444255479698038,0.05446932167069373,-1.539445021601483
sawbowl_curved,167453.00274093024,6,1,0.0017074045927354658,-0.05444255479698054,0.05446932167069389,-1.539445021601482
sawbowl_curved,167453.00274093024,6,2,0.0017074045927354912,-0.05444255479698043,0.05446932167069378,-1.5394450216014817
sawbowl_curved,167453.00274093024,7,0,0.0018810753120576183,-0.05293323992135147,0.052966653027173516,-1.5352745248230766
sawbowl_curved,167453.00274093024,7,1,-0.04678206813253594,0.02483756095400213,0.05296665302717367,2.653515679963315
sawbowl_curved,167453.00274093024,7,2,0.044900992820478165,0.028095678967349477,0.05296665302717357,0.5591205775701205
sawbowl_curved,216690.26937635854,1,0,0.1964413332080649,-2.171890545877767,2.1807562313715363,-1.480594602548336
sawbowl_curved,216690.26937635854,1,1,-1.9791330535734355,0.9158220880274175,2.180756231371542,2.708195602238055
sawbowl_curved,216690.26937635854,1,2,1.7826917203653672,1.256068457850353,2.180756231371539,0.6138004998448596
sawbowl_curved,216690.26937635854,2,0,0.024104645467388722,-0.39515921748400895,0.3958937244964648,-1.5098719870735577
sawbowl_curved,216690.26937635854,2,1,0.330165598147038,0.2184548440659814,0.39589372449646587,0.5845231153196385
sawbowl_curved,216690.26937635854,2,2,-0.3542702436144265,0.1767043734180281,0.3958937244964651,2.6789182177128343
sawbowl_curved,216690.26937635854,3,0,0.0037205462883659517,-0.0937880366620572,0.09386180418896314,-1.5311473843265142
sawbowl_curved,216690.26937635854,3,1,0.0037205462883660055,-0.0937880366620575,0.09386180418896345,-1.5311473843265138
sawbowl_curved,216690.26937635854,3,2,0.0037205462883660194,-0.09378803666205733,0.09386180418896328,-1.5311473843265135
sawbowl_curved,216690.26937635854,4,0,0.0060983873304267504,-0.14600504570871742,0.1461323499449611,-1.5290522582533002
sawbowl_curved,216690.26937635854,4,1,-0.12949327232967117,0.06772116450409209,0.1461323499449615,2.6597379465330913
sawbowl_curved,216690.26937635854,4,2,0.12339488499924409,0.07828388120462569,0.14613234994496127,0.5653428441398965
sawbowl_curved,216690.26937635854,5,0,0.0009702522293818694,-0.0261807176968513,0.026198690206016853,-1.53375347657772
sawbowl_curved,216690.26937635854,5,1,0.022188040500091148,0.013930621927148919,0.02619869020601693,0.5606416258154775
sawbowl_curved,216690.26937635854,5,2,-0.023158292729473038,0.012250095769702396,0.02619869020601687,2.655036728208674
sawbowl_curved,216690.26937635854,6,0,0.001150345670061404,-0.042081824454083754,0.04209754440041545,-1.5434672059609598
sawbowl_curved,216690.26937635854,6,1,0.001150345670061437,-0.04208182445408388,0.042097544400415576,-1.5434672059609589
sawbowl_curved,216690.26937635854,6,2,0.0011503456700614582,-0.04208182445408381,0.04209754440041551,-1.5434672059609584
sawbowl_curved,216690.26937635854,7,0,0.001268285652356907,-0.0409178747542279,0.040937525852189155,-1.5398103646039742
sawbowl_curved,216690.26937635854,7,1,-0.03607006183220988,0.019360569782917576,0.04093752585218927,2.6489798401824176
sawbowl_curved,216690.26937635854,7,2,0.034801776179852854,0.021557304971310434,0.0409375258521892,0.554584737789223
sawbowl_curved,280405.0812695393,1,0,0.13110452366928377,-1.6818952011174222,1.6869972921342713,-1.4930031651977826
sawbowl_curved,280405.0812695393,1,1,-1.5221162325054718,0.7274077525100551,1.6869972921342764,2.6957870395886085
