geometry,phase_i,phase_j,L_or_M_H,kind
sawbowl_curved,0,0,5.1436362062294015e-06,self
sawbowl_curved,0,1,3.6675077125403997e-07,mutual
sawbowl_curved,0,2,3.6675077125403917e-07,mutual
sawbowl_curved,1,0,3.6675077125403997e-07,mutual
sawbowl_curved,1,1,5.143636206229387e-06,self
sawbowl_curved,1,2,3.6675077125403896e-07,mutual
sawbowl_curved,2,0,3.6675077125403917e-07,mutual
sawbowl_curved,2,1,3.6675077125403896e-07,mutual
sawbowl_curved,2,2,5.1436362062293964e-06,self
sawbowl_chord,0,0,9.958141568781083e-06,self
sawbowl_chord,0,1,4.992391145777519e-07,mutual
sawbowl_chord,0,2,4.99239114577754e-07,mutual
sawbowl_chord,1,0,4.992391145777519e-07,mutual
sawbowl_chord,1,1,9.958141568781088e-06,self
sawbowl_chord,1,2,4.992391145777539e-07,mutual
sawbowl_chord,2,0,4.99239114577754e-07,mutual
sawbowl_chord,2,1,4.992391145777539e-07,mutual
sawbowl_chord,2,2,9.958141568781083e-06,self
rodin6lane,0,0,1.1604903068351469e-05,self
rodin6lane,0,1,5.975017340920829e-06,mutual
rodin6lane,0,2,5.59877944812339e-06,mutual
rodin6lane,1,0,5.975017340920829e-06,mutual
rodin6lane,1,1,1.1428281952675581e-05,self
rodin6lane,1,2,5.954800913793966e-06,mutual
rodin6lane,2,0,5.59877944812339e-06,mutual
rodin6lane,2,1,5.954800913793966e-06,mutual
rodin6lane,2,2,1.1442010263732021e-05,self
