geometry,f0_hz,observable,value,total_length_m,current_model
sawbowl_curved,100000.0,gradB2_mean,4.357134041166903e-08,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,129403.6331564652,gradB2_mean,2.6148068698204347e-08,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,167453.00274093024,gradB2_mean,1.5669570732439874e-08,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,216690.26937635854,gradB2_mean,9.38093005109967e-09,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,280405.0812695393,gradB2_mean,5.612219989893155e-09,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,362854.3627181228,gradB2_mean,3.3559151536623556e-09,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,469546.72842398926,gradB2_mean,2.0060196277821764e-09,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,607610.525947963,gradB2_mean,1.1988078587431114e-09,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,786270.0960177709,gradB2_mean,7.162821120868097e-10,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,1017462.0706698232,gradB2_mean,4.279175939047245e-10,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,1316632.88543575,gradB2_mean,2.5561899289565817e-10,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,1703770.789086661,gradB2_mean,1.5268425079106732e-10,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,2204741.3017367152,gradB2_mean,9.119514265842868e-11,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,2853015.346148455,gradB2_mean,5.446675979184722e-11,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,3691905.512427603,gradB2_mean,3.25295604235887e-11,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,4777459.865785123,gradB2_mean,1.9427413129935205e-11,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,6182206.638917935,gradB2_mean,1.1602306779386851e-11,5.003837309164942,three_phase_RL_mutual
sawbowl_curved,8000000.0,gradB2_mean,6.928961376002437e-12,5.003837309164942,three_phase_RL_mutual
sawbowl_chord,100000.0,gradB2_mean,5.443190435924647e-06,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,129403.6331564652,gradB2_mean,3.2575939435092503e-06,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,167453.00274093024,gradB2_mean,1.948476291374276e-06,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,216690.26937635854,gradB2_mean,1.164985102026424e-06,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,280405.0812695393,gradB2_mean,6.963401043970457e-07,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,362854.3627181228,gradB2_mean,4.161326327672958e-07,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,469546.72842398926,gradB2_mean,2.4864228712318397e-07,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,607610.525947963,gradB2_mean,1.4854835082624124e-07,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,786270.0960177709,gradB2_mean,8.874061599266751e-08,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,1017462.0706698232,gradB2_mean,5.300876717955617e-08,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,1316632.88543575,gradB2_mean,3.166286670762468e-08,4.493228207197632,three_phase_RL_mutual
