geometry,f0_hz,observable,value,total_length_m,current_model
sawbowl_chord,1703770.789086661,gradB2_mean,1.89118919767958e-08,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,2204741.3017367152,gradB2_mean,1.1295506119714275e-08,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,2853015.346148455,gradB2_mean,6.746293844954944e-09,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,3691905.512427603,gradB2_mean,4.029172573665437e-09,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,4777459.865785123,gradB2_mean,2.4063526041754337e-09,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,6182206.638917935,gradB2_mean,1.4371324411555125e-09,4.493228207197632,three_phase_RL_mutual
sawbowl_chord,8000000.0,gradB2_mean,8.582810436668291e-10,4.493228207197632,three_phase_RL_mutual
rodin6lane,100000.0,gradB2_mean,1.7566825227959216e-09,7.526206521511969,three_phase_RL_mutual
rodin6lane,129403.6331564652,gradB2_mean,1.05997743927238e-09,7.526206521511969,three_phase_RL_mutual
rodin6lane,167453.00274093024,gradB2_mean,6.384118253620017e-10,7.526206521511969,three_phase_RL_mutual
rodin6lane,216690.26937635854,gradB2_mean,3.839483645085777e-10,7.526206521511969,three_phase_RL_mutual
rodin6lane,280405.0812695393,gradB2_mean,2.306422549740751e-10,7.526206521511969,three_phase_RL_mutual
rodin6lane,362854.3627181228,gradB2_mean,1.384191706116361e-10,7.526206521511969,three_phase_RL_mutual
rodin6lane,469546.72842398926,gradB2_mean,8.300807779177821e-11,7.526206521511969,three_phase_RL_mutual
rodin6lane,607610.525947963,gradB2_mean,4.9747405478065427e-11,7.526206521511969,three_phase_RL_mutual
rodin6lane,786270.0960177709,gradB2_mean,2.9798435170456015e-11,7.526206521511969,three_phase_RL_mutual
rodin6lane,1017462.0706698232,gradB2_mean,1.7841323534799658e-11,7.526206521511969,three_phase_RL_mutual
rodin6lane,1316632.88543575,gradB2_mean,1.067828993894374e-11,7.526206521511969,three_phase_RL_mutual
rodin6lane,1703770.789086661,gradB2_mean,6.389137062023629e-12,7.526206521511969,three_phase_RL_mutual
rodin6lane,2204741.3017367152,gradB2_mean,3.821808858663998e-12,7.526206521511969,three_phase_RL_mutual
rodin6lane,2853015.346148455,gradB2_mean,2.285592872278094e-12,7.526206521511969,three_phase_RL_mutual
rodin6lane,3691905.512427603,gradB2_mean,1.3666144450245198e-12,7.526206521511969,three_phase_RL_mutual
rodin6lane,4777459.865785123,gradB2_mean,8.17000185460774e-13,7.526206521511969,three_phase_RL_mutual
rodin6lane,6182206.638917935,gradB2_mean,4.883568115194389e-13,7.526206521511969,three_phase_RL_mutual
rodin6lane,8000000.0,gradB2_mean,2.918768803392372e-13,7.526206521511969,three_phase_RL_mutual
