geometry,R_m,f0_hz,f0R_Hz_m,duty,harmonics,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
sawbowl_curved,0.03,100000.0,3000.0,0.382,3,0.0004631030805075213,6.197565380214464e-06,3.584742379008787e-05,0.0005113002917953843,0.08533269857984864,1.3645623119778577e-07,5.361547811795637e-06
sawbowl_curved,0.03,125874.97926444527,3776.249377933358,0.382,3,0.0003682290340904545,4.927895342798845e-06,2.8503507733934958e-05,0.0003232635651419236,0.05395058991505946,8.627283905497865e-08,3.3897752223727206e-06
sawbowl_curved,0.03,158445.10404824527,4753.353121447358,0.382,3,0.0002927256943335048,3.917457485085992e-06,2.2659020120360525e-05,0.00020428778068514957,0.03409430405670165,5.4520486452628656e-08,2.142182825014651e-06
sawbowl_curved,0.03,199442.74186625748,5983.282255987724,0.382,3,0.00023266626694136834,3.1137007328029246e-06,1.8009999552506716e-05,0.0001290587767285236,0.021539071794753298,3.4443309651813137e-08,1.353323698549245e-06
sawbowl_curved,0.03,251048.5099685927,7531.45529905778,0.382,3,0.00018490765896272496,2.4745620445193175e-06,1.4313148609604604e-05,8.1513680205537e-05,0.013604103918440328,2.175443622934686e-08,8.547608924743275e-07
sawbowl_curved,0.03,316007.2598666649,9480.217795999946,0.382,3,0.00014693958878339236,1.96644709732634e-06,1.137415390302928e-05,5.1475235364285635e-05,0.008590882528627976,1.3737752022720065e-08,5.397746489835713e-07
sawbowl_curved,0.03,397774.0728313061,11933.222184939183,0.382,3,0.00011676020566288572,1.562565741540708e-06,9.038058156789355e-06,3.2502023755437465e-05,0.005424376713377153,8.67416611947245e-09,3.408195871216765e-07
sawbowl_curved,0.03,500698.03169574495,15020.940950872347,0.382,3,9.2774787314973e-05,1.2415763017380715e-06,7.181418690349421e-06,2.0520154939235e-05,0.0034246806120389922,5.476435377672739e-09,2.1517646983114041e-07
sawbowl_curved,0.03,630253.5435745058,18907.606307235175,0.382,3,7.371387596842784e-05,9.86490016958398e-07,5.70597057604174e-06,1.2954456467108752e-05,0.0021620146647910476,3.457295712682403e-09,1.3584177212248525e-07
sawbowl_curved,0.03,793331.5172878391,23799.945518635173,0.382,3,5.8567465070117966e-05,7.837902816964477e-07,4.533532228675357e-06,8.177744831492161e-06,0.0013648125103122345,2.1824830873540027e-09,8.575267921860733e-08
sawbowl_curved,0.03,998605.8828843766,29958.176486531294,0.382,3,4.653227435612055e-05,6.22727044475901e-07,3.6019241265517787e-06,5.162133845794345e-06,0.0008615266186241206,1.3776744133318865e-09,5.4130670115460925e-08
sawbowl_curved,0.03,1256994.9480142395,37709.84844042719,0.382,3,3.6969611322631735e-05,4.947528809396589e-07,2.861706994012722e-06,3.258445565111542e-06,0.0005438134061495522,8.696165609782157e-10,3.416839765166882e-08
sawbowl_curved,0.03,1582242.1301680487,47467.26390504146,0.382,3,2.9371749296695922e-05,3.9307304196302916e-07,2.2735792284969976e-06,2.056744412084414e-06,0.000343257286937797,5.489055952318126e-10,2.156723490869257e-08
sawbowl_curved,0.03,1991646.9532623484,59749.40859787045,0.382,3,2.3335132009008585e-05,3.1228685873407225e-07,1.8063027466969944e-06,1.298198864593765e-06,0.0002166609606657799,3.4646435226092507e-10,1.3613047740101285e-08
sawbowl_curved,0.03,2506985.189439937,75209.55568319811,0.382,3,1.8539036258914816e-05,2.4810219179469495e-07,1.4350513253006333e-06,8.193982055144582e-07,0.00013675223975036533,2.186816490601131e-10,8.592294442740966e-09
sawbowl_curved,0.03,3155667.0873702345,94670.01262110703,0.382,3,1.4728590951218709e-05,1.9710818005912736e-07,1.1400961554403117e-06,5.171816443820778e-07,8.631425813609276e-05,1.380258512844622e-10,5.423220284112956e-09
sawbowl_curved,0.03,3972195.291882207,119165.85875646622,0.382,3,1.170126888736965e-05,1.5659446463078527e-07,9.057602126671607e-07,3.2642741012007663e-07,5.447861509753318e-05,8.71172085355765e-11,3.4229516284723815e-09
sawbowl_curved,0.03,5000000.0,150000.0,0.382,3,9.296144488370753e-06,1.2440742822841654e-07,7.195867294238472e-07,2.0602808760519548e-07,3.438474998100033e-05,5.4984940956659965e-11,2.160431863610464e-09
sawbowl_curved,0.05,100000.0,5000.0,0.382,3,0.0003740483580612587,3.193506705183813e-06,1.9604680883573075e-05,0.00015292542466778715,0.05566928529405722,3.381890351089312e-08,2.543845805641268e-06
sawbowl_curved,0.05,125874.97926444527,6293.748963222264,0.382,3,0.0002973000540896263,2.538253933549526e-06,1.558213680526729e-05,9.660823911266098e-05,0.03516819807172386,2.1364562001419673e-08,1.6070346993706832e-06
sawbowl_curved,0.05,158445.10404824527,7922.255202412263,0.382,3,0.00023627273925173715,2.0172220002874518e-06,1.23835636614648e-05,6.101708029457627e-05,0.022211985077747996,1.3493706200139546e-08,1.0149917459247053e-06
sawbowl_curved,0.05,199442.74186625748,9972.137093312875,0.382,3,0.00018775704496614684,1.6030103304094436e-06,9.840751525505043e-06,3.8531567132069755e-05,0.01402660681284443,8.521116444788642e-09,6.409553260789319e-07
sawbowl_curved,0.05,251048.5099685927,12552.425498429635,0.382,3,0.00014919419955284653,1.273772939723791e-06,7.819589657000066e-06,2.432921337446188e-05,0.0088565385596618,5.380317376226142e-09,4.047055454096318e-07
sawbowl_curved,0.05,316007.2598666649,15800.362993333245,0.382,3,0.00011854610897343652,1.0121092252411925e-06,6.213257153324775e-06,1.5360268146647422e-05,0.005591582639096998,3.3968676397753823e-09,2.5551116685311346e-07
sawbowl_curved,0.05,397774.0728313061,19888.703641565306,0.382,3,9.419051573226374e-05,8.041688649959083e-07,4.936728001591126e-06,9.697025541267122e-06,0.003529998249364161,2.1444620594331967e-09,1.6130566780466e-07
sawbowl_curved,0.05,500698.03169574495,25034.90158478725,0.382,3,7.483678716267684e-05,6.389328450394707e-07,3.92235736117275e-06,6.12145214433126e-06,0.002228385937635898,1.3537369594716994e-09,1.0182760908213423e-07
sawbowl_curved,0.05,630253.5435745058,31512.677178725295,0.382,3,5.9458487707036187e-05,5.076377828703422e-07,3.116347531527978e-06,3.864131591886751e-06,0.0014066558550995187,8.545386991293344e-10,6.427809478914996e-08
sawbowl_curved,0.05,793331.5172878391,39666.575864391954,0.382,3,4.723950800482018e-05,4.033159946080314e-07,2.4759244615633993e-06,2.4391298520048543e-06,0.000887913935145096,5.394047281195286e-10,4.057383039423368e-08
sawbowl_curved,0.05,998605.8828843766,49930.29414421883,0.382,3,3.7531090924371e-05,3.2042859682921853e-07,1.9670853913069663e-06,1.5395952639944498e-06,0.000560457282854551,3.4047591361584756e-10,2.5610476238372844e-08
sawbowl_curved,0.05,1256994.9480142395,62849.74740071198,0.382,3,2.98175874345206e-05,2.5457314101871085e-07,1.5628040433105691e-06,9.717827655811235e-07,0.0003537570821758786,2.1490623716842046e-10,1.616517016440066e-08
sawbowl_curved,0.05,1582242.1301680487,79112.10650840244,0.382,3,2.3689190060908536e-05,2.0225082043401323e-07,1.241601524309763e-06,6.133729429429771e-07,0.00022328552251220756,1.356452036582156e-10,1.0203183620964023e-08
sawbowl_curved,0.05,1991646.9532623484,99582.34766311743,0.382,3,1.8820234343734813e-05,1.6068121480700266e-07,9.864090578431494e-07,3.871455248515398e-07,0.00014093218783009688,8.561582992540959e-11,6.439992053027321e-09
sawbowl_curved,0.05,2506985.189439937,125349.25947199686,0.382,3,1.4951938348299433e-05,1.2765492573815616e-07,7.836633247866386e-07,2.443538494376033e-07,8.895188086999921e-05,5.403796834043599e-11,4.064716618145714e-09
sawbowl_curved,0.05,3155667.0873702345,157783.35436851173,0.382,3,1.1878676652913799e-05,1.0141638834189986e-07,6.225870534669906e-07,1.5422696458665443e-07,5.6143083534097636e-05,3.410673434757295e-11,2.5654963380538993e-09
sawbowl_curved,0.05,3972195.291882207,198609.76459411037,0.382,3,9.437067506923433e-06,8.05707008495853e-08,4.946170540860141e-07,9.734156253245391e-08,3.543514904313986e-05,2.1526733818369872e-11,1.6192332053396645e-09
sawbowl_curved,0.05,5000000.0,250000.0,0.382,3,7.497298062734653e-06,6.400956218121825e-08,3.9294955542853086e-07,6.143752951828495e-08,2.23650407768716e-05,1.3586687022384917e-11,1.0219857300613517e-09
sawbowl_curved,0.1,100000.0,10000.0,0.382,3,8.618423880153672e-05,7.35813802045337e-07,4.517101766347206e-06,8.118576553926333e-06,0.0029553970855009225,8.976968928465842e-10,6.752443865808453e-08
sawbowl_curved,0.1,125874.97926444527,12587.497926444528,0.382,3,6.848495595600247e-05,5.847029169792373e-07,3.589444193264181e-06,5.126424332032554e-06,0.0018661669849750714,5.668450822272688e-10,4.263788399904086e-08
sawbowl_curved,0.1,158445.10404824527,15844.510404824527,0.382,3,5.44177075559708e-05,4.646011945125652e-07,2.8521493760325275e-06,3.2367165957637053e-06,0.0011782586183887486,3.5789407314719975e-10,2.692066395784014e-08
sawbowl_curved,0.1,199442.74186625748,19944.27418662575,0.382,3,4.323826189533847e-05,3.6915461946939826e-07,2.266210526393069e-06,2.043434141623336e-06,0.0007438692320571897,2.259490278236946e-10,1.6995804921140938e-08
