geometry,current_A,grid,bounds_m,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m,gradB2_midplane_mean_T2_per_m,gradB2_midplane_max_T2_per_m
sawbowl_curved,5.0,9,0.08,0.0007038425516631701,2.0899199566974258e-05,6.890908722492138e-05,0.0018893531186904174,0.19711114399477112,4.714190359930004e-07,1.67749139426441e-05,2.137634431783453e-06,1.67749139426441e-05
sawbowl_chord,5.0,9,0.08,0.0023230627774753227,1.8060043726086476e-05,0.00016170070975203433,0.010403608303750887,2.1472471382965668,3.129603668651336e-06,0.00018711185200742376,1.6432282542547014e-05,0.00018711185200742376
rodin6lane,5.0,9,0.09328,2.033819853426792e-07,9.263255855962105e-10,1.020247506754791e-08,4.1416293016615296e-11,1.6458304959852232e-08,1.2299481612535092e-14,1.0241654100331768e-12,7.05111303401538e-14,1.0241654100331768e-12
