geometry,R_m,f0_hz,f0R_Hz_m,duty,harmonics,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
sawbowl_chord,0.03,100000.0,3000.0,0.382,3,0.0178911268410386,4.773504491986538e-05,0.0007365725426756555,0.21586945319109838,127.36072708072642,7.61015994238713e-05,0.008112834595641364
sawbowl_chord,0.03,125874.97926444527,3776.249377933358,0.382,3,0.014226327485387281,3.795704918943244e-05,0.000585693807994934,0.13649017972286664,80.52778321300787,4.811760454762722e-05,0.005129592147716811
sawbowl_chord,0.03,158445.10404824527,4753.353121447358,0.382,3,0.011309569522743371,3.017489138549731e-05,0.0004656117221653212,0.08625970157605913,50.89232472724121,3.0409588567182357e-05,0.0032418236152034225
sawbowl_chord,0.03,199442.74186625748,5983.282255987724,0.382,3,0.008989305472692841,2.398422996773491e-05,0.0003700871190361076,0.05449643332974013,32.152327573822035,1.9211915711011815e-05,0.0020480922294512497
sawbowl_chord,0.03,251048.5099685927,7531.45529905778,0.382,3,0.0071441905831147465,1.9061306838360356e-05,0.0002941242700875528,0.03442087174943124,20.307955516425853,1.213457186727002e-05,0.0012936097952391324
sawbowl_chord,0.03,316007.2598666649,9480.217795999946,0.382,3,0.005677287733162302,1.5147485531423964e-05,0.0002337323019545431,0.021736900276737397,12.824544569887657,7.663024356264595e-06,0.0008169190867918194
sawbowl_chord,0.03,397774.0728313061,11933.222184939183,0.382,3,0.004511280713173895,1.2036479837341372e-05,0.000185728128538227,0.01372509962856577,8.097665705402486,4.83858192322001e-06,0.0005158185257303668
sawbowl_chord,0.03,500698.03169574495,15020.940950872347,0.382,3,0.003584570586429094,9.563938564737595e-06,0.00014757573934304357,0.008665429148556333,5.1125128660499355,3.0548695433790328e-06,0.0003256653145836841
sawbowl_chord,0.03,630253.5435745058,18907.606307235175,0.382,3,0.002848118432908456,7.599021712826297e-06,0.00011725621614602572,0.005470561328651632,3.2275741567751703,1.928565902690371e-06,0.00020559536584999728
sawbowl_chord,0.03,793331.5172878391,23799.945518635173,0.382,3,0.0022629056947054576,6.037624457415868e-06,9.316317614836497e-05,0.0034534145364667345,2.0374785768609627,1.2174504813615887e-06,0.0001297866859362269
sawbowl_chord,0.03,998605.8828843766,29958.176486531294,0.382,3,0.0017978988158733442,4.796946637269759e-06,7.40189767837174e-05,0.002179948806319639,1.286147071146052,7.685088759465323e-07,8.19271269334292e-05
sawbowl_chord,0.03,1256994.9480142395,37709.84844042719,0.382,3,0.001428422132832083,3.811151487611449e-06,5.880772808456778e-05,0.0013760332989529698,0.8118453021085784,4.851002926204903e-07,5.171426706036847e-05
sawbowl_chord,0.03,1582242.1301680487,47467.26390504146,0.382,3,0.0011348593873097353,3.0279011664430364e-06,4.672183434375243e-05,0.0008685601720001327,0.5124414472916232,3.061981086623169e-07,3.264234428555759e-05
sawbowl_chord,0.03,1991646.9532623484,59749.40859787045,0.382,3,0.0009016187511182874,2.4055953528037203e-06,3.711938448236353e-05,0.0005482285803249783,0.32344914745678754,1.932699193696274e-07,2.0603599661886945e-05
sawbowl_chord,0.03,2506985.189439937,75209.55568319811,0.382,3,0.0007163085972189467,1.911172134015636e-06,2.9490218781734547e-05,0.0003460318935687058,0.20415521004269735,1.2198845257155265e-07,1.3004616798905428e-05
sawbowl_chord,0.03,3155667.0873702345,94670.01262110703,0.382,3,0.000569081509314664,1.518357767599579e-06,2.3428921947169456e-05,0.00021840609371306163,0.1288573185458175,7.699585471581348e-08,8.208166958229373e-06
sawbowl_chord,0.03,3972195.291882207,119165.85875646622,0.382,3,0.00045211242328946696,1.2062743183424355e-06,1.8613338341199925e-05,0.0001378506073217748,0.08133042131476953,4.8597203280318854e-08,5.180719919275656e-06
sawbowl_chord,0.03,5000000.0,150000.0,0.382,3,0.00035918361017824594,9.583323576360412e-07,1.4787485851900304e-05,8.700592419671476e-05,0.05133258829453089,3.0672658372190356e-08,3.2698682533095183e-06
sawbowl_chord,0.05,100000.0,5000.0,0.382,3,0.005400089426974197,1.970938674881389e-05,0.0002413498716876971,0.023176843319067712,11.602779638695855,5.616464194980448e-06,0.0005434273191320195
sawbowl_chord,0.05,125874.97926444527,6293.748963222264,0.382,3,0.004292150141996747,1.566560114912604e-05,0.00019183198723723573,0.014642060327799578,7.330100872718116,3.548222958567163e-06,0.00034331230879742976
