geometry,R_m,f0_hz,f0R_Hz_m,duty,harmonics,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
rodin6lane,0.03,100000.0,3000.0,0.382,3,0.00018618814074634524,1.1276542578943086e-06,1.3186730265609067e-05,6.918857498092248e-05,0.013793172594706525,1.8421775936373e-08,8.666505931489109e-07
rodin6lane,0.03,125874.97926444527,3776.249377933358,0.382,3,0.00014819830144739273,8.975676161218585e-07,1.0496109038816746e-05,4.383457576400179e-05,0.008738695215146766,1.1671157170285164e-08,5.490684133439304e-07
rodin6lane,0.03,158445.10404824527,4753.353121447358,0.382,3,0.00011789651046263559,7.140438777741102e-07,8.349991983889833e-06,2.7741648034538724e-05,0.005530470016292433,7.3863412324781726e-09,3.4748967919472943e-07
rodin6lane,0.03,199442.74186625748,5983.282255987724,0.382,3,9.37552433825683e-05,5.678315438162317e-07,6.640192552095888e-06,1.7543711896626326e-05,0.0034974480426673573,4.671093887120023e-09,2.1975114136166253e-07
rodin6lane,0.03,251048.5099685927,7531.45529905778,0.382,3,7.453755883782178e-05,4.514390404221659e-07,5.279104668596442e-06,1.1088701327235974e-05,0.0022106015523500723,2.9524176691314614e-09,1.3889619182285424e-07
rodin6lane,0.03,316007.2598666649,9480.217795999946,0.382,3,5.924788364205923e-05,3.5883664766390905e-07,4.1962171020355645e-06,7.006095279131513e-06,0.0013967086535120463,1.865405053603565e-09,8.775779282911136e-08
rodin6lane,0.03,397774.0728313061,11933.222184939183,0.382,3,4.708814141046517e-05,2.851907911265981e-07,3.3350062845012302e-06,4.425409395833694e-06,0.0008822328775495202,1.1782855816765506e-09,5.5432326491527536e-08
rodin6lane,0.03,500698.03169574495,15020.940950872347,0.382,3,3.742030753192671e-05,2.2663725493440407e-07,2.650284276440125e-06,2.794763484820214e-06,0.0005571534768296257,7.44118616790577e-10,3.50069853656933e-08
rodin6lane,0.03,630253.5435745058,18907.606307235175,0.382,3,2.973525080394882e-05,1.800924701445373e-07,2.1059919829485966e-06,1.7647108971845073e-06,0.00035180608924720476,4.698623833396295e-10,2.210462849109124e-08
rodin6lane,0.03,793331.5172878391,23799.945518635173,0.382,3,2.362720860018788e-05,1.4309892280656368e-07,1.6733913636552095e-06,1.1141795598309435e-06,0.00022211862253963135,2.966554262716334e-10,1.3956124644395951e-08
