geometry,R_m,f0_hz,f0R_Hz_m,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
sawbowl,0.03,100000.0,3000.0,3.343461211134135e-05,2.3562477330416205e-06,5.7904186770241146e-06,1.3340744708307934e-05,0.0004447876484553532,2.3072686547255567e-09,2.7850639323526815e-08
sawbowl,0.03,144224.95703074077,4326.748710922223,2.3216273378289816e-05,1.636127595412244e-06,4.020741814885499e-06,6.4323921512771446e-06,0.00021445943547120772,1.1124758857203881e-09,1.3428503258977792e-08
sawbowl,0.03,208008.3823051906,6240.251469155718,1.6112638430367716e-05,1.1355109384384042e-06,2.790489155149787e-06,3.098281104375047e-06,0.0001032983687792507,5.358446647435853e-10,6.468087910198238e-09
sawbowl,0.03,300000.0,9000.0,1.1178995200866612e-05,7.878207772235592e-07,1.9360494563507644e-06,1.4913962083662594e-06,4.972395671595096e-05,2.5793550499449286e-10,3.1134946958258816e-09
sawbowl,0.05,100000.0,5000.0,9.550564247951962e-05,3.6089651473874515e-06,1.4810208954851156e-05,8.727352392253902e-05,0.003629260995614432,1.251722832655124e-08,1.823657201547067e-07
sawbowl,0.05,144224.95703074077,7211.2478515370385,6.627557023750415e-05,2.5044198112344317e-06,1.0277456057424428e-05,4.202729103484925e-05,0.0017477008060255831,6.027775368581948e-09,8.781972872465117e-08
sawbowl,0.05,208008.3823051906,10400.41911525953,4.5979108880467815e-05,1.7374575695161156e-06,7.130052135124969e-06,2.022765562536793e-05,0.000841165089873375,2.901156875460942e-09,4.22674692090548e-08
sawbowl,0.05,300000.0,15000.0,3.189272166379129e-05,1.2051614747749978e-06,4.945654096625191e-06,9.732123615515723e-06,0.00040470941305909117,1.3958324119667056e-09,2.0336130042753967e-08
sawbowl,0.1,100000.0,10000.0,2.20356950006068e-05,8.325846805701818e-07,3.4170755999167827e-06,4.645894194066026e-06,0.00019320290203955976,3.3316994980876e-10,4.85410062194197e-09
sawbowl,0.1,144224.95703074077,14422.495703074077,1.5285712285614517e-05,5.775470154336235e-07,2.3703556650735667e-06,2.235564329340319e-06,9.296757482689517e-05,1.6031851443192446e-10,2.3357514717623998e-09
sawbowl,0.1,208008.3823051906,20800.83823051906,1.060198581494414e-05,4.0057964919653293e-07,1.6440501213105315e-06,1.075450058067147e-06,4.472337585358123e-05,7.712350451839997e-11,1.1236465097287304e-09
sawbowl,0.1,300000.0,30000.0,7.352748185885436e-06,2.7781222691137436e-07,1.1401907867044658e-06,5.172675030769193e-07,2.1510946773790713e-05,3.709468637016287e-11,5.404489218895795e-10
