a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.025390388127158447,0.1096754864389223,0.03009801489297463,0.05169935876015733,0,0,1,1,1,1,1,1,1
0.028530210357611302,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.03205830879674098,0.17054458948047607,0.0909671179345284,0.08477493958265861,0,0,1,1,1,1,1,1,1
0.036022698396719684,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.040477331727272754,0.1363969293104041,0.05681945776445642,0.07408089708710527,0,0,0,1,1,1,1,1,1
0.0454828332324177,0.11362478863973517,0.0340473170937875,0.06665023480403524,0,0,0,1,1,1,1,1,1
0.05110732428674596,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.057427350279686415,0.09735300305899097,0.0177755315130433,0.06118338848562464,0,0,0,1,1,1,1,1,1
0.06452892234471896,0.08514399028892558,0.005566518742977908,0.05699770995095645,0,0,0,0,1,1,1,1,1
0.0725086879107442,0.07564353541054883,-0.003933936135398844,0.05369854008153981,0,0,0,0,1,1,1,1,1
0.08147524600599464,0.06803910549351083,-0.011538366052436841,0.0510410670666249,0,0,0,0,0,1,1,1,1
0.09155062521485383,0.1184360189571332,0.03885854741118552,0.09362622916326654,0,0,0,0,0,1,1,1,1
0.10287194440154192,0.05222672995348467,-0.027350741592463,0.045551138563670185,0,0,0,0,0,0,1,1,1
0.11559327880195544,0.0936419100598177,0.014064438513870028,0.08557048662324464,0,0,0,0,0,0,1,1,1
0.1298877568798663,0.08211375266978371,0.00253628112383604,0.08205771206439061,0,0,0,0,0,0,0,1,1
0.1459499164842261,0.07306732560954739,-0.006510145936400286,0.07954471640161773,0,0,0,0,0,0,0,0,1
0.16399835237322866,0.06577437379133391,-0.01380309775461376,0.07779329255615944,0,0,0,0,0,0,0,0,0
0.18427869113608206,0.08770920047310332,0.008131728927155649,0.11248699279944226,0,0,0,0,0,0,0,0,0
0.2070669339990942,0.07722626377302044,-0.00235120777292723,0.11159569771665441,0,0,0,0,0,0,0,0,0
0.232673213009325,0.07109658976422148,-0.008480881781726193,0.11564331817632288,0,0,0,0,0,0,0,0,0
0.2614460117148378,0.0792542801776378,-0.00032319136830986916,0.14576962585149608,0,0,0,0,0,0,0,0,0
0.29377690778205584,0.0885070557126264,0.00892958416667873,0.1905667806150896,0,0,0,0,0,0,0,0,0
0.33010590209392926,0.07608236639557349,-0.0034951051503741837,0.2023821901750555,0,0,0,0,0,0,0,0,0
