geometry,R_m,f0_hz,f0R_Hz_m,duty,harmonics,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
rodin6lane,0.03,100000.0,3000.0,0.382,1,1.7120340826518027e-06,6.106135280296399e-08,2.5351807488339307e-07,2.557278321042867e-08,1.166231997332696e-06,4.645521829570925e-12,7.327223053917502e-11
rodin6lane,0.03,218672.4147886555,6560.172443659665,0.382,1,7.851972174902203e-07,2.8004818830951252e-08,1.162720351183599e-07,5.3791132561048264e-09,2.453113509360812e-07,9.771634103861935e-13,1.5412465016201527e-11
rodin6lane,0.03,478176.24989501806,14345.287496850542,0.382,1,3.5934826897547815e-07,1.2816503861335488e-08,5.3212305926896496e-08,1.1266377496546648e-09,5.137966338033939e-08,2.0466369330910793e-13,3.228090593329402e-12
rodin6lane,0.03,1045639.552591274,31369.18657773822,0.382,1,1.6436676377644524e-07,5.862299736748858e-09,2.433943690120548e-08,2.357117288864765e-10,1.0749497155316657e-08,4.2819116441791676e-14,6.753713116652507e-13
rodin6lane,0.03,2286525.259636632,68595.75778909896,0.382,1,7.517055353410701e-08,2.6810305567226966e-09,1.1131258549694417e-08,4.9300199995121534e-11,2.2483071254349613e-09,8.95581655680533e-15,1.4125703838903052e-13
rodin6lane,0.03,5000000.0,150000.0,0.382,1,3.4376583479644497e-08,1.2260741262579986e-09,5.090485845544029e-09,1.0310473460839253e-11,4.702031827640914e-10,1.872988526176821e-15,2.954200886833998e-14
rodin6lane,0.05,100000.0,5000.0,0.382,1,5.661010182022856e-05,1.1905542767738354e-06,6.93944015399712e-06,1.9160595819083005e-05,0.0012751110588902802,2.604294133310129e-09,5.8267337363784676e-08
rodin6lane,0.05,218672.4147886555,10933.620739432776,0.382,1,2.592004347577914e-05,5.451185852350063e-07,3.177358540360364e-06,4.01691451088711e-06,0.000267320085649305,5.459760747258582e-10,1.2215429790248682e-08
rodin6lane,0.05,478176.24989501806,23908.812494750906,0.382,1,1.185754567318304e-05,2.493733672848605e-07,1.4535343680116531e-06,8.406413529523204e-07,5.594351531816248e-05,1.1425935625296194e-10,2.556388839726874e-09
rodin6lane,0.05,1045639.552591274,52281.977629563706,0.382,1,5.423102439382959e-06,1.140520436280668e-07,6.647805535945227e-07,1.7583962704890214e-07,1.1701883133398727e-05,2.3899993165703824e-11,5.34727989041773e-10
rodin6lane,0.05,2286525.259636632,114326.26298183162,0.382,1,2.4801008284119513e-06,5.215844086401367e-08,3.040183769550048e-07,3.677560385682957e-08,2.4473653960441125e-06,4.998513108756873e-12,1.1183454506924269e-10
rodin6lane,0.05,5000000.0,250000.0,0.382,1,1.1341769982908858e-06,2.3852620513238862e-08,1.39030899973886e-07,7.690999947694289e-09,5.118253722288941e-07,1.045355073098522e-12,2.338831698390266e-11
rodin6lane,0.1,100000.0,10000.0,0.382,1,1.2968592561346889e-05,2.727395436715468e-07,1.5897299080440996e-06,1.005557315666827e-06,6.691844375099171e-05,6.833730648631592e-11,1.5289489926045705e-09
rodin6lane,0.1,218672.4147886555,21867.24147886555,0.382,1,5.933399950384718e-06,1.2478399542846253e-07,7.273343898263643e-07,2.1048850573434525e-07,1.4007717920955445e-05,1.4304721674344186e-11,3.200475833482966e-10
rodin6lane,0.1,478176.24989501806,47817.62498950181,0.382,1,2.713789779874156e-06,5.707310046808291e-08,3.326646863799921e-07,4.4032520192363406e-08,2.9303031063456277e-06,2.9924339278015176e-12,6.695140728533148e-11
rodin6lane,0.1,1045639.552591274,104563.95525912741,0.382,1,1.2410961373515468e-06,2.6101212799503948e-08,1.5213737643253157e-07,9.20941376714049e-09,6.128737045161065e-07,6.258683829941921e-13,1.4002905336540279e-11
rodin6lane,0.1,2286525.259636632,228652.52596366324,0.382,1,5.675708070156168e-07,1.1936453564599696e-08,6.95745727670345e-08,1.9260219693760116e-09,1.281740889482695e-07,1.3089174686511448e-13,2.9285146693591637e-12
rodin6lane,0.1,5000000.0,500000.0,0.382,1,2.5955501680044984e-07,5.458642987274384e-09,3.181705115945974e-08,4.0279121774704324e-10,2.6805196509683435e-08,2.7373543475165034e-14,6.124436837256945e-13
