geometry,current_A,grid,bounds_m,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m,gradB2_midplane_mean_T2_per_m,gradB2_midplane_max_T2_per_m
sawbowl_curved,5.0,5,0.08,0.0003578994108697732,1.3208975800110226e-05,3.737771778238669e-05,0.0005558859552587655,0.05096618277140588,9.901335256825748e-08,1.600577318970805e-06,3.087831079880219e-07,1.600577318970805e-06
sawbowl_chord,5.0,5,0.08,0.0013954622927006975,1.333186978828885e-05,0.00012492716294726312,0.006209746839799023,0.7748120241354155,1.1701797026230038e-06,2.4341434069146366e-05,3.89931278434043e-06,2.43414082812741e-05
rodin6lane,5.0,5,0.09328,2.9650573791919024e-06,9.107752273493777e-08,5.072792849379299e-07,1.0238925813356661e-07,3.4980526723660867e-06,1.4998977524292758e-11,1.8849839295418018e-10,4.740779597909032e-11,1.8849839295418018e-10
