n,f_hz,I_abs_A,I_phase_rad,skin_depth_m,geometry,lane_length_m
1,1000000.0,0.8909807023730546,-2.7605331558370683,6.608284962821108e-05,sawbowl_curved,1.6683289842899982
2,2000000.0,0.1613952353247246,2.318884105859037,4.672763109223898e-05,sawbowl_curved,1.6683289842899982
3,3000000.0,0.047028459291346095,-2.024255589959518,3.815295102166524e-05,sawbowl_curved,1.6683289842899982
4,4000000.0,0.0595163017295996,3.0580219002214166,3.304142481410554e-05,sawbowl_curved,1.6683289842899982
5,5000000.0,0.010668162920909755,1.8573957912822225,2.9553148783115338e-05,sawbowl_curved,1.6683289842899982
6,6000000.0,0.021083982797564668,-2.484670998063762,2.6978210389697703e-05,sawbowl_curved,1.6683289842899982
7,7000000.0,0.016666452918940686,2.598132676723,2.497696943467481e-05,sawbowl_curved,1.6683289842899982
8,8000000.0,0.0026143030597332593,-1.7437805669931152,2.336381554611949e-05,sawbowl_curved,1.6683289842899982
9,9000000.0,0.011578836701507285,-2.944058469454272,2.2027616542737028e-05,sawbowl_curved,1.6683289842899982
10,10000000.0,0.005122305553948381,2.13888012248631,2.089723190995582e-05,sawbowl_curved,1.6683289842899982
11,11000000.0,0.004683878833207745,-2.2029356685339105,1.992472884493209e-05,sawbowl_curved,1.6683289842899982
12,12000000.0,0.006408816926441198,2.8800448228008353,1.907647551083262e-05,sawbowl_curved,1.6683289842899982
13,13000000.0,0.0006030556153808005,1.679854568989916,1.83280848279455e-05,sawbowl_curved,1.6683289842899982
14,14000000.0,0.00433176744727247,-2.6619165440832635,1.7661384460747688e-05,sawbowl_curved,1.6683289842899982
15,15000000.0,0.0031870189157566942,2.4211000103941367,1.7062518405332703e-05,sawbowl_curved,1.6683289842899982
16,16000000.0,0.0012869777793549709,-1.9206532965614491,1.652071240705277e-05,sawbowl_curved,1.6683289842899982
17,17000000.0,0.0033072475514317494,-3.120807110649513,1.602744523876018e-05,sawbowl_curved,1.6683289842899982
18,18000000.0,0.0011205411232897194,1.9622302184726952,1.557587703074633e-05,sawbowl_curved,1.6683289842899982
