geometry,R_m,f0_hz,f0R_Hz_m,duty,harmonics,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
sawbowl_curved,0.03,100000.0,3000.0,0.382,1,3.289358468709721e-05,2.447344135713092e-06,5.786001926403944e-06,1.3320400662899498e-05,0.00043050931202478007,2.266815101892205e-09,2.694606137744972e-08
sawbowl_curved,0.03,218672.4147886555,6560.172443659665,0.382,1,1.50608377699492e-05,1.1205544590483554e-06,2.6492106950072137e-06,2.7924997288083348e-06,9.025232554956585e-05,4.752169786396446e-10,5.648994425412551e-09
sawbowl_curved,0.03,478176.24989501806,14345.287496850542,0.382,1,6.889809815279596e-06,5.126147182802249e-07,1.2119218152408231e-06,5.843988416903423e-07,1.888750568779233e-05,9.945077129411381e-11,1.182190194996033e-09
sawbowl_curved,0.03,1045639.552591274,31369.18657773822,0.382,1,3.151083973588939e-06,2.3444653288054113e-07,5.542776232776453e-07,1.2224041972598717e-07,3.95075496072953e-06,2.0802409515224967e-11,2.472821903860565e-10
sawbowl_curved,0.03,2286525.259636632,68595.75778909896,0.382,1,1.4410579108627681e-06,1.0721740001649507e-07,2.534829793598707e-07,2.5565703414690073e-08,8.262719468448787e-07,4.35067413192223e-12,5.1717289202017115e-11
sawbowl_curved,0.03,5000000.0,150000.0,0.382,1,6.590113743102732e-07,4.903167707711465e-08,1.1592050904616215e-07,5.346637000410723e-09,1.728008845187406e-07,9.098703412595773e-13,1.081580144787105e-11
sawbowl_curved,0.05,100000.0,5000.0,0.382,1,4.114303348446932e-05,2.007092304613962e-06,6.7075284808832425e-06,1.7901325570666445e-05,0.0006735235081997008,2.221883305762734e-09,3.074767912575622e-08
sawbowl_curved,0.05,218672.4147886555,10933.620739432776,0.382,1,1.8826011312310096e-05,9.183946644521554e-07,3.069195350080756e-06,3.7480830328979253e-06,0.00014101872084141992,4.652059472654135e-10,6.437783279081835e-09
sawbowl_curved,0.05,478176.24989501806,23908.812494750906,0.382,1,8.610826153804956e-06,4.2006438140236916e-07,1.4038187459459765e-06,7.84119429526244e-07,2.9501886155707883e-05,9.732362351106599e-11,1.346819402851986e-09
sawbowl_curved,0.05,1045639.552591274,52281.977629563706,0.382,1,3.938021055990541e-06,1.921096012492602e-07,6.420136327902356e-07,1.6400180980558115e-07,6.170441057859764e-06,2.0355636898699785e-11,2.8169282794389047e-10
sawbowl_curved,0.05,2286525.259636632,114326.26298183162,0.382,1,1.8009177045343804e-06,8.785468060779813e-08,2.9360272619302803e-07,3.429890915738127e-08,1.2904698890542693e-06,4.257124611349151e-12,5.891250058390839e-11
sawbowl_curved,0.05,5000000.0,250000.0,0.382,1,8.235759050125079e-07,4.017673762047847e-08,1.3426717408005048e-07,7.172983587975258e-09,2.698779512925262e-07,8.902990129819178e-13,1.232046179299603e-11
sawbowl_curved,0.1,100000.0,10000.0,0.382,1,9.471257129071573e-06,4.620390303975876e-07,1.5440943839738232e-06,9.486539669199012e-07,3.5692370676417305e-05,5.88726908441577e-11,8.147136272418214e-10
sawbowl_curved,0.1,218672.4147886555,21867.24147886555,0.382,1,4.332424073308365e-06,2.1134987582147788e-07,7.063129624107461e-07,1.984972495954372e-07,7.468305259727938e-06,1.2318577285656873e-11,1.7047144675997374e-10
sawbowl_curved,0.1,478176.24989501806,47817.62498950181,0.382,1,1.9814301203469923e-06,9.666066913077692e-08,3.230315764180165e-07,4.15193067932726e-08,1.5621317571726367e-06,2.5766542892772848e-12,3.5657200852636335e-11
sawbowl_curved,0.1,1045639.552591274,104563.95525912741,0.382,1,9.061509931020768e-07,4.4205021629239145e-08,1.4772935001273417e-07,8.68347811986677e-09,3.267091380233627e-07,5.388895641924707e-13,7.457458886807137e-12
sawbowl_curved,0.1,2286525.259636632,228652.52596366324,0.382,1,4.143934234512622e-07,2.0215472240412783e-08,6.755835568466963e-08,1.8160101921556623e-09,6.832597679533509e-08,1.1270011019902989e-13,1.559607931185914e-12
sawbowl_curved,0.1,5000000.0,500000.0,0.382,1,1.895053393837902e-07,9.244692871371253e-09,3.089496212465804e-08,3.7978295960544923e-10,1.4289039674641517e-08,2.3569020473635666e-14,3.2616144914188203e-13
sawbowl_chord,0.03,100000.0,3000.0,0.382,1,0.00011983343382839723,2.9270888907443726e-06,1.1469222827183596e-05,5.233932544902e-05,0.005713683092672798,9.74430875190936e-09,1.794994664965571e-07
sawbowl_chord,0.03,218672.4147886555,6560.172443659665,0.382,1,5.486638912960031e-05,1.3401835611795124e-06,5.251246021635983e-06,1.0971976565866217e-05,0.0011977685317831267,2.042715039968411e-09,3.7628760460507384e-08
sawbowl_chord,0.03,478176.24989501806,14345.287496850542,0.382,1,2.509932634936863e-05,6.130839864574967e-07,2.4022491680021617e-06,2.296128787803289e-06,0.00025065955896297435,4.2748330534553247e-10,7.874650444616951e-09
sawbowl_chord,0.03,1045639.552591274,31369.18657773822,0.382,1,1.1479267256328618e-05,2.803961681345281e-07,1.098677304400385e-06,4.802865744804602e-07,5.243104026855816e-05,8.941767267698218e-11,1.6471588646795545e-09
sawbowl_chord,0.03,2286525.259636632,68595.75778909896,0.382,1,5.249711590874919e-06,1.2823109533243249e-07,5.024483576129049e-07,1.0044839509167209e-07,1.0965565409902514e-05,1.8701046813459777e-11,3.444911292743481e-10
sawbowl_chord,0.03,5000000.0,150000.0,0.382,1,2.400749617377285e-06,5.864146014998527e-08,2.2977504219236404e-07,2.10070877402636e-08,2.2932630678388986e-06,3.9110085421135525e-12,7.20445097386001e-11
sawbowl_chord,0.05,100000.0,5000.0,0.382,1,4.042871795334236e-05,1.6925883573104735e-06,5.1780154904368796e-06,1.0668093931818023e-05,0.000650339419992611,1.436315518539596e-09,1.5861616286215788e-08
sawbowl_chord,0.05,218672.4147886555,10933.620739432776,0.382,1,1.8498994714391972e-05,7.744787532383092e-07,2.369307908778554e-06,2.233588415809617e-06,0.00013616214893903691,3.007226711877016e-10,3.320960859487966e-09
sawbowl_chord,0.05,478176.24989501806,23908.812494750906,0.382,1,8.46123191349733e-06,3.5423786234867275e-07,1.0836947628868839e-06,4.672766605206271e-07,2.8485728971012276e-05,6.291252432221127e-11,6.947598264556539e-10
sawbowl_chord,0.05,1045639.552591274,52281.977629563706,0.382,1,3.869603951013629e-06,1.6200480565441224e-07,4.956098094262675e-07,9.773270689584348e-08,5.957899538865339e-06,1.3158395912198309e-11,1.4531168410239943e-10
