f0_hz,geometry,observable
100000.0,SawBowl_straight_S40_11_-9,2.2495587226222478e-06
122862.53559934766,SawBowl_straight_S40_11_-9,1.8892776921601208e-06
150952.02653901002,SawBowl_straight_S40_11_-9,1.506989476852519e-06
185463.4873444279,SawBowl_straight_S40_11_-9,1.1312848282519293e-06
227865.14316233987,SawBowl_straight_S40_11_-9,7.934237970109656e-07
279960.8926363343,SawBowl_straight_S40_11_-9,5.247373041650096e-07
343967.0513795677,SawBowl_straight_S40_11_-9,3.346637413715959e-07
422606.6409512487,SawBowl_straight_S40_11_-9,2.066252409037615e-07
519225.2346839353,SawBowl_straight_S40_11_-9,1.2417060579975112e-07
637933.2888043477,SawBowl_straight_S40_11_-9,8.20664609694966e-08
783781.0140573311,SawBowl_straight_S40_11_-9,5.8878666889052286e-08
962973.2274171185,SawBowl_straight_S40_11_-9,4.516158054680949e-08
1183133.3243475442,SawBowl_straight_S40_11_-9,3.486186833426379e-08
1453627.60181425,SawBowl_straight_S40_11_-9,2.5209098599822698e-08
1785963.7297609765,SawBowl_straight_S40_11_-9,1.7272614523420338e-08
2194280.323269017,SawBowl_straight_S40_11_-9,1.1482940643181419e-08
2695948.4433258823,SawBowl_straight_S40_11_-9,7.528579053142608e-09
3312310.6159213213,SawBowl_straight_S40_11_-9,4.90205159589877e-09
4069588.809647314,SawBowl_straight_S40_11_-9,3.185780037090522e-09
5000000.0,SawBowl_straight_S40_11_-9,2.0716771345081706e-09
100000.0,SawBowl_curved_original,5.32645840789241e-07
122862.53559934766,SawBowl_curved_original,4.1499922091697497e-07
150952.02653901002,SawBowl_curved_original,3.044667882131264e-07
185463.4873444279,SawBowl_curved_original,2.1310904905976222e-07
227865.14316233987,SawBowl_curved_original,1.4513131388747147e-07
279960.8926363343,SawBowl_curved_original,9.772068879347312e-08
343967.0513795677,SawBowl_curved_original,6.556538519256139e-08
422606.6409512487,SawBowl_curved_original,4.39118126081169e-08
519225.2346839353,SawBowl_curved_original,2.934883289079145e-08
637933.2888043477,SawBowl_curved_original,1.957103273918709e-08
783781.0140573311,SawBowl_curved_original,1.3022811067207e-08
962973.2274171185,SawBowl_curved_original,8.644129802904396e-09
1183133.3243475442,SawBowl_curved_original,5.732728419034461e-09
1453627.60181425,SawBowl_curved_original,3.798760349781584e-09
1785963.7297609765,SawBowl_curved_original,2.5159770776971176e-09
2194280.323269017,SawBowl_curved_original,1.6659219831985094e-09
2695948.4433258823,SawBowl_curved_original,1.1029355248852778e-09
3312310.6159213213,SawBowl_curved_original,7.301846156067813e-10
4069588.809647314,SawBowl_curved_original,4.834206627413741e-10
5000000.0,SawBowl_curved_original,3.200661544549829e-10
100000.0,Rodin_T5_12_CWCCW,7.777723330545195e-10
122862.53559934766,Rodin_T5_12_CWCCW,1.7135360654583096e-09
150952.02653901002,Rodin_T5_12_CWCCW,6.673076421256036e-09
185463.4873444279,Rodin_T5_12_CWCCW,1.015527586318247e-08
227865.14316233987,Rodin_T5_12_CWCCW,1.1180097848724493e-08
279960.8926363343,Rodin_T5_12_CWCCW,1.0428355178260742e-08
343967.0513795677,Rodin_T5_12_CWCCW,8.807119527350678e-09
422606.6409512487,Rodin_T5_12_CWCCW,6.971247738151077e-09
519225.2346839353,Rodin_T5_12_CWCCW,5.277785490846563e-09
637933.2888043477,Rodin_T5_12_CWCCW,3.871013667074674e-09
783781.0140573311,Rodin_T5_12_CWCCW,2.774170603597543e-09
962973.2274171185,Rodin_T5_12_CWCCW,1.9540455967469465e-09
1183133.3243475442,Rodin_T5_12_CWCCW,1.3584598022379626e-09
1453627.60181425,Rodin_T5_12_CWCCW,9.349556445466858e-10
1785963.7297609765,Rodin_T5_12_CWCCW,6.384788355667453e-10
2194280.323269017,Rodin_T5_12_CWCCW,4.3336138006458315e-10
2695948.4433258823,Rodin_T5_12_CWCCW,2.9272784300158003e-10
3312310.6159213213,Rodin_T5_12_CWCCW,1.9697958556371517e-10
4069588.809647314,Rodin_T5_12_CWCCW,1.321474800003854e-10
5000000.0,Rodin_T5_12_CWCCW,8.843850765547193e-11
