x_m,y_m,z_m,Bx_real_T,By_real_T,Bz_real_T,Bmag_T,Pmag_proxy_Pa
-0.1,-0.1,0.0,0.0,0.0,1.8691237918305904e-15,2.0053445068742013e-15,-1.6000668429496287e-24
-0.1,-0.096,0.0,0.0,0.0,3.061263620938894e-15,3.0634056864343177e-15,-3.7339557648231425e-24
-0.1,-0.092,0.0,0.0,0.0,4.1865340038922885e-15,4.677175912706806e-15,-8.704173698891149e-24
-0.1,-0.08800000000000001,0.0,0.0,0.0,4.409723661704387e-15,7.131467329298499e-15,-2.0235686113991544e-23
-0.1,-0.084,0.0,0.0,0.0,2.227013333918392e-15,1.0849296645593533e-14,-4.6834221795745436e-23
-0.1,-0.08,0.0,0.0,0.0,-4.41426710672879e-15,1.6452000712959184e-14,-1.0769550563387246e-22
-0.1,-0.07600000000000001,0.0,0.0,0.0,-1.7275020006320395e-14,2.4839955294746603e-14,-2.4550580194569375e-22
-0.1,-0.07200000000000001,0.0,0.0,0.0,-3.579429992635452e-14,3.729667254052071e-14,-5.534779393683227e-22
-0.1,-0.068,0.0,0.0,0.0,-5.3857475586678345e-14,5.5615861345966216e-14,-1.2307149487216815e-21
-0.1,-0.064,0.0,0.0,0.0,-5.674344202017893e-14,8.224477134790184e-14,-2.691390625682895e-21
-0.1,-0.060000000000000005,0.0,0.0,0.0,-2.197718978693777e-14,1.2042616280031041e-13,-5.770345763252991e-21
-0.1,-0.05600000000000001,0.0,0.0,0.0,7.029401129267738e-14,1.74305108007005e-13,-1.2088721401634005e-20
-0.1,-0.052000000000000005,0.0,0.0,0.0,2.1399316299032038e-13,2.489459271061523e-13,-2.4658700799388317e-20
-0.1,-0.048,0.0,0.0,0.0,3.483029336624027e-13,3.5018305753689884e-13,-4.879220005089133e-20
-0.1,-0.044000000000000004,0.0,0.0,0.0,3.4966183134607007e-13,4.842149949364127e-13,-9.329032563043934e-20
-0.1,-0.04000000000000001,0.0,0.0,0.0,8.310132700120908e-14,6.568541741195963e-13,-1.7167144726947845e-19
-0.1,-0.036000000000000004,0.0,0.0,0.0,-4.72356799438722e-13,8.723907683476363e-13,-3.028184016109373e-19
-0.1,-0.032,0.0,0.0,0.0,-1.0875349668047492e-12,1.1321209146245037e-12,-5.099713372553525e-19
-0.1,-0.027999999999999997,0.0,0.0,0.0,-1.2886471666297995e-12,1.432716729492979e-12,-8.167343181107249e-19
-0.1,-0.024000000000000007,0.0,0.0,0.0,-6.368951790850499e-13,1.7648061303653697e-12,-1.239236360821759e-18
-0.1,-0.020000000000000004,0.0,0.0,0.0,8.104125549806764e-13,2.1122471282496776e-12,-1.7752094330645085e-18
-0.1,-0.016,0.0,0.0,0.0,2.2568143245627018e-12,2.452543054239556e-12,-2.3932794987064867e-18
-0.1,-0.01200000000000001,0.0,0.0,0.0,2.5596464106974016e-12,2.7588150813830617e-12,-3.0283448128490356e-18
-0.1,-0.008000000000000007,0.0,0.0,0.0,1.1598445613403892e-12,3.0032024208404643e-12,-3.588635516700446e-18
-0.1,-0.0040000000000000036,0.0,0.0,0.0,-1.2325048381570438e-12,3.161149702467424e-12,-3.976035622406109e-18
-0.1,0.0,0.0,0.0,0.0,-2.997365347166708e-12,3.215810010452046e-12,-4.11472585867664e-18
-0.1,0.0040000000000000036,0.0,0.0,0.0,-2.8748767030254128e-12,3.161155968224425e-12,-3.9760513843282406e-18
-0.1,0.007999999999999993,0.0,0.0,0.0,-1.0154001659881047e-12,3.003194057111314e-12,-3.588615528481551e-18
-0.1,0.011999999999999997,0.0,0.0,0.0,1.1927207421176924e-12,2.7588205852028545e-12,-3.028356895921118e-18
-0.1,0.016,0.0,0.0,0.0,2.3128023355438686e-12,2.4525425191802317e-12,-2.393278454446432e-18
-0.1,0.01999999999999999,0.0,0.0,0.0,1.9149865404992177e-12,2.112244311106165e-12,-1.7752046978076005e-18
-0.1,0.023999999999999994,0.0,0.0,0.0,6.417960610017656e-13,1.7648091392195996e-12,-1.2392405864244247e-18
-0.1,0.027999999999999997,0.0,0.0,0.0,-5.275316105096467e-13,1.4327154731151353e-12,-8.1673288569016265e-19
-0.1,0.032,0.0,0.0,0.0,-1.0145229860662316e-12,1.1321205764758394e-12,-5.099710326128033e-19
