R_m,f0_Hz,n,duty,PWM_amp,x_knR,G_candidate,weighted_contribution
0.03,100000.0,1,0.382,0.5933748994435446,0.01723237301916063,0.9999505082882002,0.5933455323040321
0.03,102686.8230906964,1,0.382,0.5933748994435446,0.017695376396514372,0.9999478130927592,0.5933439330427083
0.03,105445.83636459979,1,0.382,0.5933748994435446,0.01817081985552156,0.9999449711261057,0.5933422466910311
0.03,108278.9794442218,1,0.382,0.5933748994435446,0.018659037639168558,0.999941974395848,0.5933404685065158
0.03,111188.24406629955,1,0.382,0.5933748994435446,0.019160372970959474,0.9999388144744008,0.5933385934884448
0.03,114175.67548201275,1,0.382,0.5933748994435446,0.019675178296206762,0.9999354824752921,0.5933366163638086
0.03,117243.37389482206,1,0.382,0.5933748994435446,0.020203815529804933,0.9999319690281799,0.5933345315724818
0.03,120393.49593693965,1,0.382,0.5933748994435446,0.02074665631066144,0.9999282642525104,0.5933323332515914
0.03,123628.25618546997,1,0.382,0.5933748994435446,0.02130408226296371,0.9999243577297406,0.5933300152190357
0.03,126949.92871928647,1,0.382,0.5933748994435446,0.02187648526446597,0.9999202384740521,0.5933275709561058
0.03,130360.84871773889,1,0.382,0.5933748994435446,0.02246426772198444,0.9999158949014677,0.5933249935891604
0.03,133863.41410231488,1,0.382,0.5933748994435446,0.023067842854294574,0.9999113147972901,0.5933222758703045
0.03,137460.08722241042,1,0.382,0.5933748994435446,0.023687634982629324,0.9999064852817678,0.5933194101570171
0.03,141153.39658639356,1,0.382,0.5933748994435446,0.024324079828982482,0.9999013927738926,0.5933163883906687
0.03,144945.93863917905,1,0.382,0.5933748994435446,0.02497762482242701,0.999896022953227,0.5933132020738713
0.03,148840.37958756313,1,0.382,0.5933748994435446,0.02564872941366349,0.9998903607196564,0.5933098422465957
0.03,152839.45727460194,1,0.382,0.5933748994435446,0.02633786539802004,0.9998843901509491,0.5933062994609893
0.03,156945.983104351,1,0.382,0.5933748994435446,0.02704551724713058,0.9998780944580093,0.5933025637548243
0.03,161162.84401831884,1,0.382,0.5933748994435446,0.027772182449524705,0.9998714559376959,0.5932986246235008
0.03,165493.00452502604,1,0.382,0.5933748994435446,0.028518371860368867,0.9998644559230728,0.5932944709905278
0.03,169939.50878409168,1,0.382,0.5933748994435446,0.029284610060603924,0.9998570747309565,0.593290091176398
0.03,174505.48274631868,1,0.382,0.5933748994435446,0.030071435725732624,0.9998492916066076,0.5932854728657702
0.03,179194.136351278,1,0.382,0.5933748994435446,0.030879402004515537,0.9998410846654161,0.5932806030728659
0.03,184008.7657839381,1,0.382,0.5933748994435446,0.031709076907841825,0.9998324308314154,0.5932754681049859
0.03,188952.75579192644,1,0.382,0.5933748994435446,0.032561043708048396,0.999823305772452,0.593270053524041
0.03,194029.58206505107,1,0.382,0.5933748994435446,0.03343590134896799,0.9998136838318317,0.593264344105993
0.03,199242.8136787566,1,0.382,0.5933748994435446,0.03433426486699453,0.9998035379562477,0.5932583237980886
0.03,204596.1156032306,1,0.382,0.5933748994435446,0.0352567658234618,0.9997928396197913,0.5932519756737695
0.03,210093.2512799261,1,0.382,0.5933748994435446,0.036204052748639325,0.9997815587438333,0.5932452818851324
0.03,215738.08526730997,1,0.382,0.5933748994435446,0.037176791597657674,0.9997696636125488,0.5932382236128025
0.03,221534.58595769835,1,0.382,0.5933748994435446,0.038175666218683624,0.9997571207838526,0.5932307810130862
0.03,227486.82836708843,1,0.382,0.5933748994435446,0.039201378833674395,0.9997438949954924,0.593222933162248
0.03,233598.99699994826,1,0.382,0.5933748994435446,0.04025465053204893,0.9997299490660438,0.5932146579977637
0.03,239875.38879097803,1,0.382,0.5933748994435446,0.04133622177762316,0.9997152437905219,0.5932059322563796
0.03,246320.41612591178,1,0.382,0.5933748994435446,0.04244685292916581,0.999699737830326,0.5931967314088076
0.03,252938.60994348224,1,0.382,0.5933748994435446,0.04358732477494058,0.9996833875972048,0.5931870295908734
0.03,259734.6229207302,1,0.382,0.5933748994435446,0.04475843908161051,0.999666147130922,0.5931767995309265
0.03,266713.2327438976,1,0.382,0.5933748994435446,0.0459610191578905,0.9996479679702772,0.5931660124733069
0.03,273879.3454672035,1,0.382,0.5933748994435446,0.047195910433344104,0.9996287990171281,0.5931546380976597
0.03,281237.99896186445,1,0.382,0.5933748994435446,0.04846398105273158,0.9996085863930293,0.5931426444338675
0.03,288794.3664577843,1,0.382,0.5933748994435446,0.04976612248632709,0.9995872732880916,0.5931299977723683
0.03,296553.76018040243,1,0.382,0.5933748994435446,0.051103250156633986,0.999564799801642,0.5931166625696062
0.03,304521.63508525793,1,0.382,0.5933748994435446,0.05247630408193878,0.9995411027742389,0.5931026013483537
0.03,312703.59269289486,1,0.382,0.5933748994435446,0.053886249537156365,0.9995161156105761,0.5930877745926278
0.03,321105.38502680475,1,0.382,0.5933748994435446,0.05533407773243096,0.9994897680927852,0.5930721406369082
0.03,329732.9186571745,1,0.382,0.5933748994435446,0.056820806509969804,0.9994619861836166,0.5930556555493488
0.03,338592.25885328266,1,0.382,0.5933748994435446,0.058347481059599596,0.9994326918189524,0.593038273008662
0.03,347689.6338474632,1,0.382,0.5933748994435446,0.059915174653548633,0.9994018026890787,0.5930199441743293
0.03,357031.4392136346,1,0.382,0.5933748994435446,0.06152498940097126,0.9993692320081091,0.5930006175497842
0.03,366624.2423634722,1,0.382,0.5933748994435446,0.06317805702274505,0.9993348882709213,0.5929802388381838
0.03,376474.7871633839,1,0.382,0.5933748994435446,0.06487553964708537,0.9992986749969369,0.5929587507903749
0.03,386589.9986755398,1,0.382,0.5933748994435446,0.06661863062653715,0.9992604904600341,0.5929360930446298
0.03,396976.9880262771,1,0.382,0.5933748994435446,0.0684085553769167,0.9992202274038497,0.5929122019577151
0.03,407643.0574053182,1,0.382,0.5933748994435446,0.07024657223879552,0.9991777727416838,0.5928870104268215
0.03,418595.7051993051,1,0.382,0.5933748994435446,0.07213397336213022,0.9991330072401834,0.5928604477018702
0.03,429842.6312632634,1,0.382,0.5933748994435446,0.07407208561466071,0.999085805185931,0.5928324391876746
0.03,441391.74233370175,1,0.382,0.5933748994435446,0.07606227151471583,0.9990360340340282,0.5928029062354191
0.03,453251.1575871508,1,0.382,0.5933748994435446,0.07810593018908141,0.9989835540377018,0.5927717659228761
0.03,465429.21434805106,1,0.382,0.5933748994435446,0.08020449835660483,0.9989282178579271,0.5927389308227667
0.03,477934.47395000135,1,0.382,0.5933748994435446,0.08235945133822732,0.9988698701519922,0.5927043087586249
0.03,490775.72775448835,1,0.382,0.5933748994435446,0.08457230409415367,0.9988083471398844,0.592667802547502
0.03,503962.0033313292,1,0.382,0.5933748994435446,0.08684461228888937,0.9987434761473148,0.5926293097288091
0.03,517502.5708051715,1,0.382,0.5933748994435446,0.08917797338489301,0.9986750751241356,0.5925887222785583
0.03,531406.9493725123,1,0.382,0.5933748994435446,0.09157402776561338,0.9986029521368444,0.5925459263082268
0.03,545684.9139938183,1,0.382,0.5933748994435446,0.09403445988870064,0.9985269048337958,0.5925008017474274
0.03,560346.502265451,1,0.382,0.5933748994435446,0.09656099947020187,0.9984467198816752,0.592453222009526
0.03,575402.0214762287,1,0.382,0.5933748994435446,0.09915542270057448,0.9983621723717109,0.5924030536393027
0.03,590862.055853586,1,0.382,0.5933748994435446,0.10181955349337116,0.9982730251940256,0.592350155941708
0.03,606737.4740044235,1,0.382,0.5933748994435446,0.104555264767475,0.9981790283784454,0.5922943805907152
0.03,623039.4365558823,1,0.382,0.5933748994435446,0.10736447976378627,0.9980799183999969,0.5922355712172194
0.03,639779.4040014106,1,0.382,0.5933748994435446,0.11024917339728575,0.9979754174472374,0.5921735629748839
0.03,656969.1447576402,1,0.382,0.5933748994435446,0.11321137364542593,0.9978652326514658,0.5921081820827727
0.03,674620.7434377392,1,0.382,0.5933748994435446,0.11625316297382582,0.9977490552747648,0.5920392453435551
0.03,692746.609347052,1,0.382,0.5933748994435446,0.11937667980027146,0.9976265598547228,0.5919665596360055
0.03,711359.485207005,1,0.382,0.5933748994435446,0.12258411999805188,0.9974974033035775,0.5918899213804572
0.03,730472.4561134059,1,0.382,0.5933748994435446,0.1258777384396865,0.9973612239594087,0.5918091159758048
0.03,750098.958735438,1,0.382,0.5933748994435446,0.1292598505821304,0.9972176405868942,0.5917239172065771
0.03,770252.7907618149,1,0.382,0.5933748994435446,0.13273283409457076,0.9970662513250185,0.5916340866185348
0.03,790948.1206007368,1,0.382,0.5933748994435446,0.13629913052995943,0.9969066325789991,0.5915393728611663
0.03,812199.4973404666,1,0.382,0.5933748994435446,0.13996124704145682,0.9967383378535639,0.5914395109953843
0.03,834021.8609775302,1,0.382,0.5933748994435446,0.14372175814499327,0.9965608965245699,0.5913342217646353
0.03,856430.5529197303,1,0.382,0.5933748994435446,0.1475833075291878,0.9963738125458218,0.5912232108275581
0.03,879441.3267713565,1,0.382,0.5933748994435446,0.1515486099138955,0.9961765630877882,0.5911061679502322
