R_m,f0_Hz,f0_times_R_Hz_m,normalized_response
0.03,141153.39658639356,4234.601897591807,0.9984108093115523
0.03,142092.12609277116,4262.763782783135,0.998368310389036
0.03,143037.09854552805,4291.1129563658415,0.9983252484950592
0.03,143988.35546288567,4319.650663886569,0.998281616228626
0.03,144945.93863917905,4348.378159175371,0.9982374060929659
0.03,145909.8901466932,4377.2967044007955,0.9981926104943332
0.03,146880.25233751145,4406.407570125343,0.9981472217407942
0.03,147857.06784537647,4435.712035361294,0.9981012320410033
0.03,148840.37958756313,4465.211387626894,0.9980546335029586
0.03,149830.23076676426,4494.906923002927,0.998007418132751
0.03,150826.66487298885,4524.799946189665,0.9979595778332927
0.03,151829.7256854727,4554.891770564181,0.9979111044030348
0.03,152839.45727460194,4585.183718238058,0.9978619895346682
0.03,153855.9040038494,4615.677120115482,0.9978122248138105
0.03,154879.1105317236,4646.373315951708,0.9977618017176775
0.03,155909.12181373098,4677.273654411929,0.9977107116137425
0.03,156945.983104351,4708.37949313053,0.997658945758375
0.03,157989.7399590245,4739.692198770735,0.9976064952954683
0.03,159040.43823615514,4771.213147084654,0.9975533512550516
0.03,160098.12409912425,4802.943722973728,0.9974995045518837
0.03,161162.84401831884,4834.885320549565,0.9974449459840328
0.03,162234.64477317443,4867.0393431952325,0.997389666231442
0.03,163313.57345422855,4899.407203626856,0.9973336558544752
0.03,164399.67746519097,4931.990323955729,0.9972769052924505
0.03,165493.00452502604,4964.790135750781,0.9972194048621552
0.03,166593.60267004935,4997.80808010148,0.9971611447563447
0.03,167701.5202560382,5031.045607681146,0.9971021150422247
0.03,168816.80596035614,5064.504178810684,0.9970423056599196
0.03,169939.50878409168,5098.185263522751,0.9969817064209198
0.03,171069.67805421125,5132.090341626337,0.996920307006515
0.03,172207.36342572633,5166.22090277179,0.9968580969662102
0.03,173352.6148838751,5200.578446516252,0.9967950657161239
0.03,174505.48274631868,5235.16448238956,0.9967312025373687
0.03,175666.0176653518,5269.980529960554,0.9966664965744166
0.03,176834.27063012822,5305.028118903846,0.9966009368334444
0.03,178010.29296890105,5340.308789067031,0.9965345121806635
0.03,179194.136351278,5375.82409053834,0.9964672113406298
0.03,180385.85279049128,5411.575583714738,0.9963990228945383
0.03,181585.49464568304,5447.5648393704905,0.996329935278498
0.03,182793.1146242058,5483.793438726174,0.9962599367817904
0.03,184008.7657839381,5520.262973518144,0.9961890155451049
0.03,185232.5015356158,5556.975046068474,0.9961171595587667
0.03,186464.37564517852,5593.931269355356,0.9960443566609323
0.03,187704.4422361321,5631.133267083963,0.9959705945357775
0.03,188952.75579192644,5668.582673757793,0.9958958607116632
0.03,190209.3711583493,5706.2811347504785,0.99582014255928
0.03,191474.34354593605,5744.230306378081,0.9957434272897782
0.03,192747.72853239538,5782.431855971861,0.9956657019528757
0.03,194029.58206505107,5820.887461951532,0.9955869534349502
0.03,195319.96046330023,5859.598813899007,0.9955071684571082
0.03,196618.92042108762,5898.567612632628,0.9954263335732373
0.03,197926.51900939658,5937.795570281897,0.9953444351680412
0.03,199242.8136787566,5977.284410362698,0.9952614594550508
0.03,200567.86226176727,6017.035867853017,0.9951773924746189
0.03,201901.72297563936,6057.05168926918,0.9950922200918962
0.03,203244.45442475265,6097.3336327425795,0.9950059279947849
0.03,204596.1156032306,6137.883468096918,0.9949185016918736
0.03,205956.76589753258,6178.702976925977,0.9948299265103558
0.03,207326.46508906272,6219.793952671882,0.9947401875939231
0.03,208705.27335679682,6261.158200703904,0.9946492699006445
0.03,210093.2512799261,6302.797538397783,0.9945571582008195
0.03,211490.459840519,6344.71379521557,0.9944638370748173
0.03,212896.96042620027,6386.908812786008,0.9943692909108931
0.03,214312.81483284826,6429.384444985448,0.9942735039029842
0.03,215738.08526730997,6472.142558019299,0.9941764600484866
0.03,217172.83435013404,6515.185030504021,0.9940781431460135
0.03,218617.12511832218,6558.513753549665,0.9939785367931309
0.03,220071.02102809865,6602.130630842959,0.9938776243840732
0.03,221534.58595769835,6646.03757873095,0.9937753891074421
0.03,223007.88421017327,6690.236526305198,0.9936718139438827
0.03,224490.98051621788,6734.729415486536,0.9935668816637389
0.03,225983.94003701292,6779.518201110387,0.993460574824691
0.03,227486.82836708843,6824.604851012653,0.9933528757693738
0.03,228999.7115372057,6869.9913461161705,0.9932437666229702
0.03,230522.65601725838,6915.679680517751,0.9931332292907898
0.03,232055.72871919288,6961.671861575786,0.993021245455827
0.03,233598.99699994826,7007.969909998447,0.9929077965762954
0.03,235152.5286644155,7054.5758599324645,0.9927928638831464
0.03,236716.39196841672,7101.491759052501,0.9926764283775674
0.03,238290.65562170395,7148.719668651118,0.9925584708284587
0.03,239875.38879097803,7196.26166372934,0.9924389717698935
0.03,241470.66110292746,7244.119833087823,0.9923179114985536
0.03,243076.5426472875,7292.296279418625,0.9921952700711549
0.03,244693.10397991972,7340.793119397591,0.9920710273018415
0.03,246320.41612591178,7389.612483777353,0.9919451627595711
0.03,247958.55058269817,7438.756517480945,0.991817655765477
0.03,249607.57932320132,7488.22737969604,0.9916884853902108
0.03,251267.57479899397,7538.027243969819,0.9915576304512698
0.03,252938.60994348224,7588.158298304467,0.9914250695102999
0.03,254620.7581751102,7638.622745253306,0.9912907808703884
0.03,256314.0934005854,7689.4228020175615,0.9911547425733315
0.03,258018.69001812616,7740.560700543784,0.9910169323968884
0.03,259734.6229207302,7792.038687621906,0.990877327852016
0.03,261461.9674994653,7843.859024983959,0.9907359061800874
0.03,263200.79964678147,7896.023989403444,0.9905926443500916
0.03,264951.19575984555,7948.535872795366,0.9904475190558168
