geometry,lane_count,total_length_m,B2_mean,B2_max,B2_p95,Bmag_mean,Bmag_max,Bmag_p95,gradB2_mean,gradB2_max,gradB2_p95,pressure_B_mean,pressure_B_max,pressure_B_p95,pressure_sst_proxy_mean,pressure_sst_proxy_max,pressure_sst_proxy_p95
sawbowl_curved,3,4.97285900922184,6.196179780319857e-11,6.171590239960572e-09,8.782734705970257e-11,2.548249130673644e-06,7.855946944805936e-05,9.188009634981692e-06,4.448986079075245e-09,7.712538366752974e-08,6.287036814179694e-09,-2.465381600809899e-05,-4.015028213276322e-08,-4.323992146913875e-08,-2.1686629231119497e-17,-3.531803278859701e-20,-3.803582149618884e-20
sawbowl_chord,3,4.493228207197632,6.7844462648143e-10,8.465204512396419e-08,8.104447366044924e-12,2.7716864006323447e-06,0.00029095024510036795,2.7404238714261846e-06,5.0869239120805345e-08,1.0581504207712765e-06,9.89610617886869e-10,-0.00026994453979663555,-1.7709779927733552e-09,-2.3389055504522163e-09,-2.374556192685007e-16,-1.5578336064944716e-21,-2.0574087785275006e-21
rodin6lane,6,7.519378780722109,1.1083286904671924e-08,3.0766169730266e-07,2.0073205235071578e-08,4.5524365697466666e-05,0.000554672603706601,0.000140117750814349,7.47253469334648e-07,7.043204120144063e-06,3.836981211775654e-06,-0.004409899741460522,-1.392398291596928e-05,-1.3923982915969284e-05,-3.879150416635171e-15,-1.2248175082505285e-17,-1.224817508250529e-17
