geometry,R_m,f0_hz,f0R_Hz_m,B_max_T,B_mean_T,B_rms_T,mag_pressure_mean_Pa,mag_pressure_max_Pa,gradB2_mean_T2_per_m,gradB2_max_T2_per_m
rodin,0.03,100000.0,3000.0,8.495127083819707e-19,8.881046617364589e-20,1.544072053542807e-19,9.486265285728576e-33,2.8714410224295026e-31,1.5032993523498579e-36,1.8025205582678563e-35
rodin,0.03,174867.86215901404,5246.035864770421,4.117528227688073e-19,4.6695648088213084e-20,7.869316764814368e-20,2.4639630743592554e-33,6.745797663501691e-32,3.936468886999664e-37,4.229939421680801e-36
rodin,0.03,305787.6921606394,9173.630764819181,4.997653908029729e-19,3.4487172162097967e-20,7.521372487540084e-20,2.250890325949923e-33,9.937851329923755e-32,3.878493105899016e-37,6.19344608754042e-36
rodin,0.03,534724.4000266959,16041.732000800877,2.1747354111040576e-19,1.9096562673824637e-20,3.8316994705095845e-20,5.841750686362415e-34,1.88179795640665e-32,9.671344220272944e-38,1.1814744221638118e-36
rodin,0.03,935061.1267692975,28051.833803078924,1.0294790631498429e-19,1.0167602075160731e-20,1.921536516206546e-20,1.469120518734391e-34,4.2169182096732413e-33,2.3941287082485574e-38,2.6346231747693454e-37
rodin,0.03,1635121.4022614588,49053.642067843764,6.089232361351281e-20,6.1274145524509225e-21,1.1920853274546803e-20,5.654247640559503e-35,1.475316616404702e-33,9.392412652656041e-39,9.254314490652578e-38
rodin,0.03,2859301.8398391055,85779.05519517316,2.5104508107744545e-20,3.3155835460401997e-21,5.903882297421058e-21,1.3868692580964136e-35,2.50763067027349e-34,2.239169282437427e-39,1.5377950003920348e-38
rodin,0.03,5000000.0,150000.0,1.8741424293480802e-20,1.9977327184727616e-21,3.850946059793603e-21,5.900584190352612e-36,1.3975434726830394e-34,9.844790000629619e-40,8.690561530046072e-39
rodin,0.05,100000.0,5000.0,0.001192896244587436,1.1436899788116377e-05,0.00010785097005741514,0.004628158797510775,0.5661942871256683,8.093006039058865e-07,2.8460029007016155e-05
rodin,0.05,174867.86215901404,8743.393107950702,0.0006837600974063816,6.555553970960872e-06,6.181945003719533e-05,0.0015205839936530375,0.18602342917968534,2.658961367131359e-07,9.350557416103689e-06
rodin,0.05,305787.6921606394,15289.38460803197,0.00039148978416315354,3.753410617110139e-06,3.539499196274769e-05,0.0004984754526543386,0.06098190790624247,8.716565323609708e-08,3.065285022082251e-06
rodin,0.05,534724.4000266959,26736.220001334797,0.00022402683103334625,2.147858565238245e-06,2.0254495020387382e-05,0.00016323112739573525,0.019969179074463748,2.854332700266421e-08,1.0037604204568693e-06
rodin,0.05,935061.1267692975,46753.05633846488,0.00012816127967191823,1.2287470255482478e-06,1.158719243113765e-05,5.3421561625277774e-05,0.006535424631028701,9.341533853200112e-09,3.285062721428728e-07
rodin,0.05,1635121.4022614588,81756.07011307294,7.33072264305437e-05,7.028334662255968e-07,6.627781350327836e-06,1.747819118813789e-05,0.0021382265460157496,3.0563148981297687e-09,1.074789889387801e-07
rodin,0.05,2859301.8398391055,142965.09199195527,4.192748171902683e-05,4.01979978530684e-07,3.7907065228673703e-06,5.717424856978885e-06,0.0006994516464804164,9.997745522535228e-10,3.515827446598658e-08
rodin,0.05,5000000.0,250000.0,2.3978853102243744e-05,2.2989739569443656e-07,2.1679526443942036e-06,1.8700780092245828e-06,0.00022877941998701194,3.27010227702337e-10,1.149970792197969e-08
rodin,0.1,100000.0,10000.0,0.004333511142856069,3.525843634720022e-05,0.00038763342375039834,0.059786423550471764,7.472053547346126,5.258837235018104e-06,0.0001877931882525771
rodin,0.1,174867.86215901404,17486.786215901404,0.002480887564033275,2.0185067807020314e-05,0.00022191588037597548,0.019594622613935856,2.4489183449444303,1.723550680721067e-06,6.154803105374958e-05
rodin,0.1,305787.6921606394,30578.76921606394,0.0014196032074340625,1.1550215905204054e-05,0.00012698378601653674,0.006415886657309083,0.8018517551337745,5.643439036059651e-07,2.015273266557078e-05
rodin,0.1,534724.4000266959,53472.440002669595,0.0008121133919755407,6.607540027878381e-06,7.264370258375585e-05,0.002099694369608676,0.26241791749815074,1.846899392423824e-07,6.595281614260182e-06
rodin,0.1,935061.1267692975,93506.11267692976,0.0004645205618762095,3.779445378807463e-06,4.1551455590318397e-05,0.0006869618582239494,0.0858558763813736,6.042543414585677e-08,2.157793524057894e-06
rodin,0.1,1635121.4022614588,163512.1402261459,0.0002656791708314683,2.1616264097949232e-06,2.3765054066687915e-05,0.00022471794447445593,0.028085046979690737,1.9766278422414092e-08,7.058542181369651e-07
rodin,0.1,2859301.8398391055,285930.18398391054,0.00015194574370450776,1.2362652722066218e-06,1.359157664878194e-05,7.35021118940375e-05,0.009186227964474736,6.465274554423172e-09,2.3087509029915959e-07
rodin,0.1,5000000.0,500000.0,8.689727384200446e-05,7.070160656110034e-07,7.772978230246792e-06,2.40400320912275e-05,0.003004501630941825,2.114570639698011e-09,7.55113620117231e-08
